attempt_id,version_id,receiver_sha256,receiver_bytes,acknowledged,pixel_opened,byte_agreement,hold_path,source_path,retained_path,retained_sha256,retained_bytes,retained,pc_readback_match,pc_decode_ok,pc_frame_png_sha256,pc_frame_dims
a11,4627150caa8a3657-7777da004cf1,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,87853287,1,1,1,/workspace/g386_scratch/hold/a11.mp4,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s6651.mp4,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,87853287,1,1,1,21a90022b993dd45c63709443a6859e84257f7e5cedb6ff5b342c889fb9bfba9,1920x1080
a12,c7c8a04407a475d1-40f696cc8c1d,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,82139114,1,1,1,/workspace/g386_scratch/hold/a12.mp4,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s11025.mp4,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,82139114,1,1,1,dc24493e71b72af8db623519c8aac7d58927ec8fefd9f32d38036f37d292c192,1920x1080
a13,ee8f89ad65e8c128-ab7a61ca95c0,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,61150234,1,1,1,/workspace/g386_scratch/hold/a13.mp4,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\RIrGQJ_jsGQ_s1410.mp4,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,61150234,1,1,1,8d644dddf821a695bb6d7dc271b286b872b120d612c5dcb272925144473fdc7b,1920x1080
a14,0853a624062dc1cb-4e5a01f6f9b8,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,62835904,1,1,1,/workspace/g386_scratch/hold/a14.mp4,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,62835904,1,1,1,fe9201360cc404e262080581d06cd0a56eb0fa792df71256dc1b6fb3b2e7381a,1920x1080
a15,1c85f2c131f251b0-c3a21d1b07de,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,68986280,1,1,1,/workspace/g386_scratch/hold/a15.mp4,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\UCVSlzgun0o_s2298.mp4,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,68986280,1,1,1,d762c14ff5bdf87e11ec86c42bb3cc52a8ec21d1607558e2e0aef27c4a8ab9f4,1920x1080
a16,c5fca9b20bda39bb-562d36a61a01,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,62843736,1,1,1,/workspace/g386_scratch/hold/a16.mp4,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\UzaYBYy3GZg_s1378.mp4,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,62843736,1,1,1,80138b235bfd398ae5f1f540e7025560d04ce7d9813b7631be2d000ec2086654,1920x1080
a17,71fe96c38e5f0197-17fa92ea4da2,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,65439426,1,1,1,/workspace/g386_scratch/hold/a17.mp4,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\Vm0FqeGo-8g_s1317.mp4,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,65439426,1,1,1,76f7bd056f01d28704e9dd9ea7cf5b3f0b5d3792896187d0148264827660eb95,1920x1080
a18,781a0a74b4488c1c-131b348e6bc4,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,71367114,1,1,1,/workspace/g386_scratch/hold/a18.mp4,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\X5w3V6rh26s_s90.mp4,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,71367114,1,1,1,65bc4c2ffe57cd6b2ec8a77b9d1d5fdefc22b3befdb15791311afa9ff1b5c29b,1920x1080
a19,7077f787eb256e82-631511b521bc,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,73218045,1,1,1,/workspace/g386_scratch/hold/a19.mp4,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\Y1cgaIWW8gk_s1437.mp4,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,73218045,1,1,1,c48c504a45f8e21b60ab6173c2219abc60d5c53601cfb7ac38e195092dfc4193,1920x1080
a20,4638270b60ddf67a-85fcabb79949,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,86508102,1,1,1,/workspace/g386_scratch/hold/a20.mp4,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\_fl2i6vToTM_s90.mp4,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,86508102,1,1,1,21352ea1eb57495533e96b3c731195acdc66979c3552a8863e47a25c3e8a332c,1920x1080
