attempt_id,ytid,offset,pool,source_path,source_bytes_at_census,reader_contract
a01,-n4iviRLtsU,90,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,95236044,full_replay_source
a02,-n4iviRLtsU,2704,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,94112289,full_replay_source
a03,-n4iviRLtsU,4011,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,97966113,full_replay_source
a04,3MBv6PIsCBg,1293,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,95626450,full_replay_source
a05,3MBv6PIsCBg,3699,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,79356189,full_replay_source
a06,9sq-YMlIo9Q,2346,retained_g364_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,64995066,full_replay_source
a07,A0aHQ2A38IY,90,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s90.mp4,68061448,full_replay_source
a08,A0aHQ2A38IY,2860,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s2860.mp4,68429941,full_replay_source
a09,IeaneIKx1Ig,90,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,81165805,full_replay_source
a10,IeaneIKx1Ig,4464,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,79162595,full_replay_source
a11,IeaneIKx1Ig,6651,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,87853287,full_replay_source
a12,IeaneIKx1Ig,11025,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,82139114,full_replay_source
a13,RIrGQJ_jsGQ,1410,retained_g364_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,61150234,full_replay_source
a14,RtiZgPwcwNA,2720,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,62835904,full_replay_source
a15,UCVSlzgun0o,2298,retained_g364_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,68986280,full_replay_source
a16,UzaYBYy3GZg,1378,retained_g364_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,62843736,full_replay_source
a17,Vm0FqeGo-8g,1317,retained_g364_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,65439426,full_replay_source
a18,X5w3V6rh26s,90,retained_g364_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,71367114,full_replay_source
a19,Y1cgaIWW8gk,1437,retained_g364_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,73218045,full_replay_source
a20,_fl2i6vToTM,90,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,86508102,full_replay_source
a21,_fl2i6vToTM,2496,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,87504446,full_replay_source
a22,d3_0714DiHo,217,retained_g364_val,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,81000315,full_replay_source
a23,i2y-_7B0IUg,90,retained_g364_val,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,76518525,full_replay_source
a24,iDogCL8td5Q,2282,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,85233486,full_replay_source
a25,iwbowtaIIz8,90,retained_g364_val,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,60983970,full_replay_source
a26,qrWmO434a0k,1447,retained_g364_val,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,72031233,full_replay_source
a27,tFnl0NVn6FA,90,retained_g364_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,65212592,full_replay_source
a28,tZeqmc_-_sA,1332,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,72183029,full_replay_source
a29,tZeqmc_-_sA,2574,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,75846958,full_replay_source
a30,wHs1OssEcAw,2276,retained_g364_val,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,100578787,full_replay_source
