ytid,offset,sport,ledger_status,finished_at,retained,pool,source_path,source_bytes
-5l407QKuVk,90,wnba,thin,1788879992,0,,,0
-5l407QKuVk,284,wnba,thin,1788879951,0,,,0
-5l407QKuVk,478,wnba,thin,1788879971,0,,,0
-Oa_BpdVT64,90,ncaa_basketball,thin,1789082417,0,,,0
-Oa_BpdVT64,1372,ncaa_basketball,thin,1789082376,0,,,0
-Oa_BpdVT64,2654,ncaa_basketball,thin,1789082397,0,,,0
-Oa_BpdVT64,3936,ncaa_basketball,thin,1789082397,0,,,0
-Oa_BpdVT64,5218,ncaa_basketball,thin,1789082417,0,,,0
-n4iviRLtsU,90,ncaa_basketball,thin,1789100095,1,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,95236044
-n4iviRLtsU,1397,ncaa_basketball,thin,1789100034,1,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s1397.mp4,92539434
-n4iviRLtsU,2704,ncaa_basketball,thin,1789100054,1,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,94112289
-n4iviRLtsU,4011,ncaa_basketball,thin,1789100075,1,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,97966113
0022400909,60,nba,tracked,1788836440,0,,,0
0022400909,251,nba,tracked,1788832784,0,,,0
0022400909,442,nba,tracked,1788832231,0,,,0
0022400909,633,nba,tracked,1788834673,0,,,0
0022400909,824,nba,tracked,1788834384,0,,,0
0022400909,900,nba,tracked,1788831622,0,,,0
0022400909,1015,nba,tracked,1788832436,0,,,0
0022400909,1206,nba,timeout,1788835090,0,,,0
0022400909,1397,nba,tracked,1788833740,0,,,0
0022400909,1588,nba,tracked,1788834309,0,,,0
0022400909,1779,nba,tracked,1788834111,0,,,0
0022400909,1970,nba,tracked,1788835061,0,,,0
0022400909,2161,nba,tracked,1788834697,0,,,0
0022400909,2352,nba,tracked,1788834384,0,,,0
