attempt_id,mid_seconds,copy_png_sha256,original_png_sha256,original_present,pixel_agreement,render,original_raw_yuv_sha256,original_present_at_pixel_check,pc_frame_png_sha256,pc_frame_dims,pc_decode_ok,retained_raw_yuv_sha256,raw_pixel_agreement
a01,65.01,1b9b230a5942b76df756c2516799089d982b5f1d0021dbf26fc337016bcbcac4,1b9b230a5942b76df756c2516799089d982b5f1d0021dbf26fc337016bcbcac4,1,MATCH,render_a01_-n4iviRLtsU_s90.jpg,409b8eac0c0dbc07c0b54c3c7c31cc64241c3b71bdaa152c3c796b5d1fdba75a,1,86f0b7648fb0d2cf91eafdaa5e2cf21da04d0f2bb9bdb86470ad84052e88708b,1920x1080,1,409b8eac0c0dbc07c0b54c3c7c31cc64241c3b71bdaa152c3c796b5d1fdba75a,MATCH
a02,65.024,0cb4bb96ae67a56b00e66adbe21233c8673ec39322630e297eca322e806c3bad,0cb4bb96ae67a56b00e66adbe21233c8673ec39322630e297eca322e806c3bad,1,MATCH,render_a02_-n4iviRLtsU_s2704.jpg,a59cdb1c9360d82993e4f43cb3cea5a0fc928dd585360c837dc53423b8d6470c,1,76238cbac4f9d7020df870a2626db80e8260bd46ff16536f19ce08b70dde1017,1920x1080,1,a59cdb1c9360d82993e4f43cb3cea5a0fc928dd585360c837dc53423b8d6470c,MATCH
a03,65.019,63897c885ad83ae8b9b7a01f88913c98a06ee9abba174dad7bdf497d2caaf2a6,63897c885ad83ae8b9b7a01f88913c98a06ee9abba174dad7bdf497d2caaf2a6,1,MATCH,render_a03_-n4iviRLtsU_s4011.jpg,36f5b2023f553b851435890cf939a60998f870aa3bd1f683d4dd44b04e98a0f8,1,8db5551566f4432c64ccd115b9a6008db1207243955670a10d49870a3e203c58,1920x1080,1,36f5b2023f553b851435890cf939a60998f870aa3bd1f683d4dd44b04e98a0f8,MATCH
a04,65.019,761634046860f0654e058b9b836498d57d6388a41795ff2e1f36eacefe2baeb0,761634046860f0654e058b9b836498d57d6388a41795ff2e1f36eacefe2baeb0,1,MATCH,render_a04_3MBv6PIsCBg_s1293.jpg,2c5ed16652432d92679ffbee7a95ffcf473c920ae7075997f32f459923134148,1,24521ff5c80525d6054c57d6a2b4657ca154cd26c304b4e09d0c1b60036499a2,1920x1080,1,2c5ed16652432d92679ffbee7a95ffcf473c920ae7075997f32f459923134148,MATCH
a05,65.021,8d35680f50140fe0d41135ddda12222e85c963c9322bea8ab54aa80c0e165b3e,8d35680f50140fe0d41135ddda12222e85c963c9322bea8ab54aa80c0e165b3e,1,MATCH,render_a05_3MBv6PIsCBg_s3699.jpg,e8c08c83edc14f25f48cd3435eb69cd0febc3f7e8a5da0d4b2e61d21a9f7efcc,1,9c6fcca10e22fda7694d9a7ff14e66cd8200c6190e1accbf8173a72c33f971d2,1920x1080,1,e8c08c83edc14f25f48cd3435eb69cd0febc3f7e8a5da0d4b2e61d21a9f7efcc,MATCH
a06,66.038,b3ee31507b3acfb9af2aded91af0ae130e8ae816b6652b601c18c8146da18844,b3ee31507b3acfb9af2aded91af0ae130e8ae816b6652b601c18c8146da18844,1,MATCH,render_a06_9sq-YMlIo9Q_s2346.jpg,5055cc36a3f4264769e74a4e745fcd6a846cdaf6827ff237e6de8236a8b1d880,1,269fd2058ad5ecdf1b3a945cf9922fee0f4967cb41118cb7c4cb71607d9773a2,1920x1080,1,5055cc36a3f4264769e74a4e745fcd6a846cdaf6827ff237e6de8236a8b1d880,MATCH
a07,65.043,60138e00ffce58899dd20ff5feddca41088ca683eb9509437d9493137e511cf1,60138e00ffce58899dd20ff5feddca41088ca683eb9509437d9493137e511cf1,1,MATCH,render_a07_A0aHQ2A38IY_s90.jpg,4dcd2743fbb61b04150a64c9df542874bb2fd740599c6b7fd5c816e45b9c7170,1,b10d4d5293e6984885a6839e9095c82409ab714c0fc395a1e1ff3737ce9b0f90,1920x1080,1,4dcd2743fbb61b04150a64c9df542874bb2fd740599c6b7fd5c816e45b9c7170,MATCH
a08,65.026,da601446e13b92dc315c0ef75dfc2912a8178c92e2c9a9ea62c7748b2f24ca49,da601446e13b92dc315c0ef75dfc2912a8178c92e2c9a9ea62c7748b2f24ca49,1,MATCH,render_a08_A0aHQ2A38IY_s2860.jpg,ff26f8aa4e72956205150157abed0e88b66ec49ee280af32e487aef142bc04f7,1,1447777784709027fe67dd57f4be4a73a06ab900542eb1a05de4d077cf586bc2,1920x1080,1,ff26f8aa4e72956205150157abed0e88b66ec49ee280af32e487aef142bc04f7,MATCH
a09,65.018,2a8e625dc790f9391f06d5ff8c158fa1ef9004b8376968c7bc0aa0295c8e8bdc,2a8e625dc790f9391f06d5ff8c158fa1ef9004b8376968c7bc0aa0295c8e8bdc,1,MATCH,render_a09_IeaneIKx1Ig_s90.jpg,58e4e03a0cf210925a52a4763cae99e36af99532b9174b1ba32f42737d8a22fa,1,d3e939ed79e129666bd90ceb732bee1295f6ba6d6e079be80ded9af99eacd126,1920x1080,1,58e4e03a0cf210925a52a4763cae99e36af99532b9174b1ba32f42737d8a22fa,MATCH
a10,65.019,2ac7de510a538b538617a61ed1cb94628bd7e00701151846296d2cb1492f5096,2ac7de510a538b538617a61ed1cb94628bd7e00701151846296d2cb1492f5096,1,MATCH,render_a10_IeaneIKx1Ig_s4464.jpg,835ac6b0a6bc83d70617711923bdbc27a5c141d787408812b0e3c6bd45cedcbc,1,aad0da640695a9f96ed20e676b478771f0ff13d3c3e1184f47302e23d1bae800,1920x1080,1,835ac6b0a6bc83d70617711923bdbc27a5c141d787408812b0e3c6bd45cedcbc,MATCH
