state_key,seed,pace_hex,n_poss
401809798:1080,401810878,0x1.a6b4ae41d6f5dp+5,53
401809798:120,401809918,0x1.456dede4b500cp+6,81
401809798:1560,401811358,0x1.34fb51b254fb2p+5,39
401809798:2040,401811838,0x1.87ecd316c42d3p+4,24
401809798:2520,401812318,0x1.63452dd9b3abcp+3,11
401809798:600,401810398,0x1.0c913f9cf4036p+6,67
401810022:1080,401811102,0x1.fee11f24f28bep+5,64
401810022:120,401810142,0x1.888a0f185c37fp+6,98
401810022:1560,401811582,0x1.70b3b757bb582p+5,46
401810022:2040,401812062,0x1.d2069b598a464p+4,29
401810022:2520,401812542,0x1.8aefe772eeac7p+3,12
401810022:600,401810622,0x1.402e611feb8d9p+6,80
401810042:1080,401811122,0x1.a0174df29919bp+5,52
401810042:120,401810162,0x1.3da563fa9493bp+6,79
401810042:1560,401811602,0x1.2dc67714fd1e6p+5,38
401810042:2040,401812082,0x1.844276de2031ep+4,24
401810042:2520,401812562,0x1.5293bdcc9f1bcp+3,11
401810042:600,401810642,0x1.068eeaec814c4p+6,66
401810056:1080,401811136,0x1.9d8f977c5f904p+5,52
401810056:120,401810176,0x1.3bb0e29f39923p+6,79
401810056:1560,401811616,0x1.2f62a56039017p+5,38
401810056:2040,401812096,0x1.9199ad4d7e1ddp+4,25
401810056:2520,401812576,0x1.537f45f79cc24p+3,11
401810056:600,401810656,0x1.0407347647c2dp+6,65
401810130:1080,401811210,0x1.9efddb1ab957ap+5,52
401810130:120,401810250,0x1.3fbd74e6aac13p+6,80
401810130:1560,401811690,0x1.31a32525cb641p+5,38
401810130:2040,401812170,0x1.85caa4b9b0832p+4,24
401810130:2520,401812650,0x1.4dd7c4a78a1e7p+3,10
401810130:600,401810730,0x1.085e8b82312ffp+6,66
401810156:1080,401811236,0x1.97f2bd6732d6fp+5,51
401810156:120,401810276,0x1.3b9df837e4120p+6,79
401810156:1560,401811716,0x1.2d728b620e7a1p+5,38
401810156:2040,401812196,0x1.84faabb44a93dp+4,24
401810156:2520,401812676,0x1.4dac02e542ae8p+3,10
401810156:600,401810756,0x1.059119107971bp+6,65
401810179:1080,401811259,0x1.a063eaff8384ep+5,52
401810179:120,401810299,0x1.3de17590100a0p+6,79
401810179:1560,401811739,0x1.32b46aef353d5p+5,38
401810179:2040,401812219,0x1.8b6bc738a1bb1p+4,25
401810179:2520,401812699,0x1.4e96461c3a148p+3,10
401810179:600,401810779,0x1.05c542d751681p+6,65
401810183:1080,401811263,0x1.9a2b2c56ca5f8p+5,51
401810183:120,401810303,0x1.3d307cd2a6224p+6,79
401810183:1560,401811743,0x1.33a0614117c7ap+5,38
401810183:2040,401812223,0x1.805c3b62033f8p+4,24
401810183:2520,401812703,0x1.482289df084c6p+3,10
401810183:600,401810783,0x1.049e4ef0f63b4p+6,65
401810233:1080,401811313,0x1.a451dabae8a49p+5,53
401810233:120,401810353,0x1.3ebf8b99cac43p+6,80
401810233:1560,401811793,0x1.2d60f1bf53b80p+5,38
401810233:2040,401812273,0x1.8e76cb272bdabp+4,25
401810233:2520,401812753,0x1.582b7c0900a19p+3,11
401810233:600,401810833,0x1.05940b467ff76p+6,65
401810249:1080,401811329,0x1.96ccc4164dcd8p+5,51
401810249:120,401810369,0x1.395a1c6a4940dp+6,78
401810249:1560,401811809,0x1.2c08ea0421510p+5,38
401810249:2040,401812289,0x1.7053f999da6ddp+4,23
401810249:2520,401812769,0x1.416ef09b26694p+3,10
401810249:600,401810849,0x1.0538b5364a750p+6,65
401810253:1080,401811333,0x1.998816a169affp+5,51
401810253:120,401810373,0x1.3bdb28147825bp+6,79
401810253:1560,401811813,0x1.33177f40d4049p+5,38
401810253:2040,401812293,0x1.83733b679d9efp+4,24
401810253:2520,401812773,0x1.51d2dfddcdb82p+3,11
401810253:600,401810853,0x1.070aec3db2615p+6,66
401810255:1080,401811335,0x1.9cb7f6ee5f8d8p+5,52
401810255:120,401810375,0x1.3af20c90c42f9p+6,79
401810255:1560,401811815,0x1.2a70f9dda6624p+5,37
401810255:2040,401812295,0x1.7d137acdb1e40p+4,24
401810255:2520,401812775,0x1.49a0e83c7a10bp+3,10
401810255:600,401810855,0x1.0538b5364a750p+6,65
401810386:1080,401811466,0x1.9b6ceb560f4f4p+5,51
401810386:120,401810506,0x1.3c3c156bb92fdp+6,79
401810386:1560,401811946,0x1.2ad815b986fddp+5,37
401810386:2040,401812426,0x1.7f824a23cc34bp+4,24
401810386:2520,401812906,0x1.5f793d39db87ap+3,11
401810386:600,401810986,0x1.03b71668960d2p+6,65
401810388:1080,401811468,0x1.9c1ca7f4ac3d1p+5,52
401810388:120,401810508,0x1.3ba9a2e78bbf0p+6,79
401810388:1560,401811948,0x1.2e0c309db8a8bp+5,38
401810388:2040,401812428,0x1.915b723fbc5aap+4,25
401810388:2520,401812908,0x1.3cb13dd57723bp+3,10
401810388:600,401810988,0x1.04dbfb70f0eebp+6,65
401810398:1080,401811478,0x1.9c1ca7f4ac3d1p+5,52
401810398:120,401810518,0x1.3af9e648eed13p+6,79
401810398:1560,401811958,0x1.2ebbed3c55967p+5,38
401810398:2040,401812438,0x1.806c9af7481c7p+4,24
401810398:2520,401812918,0x1.4d2aecb42d6e0p+3,10
401810398:600,401810998,0x1.05a90229fd598p+6,65
401810410:1080,401811490,0x1.9a0d7218d573bp+5,51
401810410:120,401810530,0x1.3b51c4983d482p+6,79
401810410:1560,401811970,0x1.2a9d8184a803dp+5,37
