game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score
,17,white,498,2210,1712,57.06666666666667,9767.2,196.0,0.12,0,0,,0,cut,,
,60,green,2211,3344,1134,18.92,85935.9,244.7,,0,1,2289.0,0,fast_break,,
,63,white,3537,3695,159,2.65,,202.4,,0,1,3582.0,0,spot_up,,
,66,green,3813,9758,5945,198.16666666666666,85788.4,232.2,,0,1,3987.0,0,fast_break,,
,71,white,9759,10022,264,4.4,24112.9,204.5,,0,0,,0,hand_off,,
,72,green,10023,11621,1598,53.266666666666666,73973.6,237.5,,0,1,10326.0,0,fast_break,,
,126,green,11904,13499,1596,26.63,304685.1,259.4,-2.87,1,1,11922.0,0,spot_up,,
,128,white,13503,13694,192,3.2,34625.3,210.9,,0,0,,0,cut,,
,331,green,14343,15506,1164,19.42,369901.3,258.3,-3.93,4,1,14394.0,0,cut,,
,332,white,15507,15938,432,7.21,30081.4,304.4,2.65,1,1,15561.0,0,cut,,
,333,green,15939,16235,297,4.95,663401.5,440.3,-8.46,4,1,16215.0,0,cut,,
,334,white,16236,16472,237,3.95,31981.2,532.7,17.58,1,1,16470.0,0,cut,,
,335,green,16473,19961,3488,116.26666666666667,707687.5,361.3,-1.06,27,1,16830.0,0,fast_break,,
,946,green,22005,22997,993,16.57,471776.7,370.6,-0.86,5,1,22104.0,0,fast_break,,
,947,white,22998,23360,363,6.06,24970.2,296.2,-6.66,1,1,23049.0,0,cut,,
,951,white,23619,24215,596,19.866666666666667,,274.1,-6.72,2,1,23637.0,0,cut,,
,957,white,24396,24527,132,2.2,107849.1,408.4,,0,0,,0,cut,,
,958,green,24528,24869,342,5.71,561953.6,246.1,15.53,3,0,,0,fast_break,,
,959,white,24870,25154,285,4.75,33365.7,236.4,,0,0,,0,cut,,
,984,green,25227,26600,1373,45.766666666666666,621138.7,239.1,-2.54,0,1,25371.0,0,cut,,
,1061,green,26823,27683,861,14.36,527090.9,298.2,,0,1,27237.0,0,cut,,
,2653,white,32457,32945,489,8.16,56587.0,257.8,0.05,0,1,32526.0,0,cut,,
,2654,green,32946,37643,4697,156.56666666666666,460350.4,280.4,-2.21,14,1,32994.0,0,cut,,
,2659,white,37644,37973,330,5.51,72385.9,257.7,,0,1,37872.0,0,cut,,
,2660,green,37974,38207,234,3.9,378979.3,367.3,,0,1,38085.0,0,spot_up,,
,2661,white,38208,38417,210,3.5,,196.7,,0,0,,0,spot_up,,
,4197,green,43203,45245,2043,34.08,1241393.1,519.1,-1.04,4,1,43209.0,0,spot_up,,
,4223,white,45321,45581,261,4.35,80342.1,329.3,,0,1,45321.0,0,cut,,
,4224,green,45582,45833,252,4.2,1055086.4,315.4,,0,1,45612.0,0,spot_up,,
,4225,white,45834,46427,594,9.91,90598.3,302.1,-42.79,0,1,45909.0,0,spot_up,,
,4239,green,46467,47243,776,25.866666666666667,680654.1,231.9,,0,1,46572.0,0,transition,,
,4242,white,47244,47612,369,6.16,69139.7,264.0,,0,1,47265.0,0,off_screen,,
,4243,green,47613,48530,918,15.32,562495.7,321.1,,0,1,47805.0,0,off_screen,,
,4244,white,48531,48722,192,3.2,158711.0,633.0,-70.51,0,1,48612.0,0,spot_up,,
,4245,green,48723,50645,1923,32.08,898793.6,1150.0,-4.7,1,1,48795.0,0,fast_break,,
