frame,timestamp,ball_x2d,ball_y2d,detected,live
450,7.508,,,0,1
453,7.558,,,0,1
456,7.608,476,1243,1,1
459,7.658,476,1243,1,1
462,7.708,730,1452,1,1
465,7.758,730,1452,1,1
468,7.808,1057,2479,1,1
471,7.858,1057,2479,1,1
474,7.908,,,0,1
477,7.958,,,0,1
480,8.008,,,0,1
483,8.058,,,0,1
486,8.108,599,1304,1,1
489,8.158,599,1304,1,1
492,8.208,626,1019,1,1
495,8.258,626,1019,1,1
498,8.308,602,1306,1,1
501,8.358,602,1306,1,1
504,8.408,602,1306,1,1
507,8.458,602,1306,1,1
510,8.508,602,1306,1,1
513,8.559,602,1306,1,1
516,8.609,542,1264,1,1
519,8.659,542,1264,1,1
522,8.709,542,1264,1,1
525,8.759,542,1264,1,1
528,8.809,539,1263,1,1
531,8.859,540,1263,1,1
534,8.909,539,1263,1,1
537,8.959,,,0,1
540,9.009,,,0,1
543,9.059,,,0,1
546,9.109,,,0,1
549,9.159,,,0,1
552,9.209,,,0,1
555,9.259,,,0,1
558,9.309,,,0,1
561,9.359,,,0,1
564,9.409,,,0,1
567,9.459,,,0,1
570,9.51,,,0,1
573,9.56,,,0,1
576,9.61,,,0,1
579,9.66,,,0,1
582,9.71,,,0,1
585,9.76,,,0,1
588,9.81,,,0,1
591,9.86,768,1639,1,1
594,9.91,768,1639,1,1
597,9.96,768,1639,1,1
600,10.01,,,0,1
603,10.06,,,0,1
606,10.11,,,0,1
609,10.16,,,0,1
612,10.21,,,0,1
615,10.26,,,0,1
618,10.31,,,0,1
621,10.36,,,0,1
624,10.41,,,0,1
627,10.46,,,0,1
630,10.511,,,0,1
633,10.561,940,425,1,1
636,10.611,943,425,1,1
639,10.661,943,425,1,1
642,10.711,943,425,1,1
645,10.761,940,425,1,1
648,10.811,943,425,1,1
651,10.861,940,425,1,1
654,10.911,943,425,1,1
657,10.961,943,425,1,1
660,11.011,943,425,1,1
663,11.061,940,425,1,1
666,11.111,943,425,1,1
669,11.161,943,425,1,1
672,11.211,943,425,1,1
675,11.261,940,425,1,1
678,11.311,943,425,1,1
681,11.361,943,425,1,1
684,11.411,943,425,1,1
687,11.461,940,425,1,1
690,11.511,943,425,1,1
693,11.562,943,425,1,1
696,11.612,943,425,1,1
699,11.662,943,425,1,1
702,11.712,943,425,1,1
705,11.762,943,425,1,1
708,11.812,943,425,1,1
711,11.862,943,425,1,1
714,11.912,943,425,1,1
717,11.962,940,425,1,1
720,12.012,943,425,1,1
723,12.062,943,425,1,1
726,12.112,940,425,1,1
729,12.162,943,425,1,1
732,12.212,943,425,1,1
735,12.262,940,425,1,1
738,12.312,943,425,1,1
741,12.362,943,425,1,1
744,12.412,943,425,1,1
747,12.462,943,425,1,1
750,12.513,940,425,1,1
753,12.563,943,425,1,1
756,12.613,943,425,1,1
759,12.663,943,425,1,1
762,12.713,943,425,1,1
765,12.763,943,425,1,1
768,12.813,940,425,1,1
771,12.863,943,425,1,1
774,12.913,943,425,1,1
777,12.963,943,425,1,1
780,13.013,943,425,1,1
783,13.063,943,425,1,1
786,13.113,941,424,1,1
789,13.163,943,425,1,1
792,13.213,943,425,1,1
795,13.263,940,425,1,1
798,13.313,943,425,1,1
801,13.363,943,425,1,1
804,13.413,943,425,1,1
807,13.463,943,425,1,1
810,13.514,940,425,1,1
813,13.564,943,425,1,1
816,13.614,943,425,1,1
819,13.664,943,425,1,1
822,13.714,943,425,1,1
825,13.764,943,425,1,1
828,13.814,943,425,1,1
831,13.864,940,425,1,1
834,13.914,940,425,1,1
837,13.964,940,425,1,1
840,14.014,940,425,1,1
843,14.064,943,425,1,1
846,14.114,943,425,1,1
849,14.164,943,425,1,1
852,14.214,940,425,1,1
855,14.264,940,425,1,1
858,14.314,940,425,1,1
861,14.364,940,425,1,1
864,14.414,,,0,1
867,14.464,,,0,1
870,14.514,,,0,1
873,14.565,,,0,1
876,14.615,,,0,1
879,14.665,,,0,1
882,14.715,,,0,1
885,14.765,,,0,1
888,14.815,,,0,1
891,14.865,,,0,1
894,14.915,,,0,1
897,14.965,,,0,1
900,15.015,1248,442,1,1
903,15.065,1236,443,1,1
906,15.115,1218,444,1,1
909,15.165,1203,445,1,1
912,15.215,1184,447,1,1
915,15.265,1164,447,1,1
918,15.315,1145,447,1,1
921,15.365,1126,445,1,1
924,15.415,1111,443,1,1
927,15.465,1099,442,1,1
930,15.515,1095,442,1,1
933,15.566,1097,441,1,1
936,15.616,1111,441,1,1
939,15.666,1135,442,1,1
942,15.716,1170,443,1,1
945,15.766,1204,444,1,1
948,15.816,1253,446,1,1
951,15.866,1297,446,1,1
954,15.916,1341,446,1,1
957,15.966,1376,446,1,1
960,16.016,1376,446,1,1
963,16.066,1422,445,1,1
966,16.116,1431,445,1,1
969,16.166,1424,445,1,1
972,16.216,1411,446,1,1
975,16.266,1397,446,1,1
978,16.316,1428,445,1,1
981,16.366,1534,440,1,1
984,16.416,1534,440,1,1
987,16.466,1680,477,1,1
1800,30.03,284,356,1,1
1803,30.08,284,356,1,1
1806,30.13,,,0,1
1809,30.18,,,0,1
1812,30.23,1277,152,1,1
1815,30.28,1277,152,1,1
1818,30.33,,,0,1
1821,30.38,,,0,1
1824,30.43,1646,103,1,1
1827,30.48,1646,103,1,1
1830,30.53,992,153,1,1
1833,30.581,992,153,1,1
1836,30.631,943,379,1,1
1839,30.681,943,379,1,1
1842,30.731,2518,142,1,1
1845,30.781,2518,142,1,1
1848,30.831,,,0,1
1851,30.881,,,0,1
1854,30.931,,,0,1
1857,30.981,,,0,1
1860,31.031,24,374,1,1
1863,31.081,24,374,1,1
1866,31.131,601,285,1,1
1869,31.181,602,283,1,1
1872,31.231,608,280,1,1
1875,31.281,602,283,1,1
1878,31.331,602,283,1,1
1881,31.381,,,0,1
1884,31.431,,,0,1
1887,31.481,146,100,1,1
1890,31.532,146,100,1,1
1893,31.582,,,0,1
1896,31.632,,,0,1
1899,31.682,,,0,1
1902,31.732,,,0,1
1905,31.782,,,0,1
1908,31.832,,,0,1
1911,31.882,677,206,1,1
1914,31.932,677,206,1,1
1917,31.982,,,0,1
1920,32.032,,,0,1
1923,32.082,617,201,1,1
1926,32.132,629,201,1,1
1929,32.182,639,201,1,1
1932,32.232,647,199,1,1
1935,32.282,657,196,1,1
1938,32.332,665,192,1,1
1941,32.382,675,188,1,1
