1080p30__yZ5u2sOpiNU_s3933	/workspace/g402_scratch/srcs/nba__yZ5u2sOpiNU_s3933.mp4	352e09fc2a2ea29bd9b42ccb32d9c944d26de241880a7d7a9aa37cec0dbb6eed	1974	300	yZ5u2sOpiNU_s3933	2031
1080p30__yZ5u2sOpiNU_s5214	/workspace/g402_scratch/srcs/nba__yZ5u2sOpiNU_s5214.mp4	2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10	2089	300	yZ5u2sOpiNU_s5214	2104
1080p30__yZ5u2sOpiNU_s90	/workspace/g402_scratch/srcs/nba__yZ5u2sOpiNU_s90.mp4	1c98e777689a974d4fff1fa6f68f7c57cbfb072f293200e063d0b8173fc1b732	2206	300	yZ5u2sOpiNU_s90	2299
720p60__3gBeJyl7Szg_s2302	/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4	c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0	697	600	3gBeJyl7Szg_s2302	751
720p60__3gBeJyl7Szg_s90	/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4	72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb	930	600	3gBeJyl7Szg_s90	966
720p60__6rQ2sV4upfc_s1509	/workspace/g402_scratch/srcs/ncaa_basketball__6rQ2sV4upfc_s1509.mp4	d10e7b95e85fbad71589d18da9098e31dfa312df913c1b701396038528056c0a	3018	600	6rQ2sV4upfc_s1509	3390
720p60__6rQ2sV4upfc_s90	/workspace/g402_scratch/srcs/ncaa_basketball__6rQ2sV4upfc_s90.mp4	8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5	3249	600	6rQ2sV4upfc_s90	3603
720p60__7blRl4zVfrY_s3489	/workspace/g402_scratch/srcs/ncaa_basketball__7blRl4zVfrY_s3489.mp4	b5d027dbca93a647b4545a8a1e5b9f7da80e078b394f74fd504c5c0e8e7b31ea	3481	600	7blRl4zVfrY_s3489	3817
720p60__7blRl4zVfrY_s90	/workspace/g402_scratch/srcs/ncaa_basketball__7blRl4zVfrY_s90.mp4	38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698	3714	600	7blRl4zVfrY_s90	4032
720p60__FyMWTVsJvv8_s4332	/workspace/data/footage_corpus/ncaa_basketball__FyMWTVsJvv8_s4332.mp4	378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80	3945	600	FyMWTVsJvv8_s4332	4515
720p60__Ge4uewCFUFQ_s2382	/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4	b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de	4177	600	Ge4uewCFUFQ_s2382	4729
720p60__Ge4uewCFUFQ_s4674	/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s4674.mp4	081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932	4410	600	Ge4uewCFUFQ_s4674	4944
720p60__IpR4pT8iN0Y_s2432	/workspace/data/footage_corpus/ncaa_basketball__IpR4pT8iN0Y_s2432.mp4	d2e9618fca2988d0e74654b65178e7b219551eeb90c17275e5f2e5f8a94765fe	4642	600	IpR4pT8iN0Y_s2432	5152
720p60__KZK9rv9TnGE_s1474	/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s1474.mp4	4c74ce17817b717b4daa4b06b745f47b1c3ac745799a586c20bf074168caf7d1	4873	600	KZK9rv9TnGE_s1474	5365
720p60__KZK9rv9TnGE_s4242	/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s4242.mp4	89f5a7ef57147b8f06215865b7c502a0334f39dd7e52519815af4b407d3f1060	5105	600	KZK9rv9TnGE_s4242	5579
720p60__KZK9rv9TnGE_s90	/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s90.mp4	b66f1198f2b4c2e10e6c195e15717ef045775ad12d35aa5d582997f5298debdd	5337	600	KZK9rv9TnGE_s90	5793
720p60__Kh7Fj4ogPN4_s3606	/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s3606.mp4	04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb	1161	600	Kh7Fj4ogPN4_s3606	1173,1755
720p60__Kh7Fj4ogPN4_s5950	/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s5950.mp4	83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23	1392	600	Kh7Fj4ogPN4_s5950	1968
720p60__Ktu6yFS9iMo_s2532	/workspace/data/footage_corpus/nba__Ktu6yFS9iMo_s2532.mp4	b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c	1625	600	Ktu6yFS9iMo_s2532	2183
720p60__Ktu6yFS9iMo_s6195	/workspace/data/footage_corpus/nba__Ktu6yFS9iMo_s6195.mp4	dce9d31c4a8eec01d6c25d9121ef8ef5df2928241cad4634eedb5a1855d9c95a	1857	600	Ktu6yFS9iMo_s6195	2397
720p60__L7o4UCIIqS4_s2656	/workspace/data/footage_corpus/nba__L7o4UCIIqS4_s2656.mp4	b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0	2089	600	L7o4UCIIqS4_s2656	2611
720p60__L7o4UCIIqS4_s5222	/workspace/data/footage_corpus/nba__L7o4UCIIqS4_s5222.mp4	683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862	2321	600	L7o4UCIIqS4_s5222	2885
720p60__acb-jHcR5UxPGuE_s1393	/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4	cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc	232	600	acb-jHcR5UxPGuE_s1393	232
720p60__acb-jHcR5UxPGuE_s90	/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s90.mp4	ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed	465	600	acb-jHcR5UxPGuE_s90	537
720p60__dAy3tnlu3EQ_s4326	/workspace/data/footage_corpus/ncaa_basketball__dAy3tnlu3EQ_s4326.mp4	4b29aa56d687868bea366ecde8382fff8eac24f2dce52041ef01edca2ccb92ea	5570	600	dAy3tnlu3EQ_s4326	6008
720p60__oL9Uaie2v2A_s5960	/workspace/data/footage_corpus/nba__oL9Uaie2v2A_s5960.mp4	973783b470a0e9999cb2cc543c966313b80a5a6b5c3a9e8c6bee80bd754c676f	2785	600	oL9Uaie2v2A_s5960	3175
720p60__qTXrSRHHR2M_s2262	/workspace/data/footage_corpus/ncaa_basketball__qTXrSRHHR2M_s2262.mp4	7f076a1a4b3935c5912f35f831aada9b130f176f40736535837f96917162894b	5803	600	qTXrSRHHR2M_s2262	6313
720p60__s-0Y7aLxXgM_s1275	/workspace/data/footage_corpus/ncaa_basketball__s-0Y7aLxXgM_s1275.mp4	f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84	6266	600	s-0Y7aLxXgM_s1275	6338
720p60__s-0Y7aLxXgM_s4830	/workspace/data/footage_corpus/ncaa_basketball__s-0Y7aLxXgM_s4830.mp4	57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2	6499	600	s-0Y7aLxXgM_s4830	6547
720p60__xv0WyG7_99c_s1200	/workspace/data/footage_corpus/wnba__xv0WyG7_99c_s1200.mp4	19161e47d3317d67f754340c00c03406830879b772e2d41c2fc00913dc894b53	6731	600	xv0WyG7_99c_s1200	6761
720p60__xv0WyG7_99c_s4530	/workspace/data/footage_corpus/wnba__xv0WyG7_99c_s4530.mp4	5398cdc3ed36f2123eef01738d010d8234294e1e15d7bb3246a245054929b45c	6963	600	xv0WyG7_99c_s4530	6975,7557
