clip,frame_index,role,visible,stable_detected,stable_group_indices,qualifying_frame
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,true,59,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,42,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,11;12;27;33;58;67,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,false,,false
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,47,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,19;43,false
wnba__wnba_01,8448,baseline,true,false,,false
wnba__wnba_01,8448,free_throw,true,false,,false
wnba__wnba_01,8448,lane_left,true,false,,false
wnba__wnba_01,8448,lane_right,true,true,5;23;28;75,false
wnba__wnba_01,11904,baseline,true,false,,false
wnba__wnba_01,11904,free_throw,true,false,,false
wnba__wnba_01,11904,lane_left,true,true,5;73;79,false
wnba__wnba_01,11904,lane_right,true,true,48,false
wnba__wnba_01,13632,baseline,true,false,,false
wnba__wnba_01,13632,free_throw,true,false,,false
wnba__wnba_01,13632,lane_left,true,false,,false
wnba__wnba_01,13632,lane_right,true,true,2;3;52;55;61,false
wnba__wnba_01_1080p,360,baseline,true,false,,false
wnba__wnba_01_1080p,360,free_throw,true,false,,false
wnba__wnba_01_1080p,360,lane_left,true,true,7;25;43;78;97,false
wnba__wnba_01_1080p,360,lane_right,true,true,14;20;48;56;74;79;90,false
wnba__wnba_01_1080p,12720,baseline,true,false,,false
wnba__wnba_01_1080p,12720,free_throw,true,true,2;52,false
wnba__wnba_01_1080p,12720,lane_left,true,true,2;43;52,false
wnba__wnba_01_1080p,12720,lane_right,true,true,51;57;76,false
wnba__wnba_01_1080p,17280,baseline,false,false,,false
wnba__wnba_01_1080p,17280,free_throw,false,false,,false
wnba__wnba_01_1080p,17280,lane_left,false,false,,false
wnba__wnba_01_1080p,17280,lane_right,false,false,,false
wnba__wnba_02,4416,baseline,false,false,,false
wnba__wnba_02,4416,free_throw,false,false,,false
wnba__wnba_02,4416,lane_left,false,false,,false
wnba__wnba_02,4416,lane_right,false,false,,false
wnba__wnba_02,18624,baseline,false,false,,false
wnba__wnba_02,18624,free_throw,false,false,,false
wnba__wnba_02,18624,lane_left,false,false,,false
wnba__wnba_02,18624,lane_right,false,false,,false
wnba__wnba_02,20736,baseline,false,false,,false
wnba__wnba_02,20736,free_throw,false,false,,false
wnba__wnba_02,20736,lane_left,false,false,,false
wnba__wnba_02,20736,lane_right,false,false,,false
wnba__wnba_04,1920,baseline,false,false,,false
wnba__wnba_04,1920,free_throw,false,false,,false
wnba__wnba_04,1920,lane_left,false,false,,false
wnba__wnba_04,1920,lane_right,false,false,,false
wnba__wnba_04,3648,baseline,false,false,,false
wnba__wnba_04,3648,free_throw,false,false,,false
wnba__wnba_04,3648,lane_left,false,false,,false
wnba__wnba_04,3648,lane_right,false,false,,false
wnba__wnba_04,23424,baseline,false,false,,false
wnba__wnba_04,23424,free_throw,false,false,,false
wnba__wnba_04,23424,lane_left,false,false,,false
wnba__wnba_04,23424,lane_right,false,false,,false
wnba__wnba_05,2304,baseline,false,false,,false
wnba__wnba_05,2304,free_throw,false,false,,false
wnba__wnba_05,2304,lane_left,false,false,,false
wnba__wnba_05,2304,lane_right,false,false,,false
wnba__wnba_05,6912,baseline,true,false,,false
wnba__wnba_05,6912,free_throw,true,false,,false
wnba__wnba_05,6912,lane_left,true,false,,false
wnba__wnba_05,6912,lane_right,true,true,55,false
wnba__wnba_05,23424,baseline,false,false,,false
wnba__wnba_05,23424,free_throw,false,false,,false
wnba__wnba_05,23424,lane_left,false,false,,false
wnba__wnba_05,23424,lane_right,false,false,,false
