clip,source_clip,frame_index,stratum,roles_detected,qualifying_frame
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,3185,1,4,true
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,5755,2,4,true
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8191,3,4,true
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19082,7,4,true
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,22868,9,4,true
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,9394,6,4,true
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,16469,10,4,true
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,18027,7,4,true
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,20299,8,4,true
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,5789,2,4,true
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,14543,6,4,true
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,20575,9,4,true
ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,23649,9,4,true
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,8579,3,4,true
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,16176,6,4,true
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,26448,10,4,true
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,5701,2,4,true
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,15688,6,4,true
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,3425,1,4,true
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,11663,4,4,true
wnba__wnba_01,wnba__wnba_01.mp4,688,0,4,true
wnba__wnba_01,wnba__wnba_01.mp4,24705,10,4,true
wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,5412,3,4,true
wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,11431,7,4,true
wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,13996,9,4,true
wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,16122,10,4,true
wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,17917,11,4,true
wnba__wnba_02,wnba__wnba_02.mp4,7638,3,4,true
wnba__wnba_02,wnba__wnba_02.mp4,16675,6,4,true
wnba__wnba_04,wnba__wnba_04.mp4,25738,10,4,true
wnba__wnba_05,wnba__wnba_05.mp4,18068,7,4,true
wnba__wnba_05,wnba__wnba_05.mp4,27998,11,4,true
wnba__wnba_06,wnba__wnba_06.mp4,9635,4,4,true
wnba__wnba_06,wnba__wnba_06.mp4,17484,7,4,true
wnba__wnba_07,wnba__wnba_07.mp4,19183,7,4,true
wnba__wnba_07,wnba__wnba_07.mp4,20998,8,4,true
wnba__wnba_08,wnba__wnba_08.mp4,9941,4,4,true
wnba__wnba_08,wnba__wnba_08.mp4,19727,8,4,true
wnba__wnba_08,wnba__wnba_08.mp4,23978,9,4,true
wnba__wnba_08,wnba__wnba_08.mp4,27096,11,4,true
wnba__wnba_09,wnba__wnba_09.mp4,15670,6,4,true
wnba__wnba_09,wnba__wnba_09.mp4,23825,9,4,true
