frame_key,section_id,video_id,frame_order,native_path
9sq-YMlIo9Q_s2346:000000,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,0,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000040,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,40,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000080,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,80,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000120,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,120,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000160,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,160,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000200,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,200,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000240,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,240,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000280,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,280,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000320,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,320,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000361,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,361,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000401,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,401,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000441,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,441,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000481,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,481,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000521,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,521,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000561,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,561,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000601,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,601,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000641,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,641,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000681,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,681,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000721,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,721,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000761,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,761,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000801,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,801,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
9sq-YMlIo9Q_s2346:000841,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,841,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4
