opaque_id,frame_key,native_path,sheet,native_sha256,width,height,status
G382_001,9sq-YMlIo9Q_s2346:000040,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_001.png,G382_001.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,1920,1080,READY
G382_002,9sq-YMlIo9Q_s2346:001042,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_002.png,G382_002.png,c10d87b24dd2cd0823d1702a2d385bb1150bd013d0f79dc5797da025c0a2f72b,1920,1080,READY
G382_003,9sq-YMlIo9Q_s2346:002003,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_003.png,G382_003.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,1920,1080,READY
G382_004,9sq-YMlIo9Q_s2346:002964,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_004.png,G382_004.png,362b7052075945816625229c19c24ef3a9cece02fff2ba1413b897f8ad498b43,1920,1080,READY
G382_005,9sq-YMlIo9Q_s2346:003966,,,,,,ABSENT
G382_006,GtwFiAa1gXI_s3762:000040,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_001.png,G382_006.png,2805dae644c452bf976379f8ada8261d4701630b557ca0acd0db9e5c4c8c93bf,1920,1080,READY
G382_007,GtwFiAa1gXI_s3762:001049,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_002.png,G382_007.png,2af7576a07b971e018acada551367e26165077406e1870e49c3134335c9ae591,1920,1080,READY
G382_008,GtwFiAa1gXI_s3762:002016,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_003.png,G382_008.png,3c7f8c0946e2d2de7ba74b48898bb37c65bd990d470f6ce26e555735ea5e412b,1920,1080,READY
G382_009,GtwFiAa1gXI_s3762:002984,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_004.png,G382_009.png,ddf223cd3466d086a0dccbb205cd0c7b76d5f89466bd83a005546d830b6e0571,1920,1080,READY
G382_010,GtwFiAa1gXI_s3762:003993,,,,,,ABSENT
G382_011,UCVSlzgun0o_s2298:000039,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_001.png,G382_011.png,4908d93642b7fe9954d1be586da99cb621f98a820fee37d50dad72081cf33db3,1920,1080,READY
G382_012,UCVSlzgun0o_s2298:001026,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_002.png,G382_012.png,16eafbba9801e1a120252b1e74730bd9099137d0cfdb0ad6726d916913ced9b2,1920,1080,READY
G382_013,UCVSlzgun0o_s2298:001974,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_003.png,G382_013.png,17eac1cd6ff4205198310ba5fa999be1fff29236cfe30731ed1043419fae25f5,1920,1080,READY
G382_014,UCVSlzgun0o_s2298:002922,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_004.png,G382_014.png,46f081968100ee739d1618118ebaa7bf038186fa266bc07a58b6779ce2f02e73,1920,1080,READY
G382_015,UCVSlzgun0o_s2298:003909,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_005.png,G382_015.png,e99f25ccaf75e960e40d17eebf1e3945b2650d895fffe83bfec2470bccc6f82a,1920,1080,READY
G382_016,UzaYBYy3GZg_s90:000042,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_001.png,G382_016.png,bcc631cf3693c0d639d382a0787e22525d2c541250025c72a34467f3d1ef588a,1920,1080,READY
G382_017,UzaYBYy3GZg_s90:001090,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_002.png,G382_017.png,592cf28c43021a115701adb09b1a6ccb214556d5cb6af58470eb69e0ca57753e,1920,1080,READY
G382_018,UzaYBYy3GZg_s90:002097,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_003.png,G382_018.png,3ff9d023b7694747e4bc5b4b4e71c40cf966cc9780d34d67a7176ee8fff2b81d,1920,1080,READY
G382_019,UzaYBYy3GZg_s90:003104,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_004.png,G382_019.png,a3ee883248938e6277e4185922684a9deae0f36ae4e3d9997fb30594a7c28ab6,1920,1080,READY
G382_020,UzaYBYy3GZg_s90:004152,,,,,,ABSENT
G382_021,X5w3V6rh26s_s1376:000042,C:\Users\neelj\g382_pc_scratch\frames\X5w3V6rh26s_s1376_001.png,G382_021.png,b7aac1e6bedd91f04a2f50c0c48f4d0ced718c955b1e0e2d6087032a09330a8d,1920,1080,READY
G382_022,X5w3V6rh26s_s1376:001088,C:\Users\neelj\g382_pc_scratch\frames\X5w3V6rh26s_s1376_002.png,G382_022.png,f8881f6022c45d5fa630629c216689fb6bba5fa6b0e0112723db6473eb1a1e3c,1920,1080,READY
