section_id,video_id,sec_offset,native_path,bytes,width,height,nb_frames,fps,duration,probe_error,ledger_status,ledger_rows,ledger_decoded,ledger_stride,ledger_res,sport
9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,2346,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,64995066,1920,1080,4007,30000/1001,132.076000,,tracked,4827,3897,3,1920x1080,
9sq-YMlIo9Q_s90,9sq-YMlIo9Q,90,/workspace/g364_scratch/val/9sq-YMlIo9Q_s90.mp4,65354306,1920,1080,3954,30000/1001,131.054000,,tracked,3808,3897,3,1920x1080,
RIrGQJ_jsGQ_s1410,RIrGQJ_jsGQ,1410,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,61150234,1920,1080,4051,30/1,133.100000,,tracked,5409,3901,3,1920x1080,
RIrGQJ_jsGQ_s90,RIrGQJ_jsGQ,90,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s90.mp4,57018293,1920,1080,4191,30/1,135.100000,,tracked,1321,3901,3,1920x1080,
UCVSlzgun0o_s2298,UCVSlzgun0o,2298,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,68986280,1920,1080,3949,30000/1001,131.060000,,,,,,,
UCVSlzgun0o_s90,UCVSlzgun0o,90,/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4,74729263,1920,1080,4075,30000/1001,133.090000,,,,,,,
UzaYBYy3GZg_s1378,UzaYBYy3GZg,1378,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,62843736,1920,1080,4006,30000/1001,132.142000,,tracked,4338,3897,3,1920x1080,
UzaYBYy3GZg_s90,UzaYBYy3GZg,90,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,70876617,1920,1080,4195,30000/1001,135.059000,,tracked,3507,3897,3,1920x1080,
Vm0FqeGo-8g_s1317,Vm0FqeGo-8g,1317,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,65439426,1920,1080,3948,30000/1001,131.080000,,tracked,4070,3897,3,1920x1080,
Vm0FqeGo-8g_s90,Vm0FqeGo-8g,90,/workspace/g364_scratch/val/Vm0FqeGo-8g_s90.mp4,78483924,1920,1080,4195,30000/1001,135.125000,,tracked,3859,3897,3,1920x1080,
X5w3V6rh26s_s1376,X5w3V6rh26s,1376,/workspace/g364_scratch/val/X5w3V6rh26s_s1376.mp4,71085559,1920,1080,4186,30000/1001,135.043000,,tracked,4676,3897,3,1920x1080,
X5w3V6rh26s_s90,X5w3V6rh26s,90,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,71367114,1920,1080,4195,30000/1001,135.092000,,tracked,5751,3897,3,1920x1080,
Y1cgaIWW8gk_s1437,Y1cgaIWW8gk,1437,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,73218045,1920,1080,4051,30/1,133.034000,,,,,,,
Y1cgaIWW8gk_s2784,Y1cgaIWW8gk,2784,/workspace/g364_scratch/val/Y1cgaIWW8gk_s2784.mp4,68904225,1920,1080,4171,30/1,135.067000,,,,,,,
_fl2i6vToTM_s2496,_fl2i6vToTM,2496,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,87504446,1920,1080,7896,710640000/11855843,131.024000,,,,,,,
_fl2i6vToTM_s90,_fl2i6vToTM,90,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,86508102,1920,1080,8080,727200000/12132119,131.021000,,,,,,,
d3_0714DiHo_s217,d3_0714DiHo,217,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,81000315,1920,1080,3534,25/1,136.120000,,,,,,,
d3_0714DiHo_s90,d3_0714DiHo,90,/workspace/g364_scratch/val/d3_0714DiHo_s90.mp4,77324920,1920,1080,3346,25/1,132.120000,,,,,,,
i2y-_7B0IUg_s490,i2y-_7B0IUg,490,/workspace/g364_scratch/val/i2y-_7B0IUg_s490.mp4,82586552,1920,1080,6997,50/1,135.040000,,,,,,,
i2y-_7B0IUg_s90,i2y-_7B0IUg,90,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,76518525,1920,1080,6585,50/1,131.040000,,,,,,,
iwbowtaIIz8_s1371,iwbowtaIIz8,1371,/workspace/g364_scratch/val/iwbowtaIIz8_s1371.mp4,61970821,1920,1080,6899,50/1,134.020000,,tracked,1640,6501,5,1920x1080,
iwbowtaIIz8_s90,iwbowtaIIz8,90,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,60983970,1920,1080,6799,50/1,133.020000,,tracked,2939,6501,5,1920x1080,
qrWmO434a0k_s1447,qrWmO434a0k,1447,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,72031233,1920,1080,4051,30/1,133.034000,,,,,,,
qrWmO434a0k_s2804,qrWmO434a0k,2804,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,74235194,1920,1080,4171,30/1,135.067000,,,,,,,
tFnl0NVn6FA_s2774,tFnl0NVn6FA,2774,/workspace/g364_scratch/val/tFnl0NVn6FA_s2774.mp4,69117769,1920,1080,4171,30/1,135.100000,,,,,,,
tFnl0NVn6FA_s90,tFnl0NVn6FA,90,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,65212592,1920,1080,4231,30/1,136.034000,,,,,,,
tZeqmc_-_sA_s1332,tZeqmc_-_sA,1332,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,72183029,1920,1080,4051,30/1,133.034000,,,,,,,
tZeqmc_-_sA_s2574,tZeqmc_-_sA,2574,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,75846958,1920,1080,4171,30/1,135.034000,,,,,,,
wHs1OssEcAw_s2276,wHs1OssEcAw,2276,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,100578787,1920,1080,8355,93993750/1568129,135.059000,,tracked,1704,7793,6,1920x1080,
wHs1OssEcAw_s90,wHs1OssEcAw,90,/workspace/g364_scratch/val/wHs1OssEcAw_s90.mp4,96563518,1920,1080,8102,22786875/380161,133.023000,,tracked,1749,7793,6,1920x1080,
Fu__lY_KbYU_s90,Fu__lY_KbYU,90,/workspace/g380_scratch/sources/ncaa_basketball__Fu__lY_KbYU_s90.mp4,71252028,1920,1080,4045,30000/1001,130.054000,,tracked,4834,3897,3,1920x1080,ncaa_basketball
GtwFiAa1gXI_s3762,GtwFiAa1gXI,3762,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,68630780,1920,1080,4034,30000/1001,130.088000,,tracked,5092,3897,3,1920x1080,ncaa_basketball
