frame_key,section_id,video_id,native_path,frame_order,section_rank,interior_rank,selection_status,retained,frame_path,native_width,native_height,source_sha256
9sq-YMlIo9Q_s2346:000040,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,40,1,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/9sq-YMlIo9Q_s2346_001.png,1920,1080,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb
9sq-YMlIo9Q_s2346:001042,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,1042,1,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/9sq-YMlIo9Q_s2346_002.png,1920,1080,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb
9sq-YMlIo9Q_s2346:002003,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,2003,1,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/9sq-YMlIo9Q_s2346_003.png,1920,1080,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb
9sq-YMlIo9Q_s2346:002964,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,2964,1,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/9sq-YMlIo9Q_s2346_004.png,1920,1080,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb
9sq-YMlIo9Q_s2346:003966,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,3966,1,5,PLANNED,DECODE_FAILED,,,,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb
GtwFiAa1gXI_s3762:000040,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,40,2,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/GtwFiAa1gXI_s3762_001.png,1920,1080,727411acdc6f25f120d7743a5e62673b9946d98c8068fff5a1ab900957d6c6ab
GtwFiAa1gXI_s3762:001049,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,1049,2,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/GtwFiAa1gXI_s3762_002.png,1920,1080,727411acdc6f25f120d7743a5e62673b9946d98c8068fff5a1ab900957d6c6ab
GtwFiAa1gXI_s3762:002016,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,2016,2,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/GtwFiAa1gXI_s3762_003.png,1920,1080,727411acdc6f25f120d7743a5e62673b9946d98c8068fff5a1ab900957d6c6ab
GtwFiAa1gXI_s3762:002984,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,2984,2,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/GtwFiAa1gXI_s3762_004.png,1920,1080,727411acdc6f25f120d7743a5e62673b9946d98c8068fff5a1ab900957d6c6ab
GtwFiAa1gXI_s3762:003993,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,3993,2,5,PLANNED,DECODE_FAILED,,,,727411acdc6f25f120d7743a5e62673b9946d98c8068fff5a1ab900957d6c6ab
UCVSlzgun0o_s2298:000039,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,39,3,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/UCVSlzgun0o_s2298_001.png,1920,1080,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631
UCVSlzgun0o_s2298:001026,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1026,3,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/UCVSlzgun0o_s2298_002.png,1920,1080,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631
UCVSlzgun0o_s2298:001974,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1974,3,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/UCVSlzgun0o_s2298_003.png,1920,1080,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631
UCVSlzgun0o_s2298:002922,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,2922,3,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/UCVSlzgun0o_s2298_004.png,1920,1080,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631
UCVSlzgun0o_s2298:003909,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,3909,3,5,PLANNED,RETAINED,/workspace/g382_scratch/frames/UCVSlzgun0o_s2298_005.png,1920,1080,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631
UzaYBYy3GZg_s90:000042,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,42,4,1,PLANNED,RETAINED,/workspace/g382_scratch/frames/UzaYBYy3GZg_s90_001.png,1920,1080,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85
UzaYBYy3GZg_s90:001090,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,1090,4,2,PLANNED,RETAINED,/workspace/g382_scratch/frames/UzaYBYy3GZg_s90_002.png,1920,1080,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85
UzaYBYy3GZg_s90:002097,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,2097,4,3,PLANNED,RETAINED,/workspace/g382_scratch/frames/UzaYBYy3GZg_s90_003.png,1920,1080,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85
UzaYBYy3GZg_s90:003104,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,3104,4,4,PLANNED,RETAINED,/workspace/g382_scratch/frames/UzaYBYy3GZg_s90_004.png,1920,1080,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85
UzaYBYy3GZg_s90:004152,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,4152,4,5,PLANNED,DECODE_FAILED,,,,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85
