frame_key,section_id,video_id,native_path,frame_order,section_rank,interior_rank,selection_status
9sq-YMlIo9Q_s2346:000040,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,40,1,1,PLANNED
9sq-YMlIo9Q_s2346:001042,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,1042,1,2,PLANNED
9sq-YMlIo9Q_s2346:002003,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,2003,1,3,PLANNED
9sq-YMlIo9Q_s2346:002964,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,2964,1,4,PLANNED
9sq-YMlIo9Q_s2346:003966,9sq-YMlIo9Q_s2346,9sq-YMlIo9Q,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,3966,1,5,PLANNED
GtwFiAa1gXI_s3762:000040,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,40,2,1,PLANNED
GtwFiAa1gXI_s3762:001049,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,1049,2,2,PLANNED
GtwFiAa1gXI_s3762:002016,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,2016,2,3,PLANNED
GtwFiAa1gXI_s3762:002984,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,2984,2,4,PLANNED
GtwFiAa1gXI_s3762:003993,GtwFiAa1gXI_s3762,GtwFiAa1gXI,/workspace/g380_scratch/sources/ncaa_basketball__GtwFiAa1gXI_s3762.mp4,3993,2,5,PLANNED
UCVSlzgun0o_s2298:000039,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,39,3,1,PLANNED
UCVSlzgun0o_s2298:001026,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1026,3,2,PLANNED
UCVSlzgun0o_s2298:001974,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1974,3,3,PLANNED
UCVSlzgun0o_s2298:002922,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,2922,3,4,PLANNED
UCVSlzgun0o_s2298:003909,UCVSlzgun0o_s2298,UCVSlzgun0o,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,3909,3,5,PLANNED
UzaYBYy3GZg_s90:000042,UzaYBYy3GZg_s90,UzaYBYy3GZg,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,42,4,1,PLANNED
