source_name,validated_fps,fps_basis,avg_frame_rate,r_frame_rate,retained,pts_count,first_pts,last_pts,available_span_s,monotonic,rate_validated,uniform_steps,off_grid_steps,duplicate_pts_steps,dropped_frames,max_interval_error_s
basketball__acb-jHcR5UxPGuE_s3999.mp4,60.0,TWO_READER_AGREEMENT,60/1,60/1,True,7801,0.0,130.0,130.01666666666668,True,True,True,0,0,0,6.666666801415089e-07
basketball__acb-jHcR5UxPGuE_s90.mp4,60.0,TWO_READER_AGREEMENT,60/1,60/1,True,7801,0.0,130.016667,130.0333336666667,True,True,False,0,0,1,0.016667333333358177
nba__1rZZ_7buX_Y_s5474.mp4,59.94005994005994,TWO_READER_AGREEMENT,238560000/3982837,60000/1001,True,7787,0.0,129.989822,130.00650533333334,False,True,False,0,26,26,0.016716666666666984
nba__3gBeJyl7Szg_s1196.mp4,60.0,TWO_READER_AGREEMENT,60/1,60/1,True,7801,0.0,130.033333,130.04999966666668,False,True,False,0,35,37,0.033333333333344706
nba__3gBeJyl7Szg_s4514.mp4,60.0,TWO_READER_AGREEMENT,60/1,60/1,True,7801,0.0,130.066667,130.08333366666668,False,True,False,0,41,45,0.06666733333334113
nba__FnbFGnX4Qgo_s2822.mp4,59.94005994005994,TWO_READER_AGREEMENT,712890000/11893381,60000/1001,True,7794,0.0,130.079944,130.09662733333334,False,True,False,0,26,30,0.06672766666667901
nba__H1-Ns9IU-JM_s4314.mp4,59.94005994005994,TWO_READER_AGREEMENT,358875000/5987231,60000/1001,True,7793,0.0,129.996533,130.01321633333333,False,True,False,0,26,26,0.01668366666667214
nba__H1-Ns9IU-JM_s90.mp4,59.94005994005994,TWO_READER_AGREEMENT,721800000/12042029,60000/1001,True,7793,0.0,129.996533,130.01321633333333,False,True,False,0,26,26,0.016683666666668588
nba__Kh7Fj4ogPN4_s1262.mp4,59.94005994005994,TWO_READER_AGREEMENT,177435000/2960207,60000/1001,True,7793,0.0,130.0299,130.04658333333333,True,True,False,0,0,2,0.033372666666650334
nba__Kh7Fj4ogPN4_s4778.mp4,59.94005994005994,TWO_READER_AGREEMENT,147546000/2461559,60000/1001,True,7793,0.0,130.013222,130.02990533333335,True,True,False,0,0,1,0.01668266666666756
