game_id,source_name,shipped_utc,status,source_fps,stride,ledger_decoded_frames,first_processed_frame,last_processed_frame,source_retained,available_span_s,cap_limited_span_s,loss_s,loss_over_decision,attribution,unknown_reason,pts_count,pts_rate_validated,pts_duplicate_steps,pts_dropped_frames,measured_last_processed_pts_s
J8pMOFvFlsU_s1384,wnba__J8pMOFvFlsU_s1384,2026-09-11T14:00:13Z,tracked,30.0,3,3901,0,3357,True,,,,,UNKNOWN,no_validated_fps_or_span,0,False,,,
oL9Uaie2v2A_s1264,nba__oL9Uaie2v2A_s1264,2026-09-11T13:19:35Z,tracked,59.94005994005994,6,7793,0,3264,True,130.01321633333333,54.47108333333334,45.52891666666666,True,CAP,,7793,True,0,0,54.45440000000001
oL9Uaie2v2A_s2438,nba__oL9Uaie2v2A_s2438,2026-09-11T13:19:50Z,tracked,59.94005994005994,6,7794,0,5514,True,130.04658333333333,92.00858333333333,7.991416666666666,True,CAP,,7794,True,0,1,91.9919
oL9Uaie2v2A_s3612,nba__oL9Uaie2v2A_s3612,2026-09-11T13:20:06Z,tracked,59.94005994005994,6,7793,60,3624,True,130.02990533333335,60.47708333333334,39.52291666666666,True,CAP,,7793,True,0,1,60.46040000000001
oL9Uaie2v2A_s4786,nba__oL9Uaie2v2A_s4786,2026-09-11T13:20:22Z,tracked,59.94005994005994,6,7793,42,2994,True,130.01321633333333,49.96658333333334,50.03341666666666,True,CAP,,7793,True,0,0,49.94990000000001
oL9Uaie2v2A_s5960,nba__oL9Uaie2v2A_s5960,2026-09-11T13:20:37Z,tracked,59.94005994005994,6,7793,0,2994,True,130.02989433333335,49.96658333333334,50.03341666666666,True,CAP,,7793,True,0,1,49.94990000000001
oL9Uaie2v2A_s90,nba__oL9Uaie2v2A_s90,2026-09-11T13:20:49Z,tracked,59.94005994005994,6,7793,720,6144,True,130.01321633333333,102.51908333333334,0.0,False,CAP,,7793,True,0,0,102.50240000000001
qTXrSRHHR2M_s1176,ncaa_basketball__qTXrSRHHR2M_s1176,2026-09-11T13:21:57Z,tracked,59.94005994005994,6,7793,0,3084,True,130.01321633333333,51.46808333333334,48.53191666666666,True,CAP,,7793,True,0,0,51.45140000000001
qTXrSRHHR2M_s2262,ncaa_basketball__qTXrSRHHR2M_s2262,2026-09-11T13:22:15Z,tracked,59.94005994005994,6,7793,0,3174,True,130.02989433333335,52.96958333333334,47.03041666666666,True,CAP,,7793,True,0,1,52.95290000000001
qTXrSRHHR2M_s3348,ncaa_basketball__qTXrSRHHR2M_s3348,2026-09-11T13:22:34Z,tracked,59.94005994005994,6,7793,0,3084,True,130.02990533333335,51.46808333333334,48.53191666666666,True,CAP,,7793,True,0,1,51.45140000000001
qTXrSRHHR2M_s4434,ncaa_basketball__qTXrSRHHR2M_s4434,2026-09-11T13:22:56Z,tracked,59.94005994005994,6,7793,0,3174,True,130.01321633333333,52.96958333333334,47.03041666666666,True,CAP,,7793,True,0,0,52.95290000000001
qTXrSRHHR2M_s5520,ncaa_basketball__qTXrSRHHR2M_s5520,2026-09-11T13:23:15Z,tracked,59.94005994005994,6,7793,0,3174,True,130.04658333333333,52.96958333333334,47.03041666666666,True,CAP,,7793,True,0,2,52.95290000000001
qTXrSRHHR2M_s90,ncaa_basketball__qTXrSRHHR2M_s90,2026-09-11T13:23:37Z,tracked,59.94005994005994,6,7793,0,3264,True,130.01321633333333,54.47108333333334,45.52891666666666,True,CAP,,7793,True,0,0,54.45440000000001
s-0Y7aLxXgM_s1275,ncaa_basketball__s-0Y7aLxXgM_s1275,2026-09-11T13:25:19Z,tracked,59.94005994005994,6,7793,0,3624,True,130.01321633333333,60.47708333333334,39.52291666666666,True,CAP,,7793,True,0,0,60.46040000000001
s-0Y7aLxXgM_s2460,ncaa_basketball__s-0Y7aLxXgM_s2460,2026-09-11T13:25:36Z,tracked,59.94005994005994,6,7793,90,3624,True,130.02989433333335,60.47708333333334,39.52291666666666,True,CAP,,7793,True,0,1,60.46040000000001
s-0Y7aLxXgM_s3645,ncaa_basketball__s-0Y7aLxXgM_s3645,2026-09-11T13:25:54Z,tracked,59.94005994005994,6,7793,0,3084,True,130.01321633333333,51.46808333333334,48.53191666666666,True,CAP,,7793,True,0,0,51.45140000000001
s-0Y7aLxXgM_s4830,ncaa_basketball__s-0Y7aLxXgM_s4830,2026-09-11T13:26:13Z,tracked,59.94005994005994,6,7793,900,3804,True,130.02989433333335,63.48008333333334,36.51991666666666,True,CAP,,7793,True,0,1,63.46340000000001
s-0Y7aLxXgM_s90,ncaa_basketball__s-0Y7aLxXgM_s90,2026-09-11T13:26:27Z,tracked,59.94005994005994,6,7793,0,3084,True,130.01321633333333,51.46808333333334,48.53191666666666,True,CAP,,7793,True,0,0,51.45140000000001
spBCthmSgks_s1395,nba__spBCthmSgks_s1395,2026-09-11T13:41:48Z,tracked,23.976023976023978,2,3118,12,2997,True,130.17170833333333,125.04158333333334,0.0,False,CAP,,3118,True,0,3,124.999875
spBCthmSgks_s2700,nba__spBCthmSgks_s2700,2026-09-11T13:41:59Z,tracked,23.976023976023978,2,3118,0,3117,True,130.21341933333332,130.04658333333333,0.0,False,EOF,,3118,True,0,4,130.004875
spBCthmSgks_s4005,nba__spBCthmSgks_s4005,2026-09-11T13:42:11Z,tracked,23.976023976023978,2,3118,12,3087,True,130.08829733333334,128.79533333333333,0.0,False,CAP,,3118,True,0,1,128.753625
