source_name,source_frame_count,validated_fps,cap_basis,arm_a_frame_cap,arm_b_frame_cap,arm_a_read_frames,arm_b_read_frames,arm_a_last_admitted_pts,arm_a_first_excluded_pts,arm_b_last_admitted_pts,arm_b_first_excluded_pts,arm_a_span_s,arm_b_span_s,arm_a_status,arm_b_status,arm_a_loss_s,arm_b_loss_s,native_frame_interval_s,arm_b_reaches_target,declared_stride_opportunities,draw_j,draw_index,competition,game,section,digest
basketball__acb-jHcR5UxPGuE_s90.mp4,7801,60.0,VALIDATED_FPS,3000,6000,3000,6000,49.983333,50.0,99.983333,100.0,50.0,100.0,CAPPED,CAPPED,50.0,0.0,0.016666666666666666,True,1000,0,0,basketball,acb-jHcR5UxPGuE,90,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed
basketball__acb-jHcR5UxPGuE_s3999.mp4,7801,60.0,VALIDATED_FPS,3000,6000,3000,6000,49.983333,50.0,99.983333,100.0,50.0,100.0,CAPPED,CAPPED,50.0,0.0,0.016666666666666666,True,1000,1,3,basketball,acb-jHcR5UxPGuE,3999,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e
nba__1rZZ_7buX_Y_s5474.mp4,7787,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.069289,50.085978,100.071789,100.088489,50.085978,100.088489,CAPPED,CAPPED,49.914022,0.0,0.016683333333333335,False,1000,2,6,nba,1rZZ_7buX_Y,5474,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0
nba__3gBeJyl7Szg_s1196.mp4,7801,60.0,VALIDATED_FPS,3000,6000,3000,6000,49.983333,50.0,99.983333,100.0,50.0,100.0,CAPPED,CAPPED,50.0,0.0,0.016666666666666666,True,1000,3,9,nba,3gBeJyl7Szg,1196,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01
nba__3gBeJyl7Szg_s4514.mp4,7801,60.0,VALIDATED_FPS,3000,6000,3000,6000,49.983333,50.0,99.983333,100.0,50.0,100.0,CAPPED,CAPPED,50.0,0.0,0.016666666666666666,True,1000,4,12,nba,3gBeJyl7Szg,4514,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5
nba__FnbFGnX4Qgo_s2822.mp4,7794,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,5,15,nba,FnbFGnX4Qgo,2822,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f
nba__H1-Ns9IU-JM_s90.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,6,18,nba,H1-Ns9IU-JM,90,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2
nba__H1-Ns9IU-JM_s4314.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,7,21,nba,H1-Ns9IU-JM,4314,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4
nba__Kh7Fj4ogPN4_s1262.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,8,24,nba,Kh7Fj4ogPN4,1262,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc
nba__Kh7Fj4ogPN4_s4778.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,9,27,nba,Kh7Fj4ogPN4,4778,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611
nba__Ktu6yFS9iMo_s1311.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,10,30,nba,Ktu6yFS9iMo,1311,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f
nba__Ktu6yFS9iMo_s4974.mp4,7794,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,11,33,nba,Ktu6yFS9iMo,4974,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4
nba__L7o4UCIIqS4_s1373.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,12,36,nba,L7o4UCIIqS4,1373,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5
nba__L7o4UCIIqS4_s5222.mp4,7794,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,13,39,nba,L7o4UCIIqS4,5222,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862
nba__oL9Uaie2v2A_s2438.mp4,7794,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,14,42,nba,oL9Uaie2v2A,2438,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744
ncaa_basketball__6rQ2sV4upfc_s90.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,15,46,ncaa_basketball,6rQ2sV4upfc,90,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,16,49,ncaa_basketball,6rQ2sV4upfc,4347,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c
ncaa_basketball__7blRl4zVfrY_s2356.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,17,52,ncaa_basketball,7blRl4zVfrY,2356,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7
ncaa_basketball__FyMWTVsJvv8_s90.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,18,55,ncaa_basketball,FyMWTVsJvv8,90,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,19,58,ncaa_basketball,FyMWTVsJvv8,4332,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033322,50.05,99.9999,100.016589,50.05,100.016589,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,20,61,ncaa_basketball,Ge4uewCFUFQ,2382,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,21,64,ncaa_basketball,IpR4pT8iN0Y,90,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,7793,59.94005994005994,VALIDATED_FPS,3000,5995,3000,5995,50.033311,50.05,99.9999,100.016578,50.05,100.016578,CAPPED,CAPPED,49.95,0.0,0.016683333333333335,True,1000,22,67,ncaa_basketball,IpR4pT8iN0Y,3603,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882
