draw_j,draw_index,source_name,competition,game,section,validated_fps,fps_basis,stream_duration_s,height,bytes,digest
0,0,basketball__acb-jHcR5UxPGuE_s90.mp4,basketball,acb-jHcR5UxPGuE,90,60.0,TWO_READER_AGREEMENT,130.033,720,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed
1,3,basketball__acb-jHcR5UxPGuE_s3999.mp4,basketball,acb-jHcR5UxPGuE,3999,60.0,TWO_READER_AGREEMENT,130.016,720,52437550,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e
2,6,nba__1rZZ_7buX_Y_s5474.mp4,nba,1rZZ_7buX_Y,5474,59.94005994005994,TWO_READER_AGREEMENT,130.021,1080,95163842,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0
3,9,nba__3gBeJyl7Szg_s1196.mp4,nba,3gBeJyl7Szg,1196,60.0,TWO_READER_AGREEMENT,130.05,720,45350999,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01
4,12,nba__3gBeJyl7Szg_s4514.mp4,nba,3gBeJyl7Szg,4514,60.0,TWO_READER_AGREEMENT,130.083,720,47733494,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5
5,15,nba__FnbFGnX4Qgo_s2822.mp4,nba,FnbFGnX4Qgo,2822,59.94005994005994,TWO_READER_AGREEMENT,130.099,1080,75623391,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f
6,18,nba__H1-Ns9IU-JM_s90.mp4,nba,H1-Ns9IU-JM,90,59.94005994005994,TWO_READER_AGREEMENT,130.02,1080,69118919,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2
7,21,nba__H1-Ns9IU-JM_s4314.mp4,nba,H1-Ns9IU-JM,4314,59.94005994005994,TWO_READER_AGREEMENT,130.023,1080,82140964,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4
8,24,nba__Kh7Fj4ogPN4_s1262.mp4,nba,Kh7Fj4ogPN4,1262,59.94005994005994,TWO_READER_AGREEMENT,130.058,720,52342554,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc
9,27,nba__Kh7Fj4ogPN4_s4778.mp4,nba,Kh7Fj4ogPN4,4778,59.94005994005994,TWO_READER_AGREEMENT,130.036,720,56755801,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611
10,30,nba__Ktu6yFS9iMo_s1311.mp4,nba,Ktu6yFS9iMo,1311,59.94005994005994,TWO_READER_AGREEMENT,130.057,720,50470689,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f
11,33,nba__Ktu6yFS9iMo_s4974.mp4,nba,Ktu6yFS9iMo,4974,59.94005994005994,TWO_READER_AGREEMENT,130.049,720,52661744,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4
12,36,nba__L7o4UCIIqS4_s1373.mp4,nba,L7o4UCIIqS4,1373,59.94005994005994,TWO_READER_AGREEMENT,130.035,720,57231693,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5
13,39,nba__L7o4UCIIqS4_s5222.mp4,nba,L7o4UCIIqS4,5222,59.94005994005994,TWO_READER_AGREEMENT,130.047,720,46736475,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862
14,42,nba__oL9Uaie2v2A_s2438.mp4,nba,oL9Uaie2v2A,2438,59.94005994005994,TWO_READER_AGREEMENT,130.049,720,50026054,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744
15,46,ncaa_basketball__6rQ2sV4upfc_s90.mp4,ncaa_basketball,6rQ2sV4upfc,90,59.94005994005994,TWO_READER_AGREEMENT,130.037,720,54041007,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5
16,49,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,ncaa_basketball,6rQ2sV4upfc,4347,59.94005994005994,TWO_READER_AGREEMENT,130.023,720,52188825,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c
17,52,ncaa_basketball__7blRl4zVfrY_s2356.mp4,ncaa_basketball,7blRl4zVfrY,2356,59.94005994005994,TWO_READER_AGREEMENT,130.017,720,56478743,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7
18,55,ncaa_basketball__FyMWTVsJvv8_s90.mp4,ncaa_basketball,FyMWTVsJvv8,90,59.94005994005994,TWO_READER_AGREEMENT,130.019,720,58427269,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957
19,58,ncaa_basketball__FyMWTVsJvv8_s4332.mp4,ncaa_basketball,FyMWTVsJvv8,4332,59.94005994005994,TWO_READER_AGREEMENT,130.024,720,57043679,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80
20,61,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,ncaa_basketball,Ge4uewCFUFQ,2382,59.94005994005994,TWO_READER_AGREEMENT,130.026,720,56676340,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de
21,64,ncaa_basketball__IpR4pT8iN0Y_s90.mp4,ncaa_basketball,IpR4pT8iN0Y,90,59.94005994005994,TWO_READER_AGREEMENT,130.087,720,53555283,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594
22,67,ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,ncaa_basketball,IpR4pT8iN0Y,3603,59.94005994005994,TWO_READER_AGREEMENT,130.029,720,53781321,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882
23,70,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,ncaa_basketball,KZK9rv9TnGE,2858,59.94005994005994,TWO_READER_AGREEMENT,130.051,720,56773280,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f
24,73,ncaa_basketball__KZK9rv9TnGE_s7010.mp4,ncaa_basketball,KZK9rv9TnGE,7010,59.94005994005994,TWO_READER_AGREEMENT,130.033,720,56448407,ff08f42fc407650ced673a86a2a45ce5fba92cacdfb39a428f7779a9d81f92cd
25,76,ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,ncaa_basketball,dAy3tnlu3EQ,2914,59.94005994005994,TWO_READER_AGREEMENT,130.024,720,52008265,351c95528ab0c8b078a4a502485ea0b977b973d824b498e76cd3663728c40841
26,79,ncaa_basketball__qTXrSRHHR2M_s1176.mp4,ncaa_basketball,qTXrSRHHR2M,1176,59.94005994005994,TWO_READER_AGREEMENT,130.021,720,55295560,09ce5c2bc7aa82e0ababd37f2fd1ef686efdc7034eee83299b9a58cc9751204b
27,82,ncaa_basketball__qTXrSRHHR2M_s4434.mp4,ncaa_basketball,qTXrSRHHR2M,4434,59.94005994005994,TWO_READER_AGREEMENT,130.027,720,57333697,1b93f3a24ea0835ab220f08bae0c87baecaecc51db43b6150ab83ee7597dcb22
28,85,ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,ncaa_basketball,s-0Y7aLxXgM,1275,59.94005994005994,TWO_READER_AGREEMENT,130.02,720,55405416,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84
29,88,ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,ncaa_basketball,s-0Y7aLxXgM,4830,59.94005994005994,TWO_READER_AGREEMENT,130.038,720,54805277,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2
