token,path,line,changed_by_proposal,alias_note
--frames,scripts/batch_from_channel.py,118,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/batch_reprocess.py,131,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/batch_reprocess.py,146,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/batch_reprocess_games.py,14,False,"argv value only, when the daemon passes its probe"
--frames,scripts/batch_reprocess_games.py,17,False,"argv value only, when the daemon passes its probe"
--frames,scripts/batch_reprocess_games.py,90,False,"argv value only, when the daemon passes its probe"
--frames,scripts/batch_reprocess_games.py,148,False,"argv value only, when the daemon passes its probe"
--frames,scripts/batch_season.py,17,False,"argv value only, when the daemon passes its probe"
--frames,scripts/batch_season.py,200,False,"argv value only, when the daemon passes its probe"
--frames,scripts/batch_season.py,246,False,"argv value only, when the daemon passes its probe"
--frames,scripts/bootstrap_pod.sh,14,False,"argv value only, when the daemon passes its probe"
_VRAM_FLUSH_INTERVAL,scripts/bootstrap_pod.sh,157,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/bootstrap_pod.sh,160,False,must not move
--frames,scripts/bootstrap_pod.sh,217,False,"argv value only, when the daemon passes its probe"
_VRAM_FLUSH_INTERVAL,scripts/bot_guards/pre_edit_check.py,41,False,must not move
_VRAM_FLUSH_INTERVAL,scripts/build_brain.py,1574,False,must not move
max_frames,scripts/build_brain.py,1911,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/courtvision/cv_demo_replay.py,17,False,"argv value only, when the daemon passes its probe"
--frames,scripts/courtvision/cv_demo_replay.py,98,False,"argv value only, when the daemon passes its probe"
--frames,scripts/diagnose_pose_pipeline.py,14,False,"argv value only, when the daemon passes its probe"
--frames,scripts/diagnose_pose_pipeline.py,116,False,"argv value only, when the daemon passes its probe"
--frames,scripts/diagnostics/_bench_run.py,9,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/diagnostics/_bench_run.py,75,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/diagnostics/_bench_run.py,77,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/diagnostics/_bench_run.py,92,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/diagnostics/_bench_run.py,96,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/diagnostics/_bench_run.py,101,False,"preserved run_clip and pipeline name, untouched"
--frames,scripts/diagnostics/_bench_run.py,124,False,"argv value only, when the daemon passes its probe"
max_frames,scripts/full_game_pipeline.py,426,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/full_game_pipeline.py,471,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/full_game_pipeline.py,830,False,"preserved run_clip and pipeline name, untouched"
max_frames,scripts/full_game_pipeline.py,892,False,"preserved run_clip and pipeline name, untouched"
