source_name,competition,game,section,avg_frame_rate,r_frame_rate,validated_fps,fps_basis,stream_duration_s,height,nb_frames,bytes,in_shadow_population,in_draw
basketball__acb-jHcR5UxPGuE_s1393.mp4,basketball,acb-jHcR5UxPGuE,1393,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.016,720,8061,56995485,True,False
basketball__acb-jHcR5UxPGuE_s2696.mp4,basketball,acb-jHcR5UxPGuE,2696,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.033,720,8007,56887995,True,False
basketball__acb-jHcR5UxPGuE_s3999.mp4,basketball,acb-jHcR5UxPGuE,3999,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.016,720,7929,52437550,True,True
basketball__acb-jHcR5UxPGuE_s90.mp4,basketball,acb-jHcR5UxPGuE,90,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.033,720,7827,55642588,True,True
nba__1rZZ_7buX_Y_s2782.mp4,nba,1rZZ_7buX_Y,2782,6525000/108937,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.099,1080,7830,93406241,True,False
nba__1rZZ_7buX_Y_s4128.mp4,nba,1rZZ_7buX_Y,4128,355095000/5928427,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.043,1080,7891,95775930,True,False
nba__1rZZ_7buX_Y_s5474.mp4,nba,1rZZ_7buX_Y,5474,238560000/3982837,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.021,1080,7952,95163842,True,True
nba__1rZZ_7buX_Y_s6820.mp4,nba,1rZZ_7buX_Y,6820,721260000/12041671,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.048,1080,8014,28919840,True,False
nba__3gBeJyl7Szg_s1196.mp4,nba,3gBeJyl7Szg,1196,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.05,720,7817,45350999,True,True
nba__3gBeJyl7Szg_s2302.mp4,nba,3gBeJyl7Szg,2302,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.016,720,7905,50300132,True,False
nba__3gBeJyl7Szg_s3408.mp4,nba,3gBeJyl7Szg,3408,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.017,720,7993,39498331,True,False
nba__3gBeJyl7Szg_s4514.mp4,nba,3gBeJyl7Szg,4514,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.083,720,8081,47733494,True,True
nba__3gBeJyl7Szg_s90.mp4,nba,3gBeJyl7Szg,90,60/1,60/1,60.0,TWO_READER_AGREEMENT,130.117,720,8033,53285520,True,False
nba__FnbFGnX4Qgo_s1456.mp4,nba,FnbFGnX4Qgo,1456,351810000/5869363,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.018,1080,7818,90710941,True,False
nba__FnbFGnX4Qgo_s2822.mp4,nba,FnbFGnX4Qgo,2822,712890000/11893381,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.099,1080,7921,75623391,True,True
nba__FnbFGnX4Qgo_s4188.mp4,nba,FnbFGnX4Qgo,4188,361035000/6023267,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.031,1080,8023,64231792,True,False
nba__FnbFGnX4Qgo_s5554.mp4,nba,FnbFGnX4Qgo,5554,703890000/11743231,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.029,1080,7821,90266002,True,False
nba__FnbFGnX4Qgo_s90.mp4,nba,FnbFGnX4Qgo,90,721800000/12042029,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,1080,8020,85302949,True,False
nba__H1-Ns9IU-JM_s1498.mp4,nba,H1-Ns9IU-JM,1498,142272000/2373571,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.027,1080,7904,79709513,True,False
nba__H1-Ns9IU-JM_s2906.mp4,nba,H1-Ns9IU-JM,2906,728280000/12150137,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.033,1080,8092,81490546,True,False
nba__H1-Ns9IU-JM_s4314.mp4,nba,H1-Ns9IU-JM,4314,358875000/5987231,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.023,1080,7975,82140964,True,True
nba__H1-Ns9IU-JM_s5722.mp4,nba,H1-Ns9IU-JM,5722,44206875/737518,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.063,1080,7859,68891654,True,False
nba__H1-Ns9IU-JM_s90.mp4,nba,H1-Ns9IU-JM,90,721800000/12042029,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.02,1080,8020,69118919,True,True
nba__Kh7Fj4ogPN4_s1262.mp4,nba,Kh7Fj4ogPN4,1262,177435000/2960207,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.058,720,7886,52342554,True,True
nba__Kh7Fj4ogPN4_s2434.mp4,nba,Kh7Fj4ogPN4,2434,28742400/479519,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.045,720,7984,54189024,True,False
nba__Kh7Fj4ogPN4_s3606.mp4,nba,Kh7Fj4ogPN4,3606,177075000/2954201,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.049,720,7870,54541208,True,False
nba__Kh7Fj4ogPN4_s4778.mp4,nba,Kh7Fj4ogPN4,4778,147546000/2461559,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.036,720,8197,56755801,True,True
nba__Kh7Fj4ogPN4_s5950.mp4,nba,Kh7Fj4ogPN4,5950,353475000/5897141,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.024,720,7855,54056259,True,False
nba__Kh7Fj4ogPN4_s90.mp4,nba,Kh7Fj4ogPN4,90,181035000/3020267,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.036,720,8046,55862107,True,False
nba__Ktu6yFS9iMo_s1311.mp4,nba,Ktu6yFS9iMo,1311,357435000/5963207,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.057,720,7943,50470689,True,True
nba__Ktu6yFS9iMo_s2532.mp4,nba,Ktu6yFS9iMo,2532,353970000/5905399,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.026,720,7866,46239769,True,False
nba__Ktu6yFS9iMo_s3753.mp4,nba,Ktu6yFS9iMo,3753,728370000/12151639,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.062,720,8093,42990518,True,False
nba__Ktu6yFS9iMo_s4974.mp4,nba,Ktu6yFS9iMo,4974,721440000/12036023,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.049,720,8016,52661744,True,True
nba__Ktu6yFS9iMo_s6195.mp4,nba,Ktu6yFS9iMo,6195,357210000/5959453,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.052,720,7938,45328752,True,False
nba__Ktu6yFS9iMo_s90.mp4,nba,Ktu6yFS9iMo,90,721800000/12042029,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.07,720,8020,49108375,True,False
nba__L7o4UCIIqS4_s1373.mp4,nba,L7o4UCIIqS4,1373,355635000/5933177,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.035,720,7903,57231693,True,True
nba__L7o4UCIIqS4_s2656.mp4,nba,L7o4UCIIqS4,2656,177727500/2965087,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.067,720,7899,54975598,True,False
nba__L7o4UCIIqS4_s3939.mp4,nba,L7o4UCIIqS4,3939,728640000/12156143,60000/1001,59.94005994005994,TWO_READER_AGREEMENT,130.048,720,8096,57778870,True,False
