name,pod_sha256,pc_sha256,bytes,raw_byte_match
basketball__acb-jHcR5UxPGuE_s3999.mp4,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,52437550,True
basketball__acb-jHcR5UxPGuE_s90.mp4,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,55642588,True
nba__1rZZ_7buX_Y_s5474.mp4,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,95163842,True
nba__3gBeJyl7Szg_s1196.mp4,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,45350999,True
nba__3gBeJyl7Szg_s4514.mp4,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,47733494,True
nba__FnbFGnX4Qgo_s2822.mp4,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,75623391,True
nba__H1-Ns9IU-JM_s4314.mp4,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,82140964,True
nba__H1-Ns9IU-JM_s90.mp4,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,69118919,True
nba__Kh7Fj4ogPN4_s1262.mp4,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,52342554,True
nba__Kh7Fj4ogPN4_s4778.mp4,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,56755801,True
nba__Ktu6yFS9iMo_s1311.mp4,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f,50470689,True
nba__Ktu6yFS9iMo_s4974.mp4,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4,52661744,True
nba__L7o4UCIIqS4_s1373.mp4,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5,57231693,True
nba__L7o4UCIIqS4_s5222.mp4,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,46736475,True
nba__oL9Uaie2v2A_s1264.mp4,b9408f943e1cda85b55ed6efb85f15a2f65135f0210f440628f9d79409e6c98f,b9408f943e1cda85b55ed6efb85f15a2f65135f0210f440628f9d79409e6c98f,55386861,True
