game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss
0022400921,3163,DAL,26892,28001,1110,18.52,202.7,137.2,0.03,8,1,26988,0,hand_off,,,6,3,0,41,27,1,76.1,5.6,3pt_arc,,0
0022400921,3175,PHX,28272,29507,1236,20.62,54.5,83.0,-0.93,4,0,,0,hand_off,,,0,1,1,12,1,0,39.8,3.5,mid_range,,0
0022400921,3358,PHX,30870,31667,798,13.31,,,,0,1,30870,0,isolation,,,0,0,0,6,63,0,,10.8,mid_range,,0
0022400921,3397,DAL,31950,32489,540,9.01,152.6,,,0,0,,0,cut,,,0,2,0,20,1,1,,15.1,mid_range,,0
0022400921,3512,DAL,33174,33737,564,9.41,,383.1,0.78,0,0,,0,cut,,,0,0,0,0,1,0,,14.7,backcourt,,0
0022400921,3643,PHX,34698,35939,1242,20.72,214.5,614.9,2.64,11,1,35406,0,cut,,,0,6,0,45,1,0,225.6,3.4,mid_range,,0
0022400921,3746,PHX,36738,37121,384,6.41,534.4,706.5,-2.32,1,1,37086,0,hand_off,,,0,0,0,7,65,0,5.0,17.7,corner_3,,0
0022400921,3747,DAL,37122,37991,869,14.5,,842.5,-0.08,2,1,37578,0,transition,,,0,0,0,0,60,0,12.2,22.1,corner_3,,0
0022400921,3839,DAL,38526,38747,222,3.7,,188.2,-4.57,1,1,38526,0,off_screen,,,0,1,0,15,157,0,74.2,20.4,mid_range,,0
0022400921,3840,PHX,38748,39101,354,5.91,39.5,216.3,-0.87,0,0,,0,off_screen,,,0,3,0,13,128,0,200.0,18.2,3pt_arc,,0
0022400921,3841,DAL,39102,39239,138,2.3,46.5,145.7,3.75,3,0,,0,hand_off,,,0,2,0,10,209,0,41.4,21.8,mid_range,,0
0022400921,3842,PHX,39240,39539,300,5.0,68.6,81.6,-1.27,0,0,,0,hand_off,,,0,4,0,14,241,0,1.7,19.1,mid_range,,0
0022400921,3843,DAL,39540,39665,126,2.1,,291.6,-1.23,0,1,39582,0,hand_off,,,0,0,0,7,107,0,4.4,22.0,mid_range,,0
