table,sport,rows,n_frames,coordinate_spaces,first_blocker,downstream_ready_if_coordinate_or_schema_fixed,eligible_gain_if_that_blocker_alone_is_fixed
football__Bsqeb795J0,football,59321,8934,image_px,coordinate_contract_image_px,1,1
football_17DHInPNTnY,football,0,0,,empty_or_header_only,0,0
football_20pezoC5jRQ,football,39255,7781,image_px,coordinate_contract_image_px,1,1
football_22iadGbRAyE,football,118924,9593,image_px,coordinate_contract_image_px,1,1
football_34GmmlakBYU,football,112988,9542,image_px,coordinate_contract_image_px,1,1
football_5x9vPq9HsTI,football,65146,8943,image_px,coordinate_contract_image_px,1,1
football_6oUm30M1HZ8,football,23081,7163,image_px,coordinate_contract_image_px,1,1
football_7Af2PqyvT8A,football,0,0,,empty_or_header_only,0,0
football_a7OUF22mt-I,football,0,0,,empty_or_header_only,0,0
football_aL_ZQEaQ_LY,football,9575,9575,image_px,coordinate_contract_image_px,1,1
football_B-aAcjvtu9I,football,66722,8825,image_px,coordinate_contract_image_px,1,1
football_B7znSVfBnM4,football,146689,9585,image_px,coordinate_contract_image_px,1,1
football_bj9lY3FEDw0,football,43005,7909,image_px,coordinate_contract_image_px,1,1
football_cxbBz4nkovE,football,40470,9601,image_px,coordinate_contract_image_px,1,1
football_DrxDFaRonuE,football,7218,6448,image_px,coordinate_contract_image_px,1,1
football_eU55ugTsdz8,football,9096,568,,missing_required_coordinate_or_schema,1,1
football_fh9CTJ0-PpQ,football,58652,8547,image_px,coordinate_contract_image_px,1,1
football_gek9fXGlwas,football,103205,9527,image_px,coordinate_contract_image_px,1,1
football_GU6CrRLjTkw,football,5539,5397,image_px,coordinate_contract_image_px,1,1
football_h-_3BmAh9po,football,99581,9358,image_px,coordinate_contract_image_px,1,1
football_iaDDTxNEOfE,football,6086,6012,image_px,coordinate_contract_image_px,1,1
football_J9WamaxtwdQ,football,89052,9511,image_px,coordinate_contract_image_px,1,1
football_jK1AuQzymVE,football,81441,9439,image_px,coordinate_contract_image_px,1,1
football_kXfNJsCLLIA,football,96562,9499,image_px,coordinate_contract_image_px,1,1
football_L3WOKdFhdkQ,football,108705,9409,image_px,coordinate_contract_image_px,1,1
football_lsYEcWf4Zbg,football,16305,7673,image_px,coordinate_contract_image_px,1,1
football_m8UWuQoflJo,football,13583,765,,missing_required_coordinate_or_schema,1,1
football_O-vEbXeVc_0,football,0,0,,empty_or_header_only,0,0
football_owXX5PI64gU,football,9635,9591,image_px,coordinate_contract_image_px,1,1
football_P_TdW-vpywo,football,12578,4300,image_px,coordinate_contract_image_px,1,1
football_qzjIo3_M_3U,football,9591,9591,image_px,coordinate_contract_image_px,1,1
football_r3nqqnCyZw8,football,6155,384,,missing_required_coordinate_or_schema,1,1
football_S3ZqSGRVU3w,football,109240,9283,image_px,coordinate_contract_image_px,1,1
football_tEpTKZKk7ks,football,61273,8294,image_px,coordinate_contract_image_px,1,1
football_tKc73Meexzo,football,68965,8748,image_px,coordinate_contract_image_px,1,1
football_TqKwnvxbKDw,football,67082,8692,image_px,coordinate_contract_image_px,1,1
football_VEoXn84p9o8,football,5960,4954,image_px,coordinate_contract_image_px,1,1
football_wHZt1eY3A9s,football,8578,513,,missing_required_coordinate_or_schema,1,1
football_xnHO7JWdRcQ,football,9877,555,,missing_required_coordinate_or_schema,1,1
football_yahhMkUWd7c,football,4697,268,,missing_required_coordinate_or_schema,1,1
football_yaLoyksqqFY,football,872,45,,missing_required_coordinate_or_schema,1,1
football_Z8Ezd95NnjM,football,1220,79,,missing_required_coordinate_or_schema,1,1
football_ZHJWGNGE0Cg,football,31467,7332,image_px,coordinate_contract_image_px,1,1
g89_tennis_09,tennis,2850,1226,court_feet,eligible,1,0
g89_tennis_10,tennis,2103,880,court_feet,eligible,1,0
g89_tennis_nyYk2nPZAwY_720p,tennis,5333,2245,court_feet,eligible,1,0
kbo_01,kbo,5300,3036,,missing_required_coordinate_or_schema,1,1
kbo_02,kbo,2000,1326,,missing_required_coordinate_or_schema,1,1
kbo_03,kbo,3678,2245,,missing_required_coordinate_or_schema,1,1
kbo_04,kbo,2717,1616,,missing_required_coordinate_or_schema,1,1
kbo_05,kbo,3298,1930,,missing_required_coordinate_or_schema,1,1
kbo_06,kbo,5285,3001,,missing_required_coordinate_or_schema,1,1
kbo_07,kbo,1809,1242,,missing_required_coordinate_or_schema,1,1
kbo_08,kbo,2437,1436,,missing_required_coordinate_or_schema,1,1
kbo_09,kbo,1811,1131,,missing_required_coordinate_or_schema,1,1
kbo_10,kbo,82967,18966,image_px,coordinate_contract_image_px,1,1
kbo_1IwwT5ysVSY,kbo,30119,8122,image_px,coordinate_contract_image_px,1,1
kbo_2WqtNa-uUZU,kbo,50366,9551,image_px,coordinate_contract_image_px,1,1
kbo_2ZtgAvs67so,kbo,13314,6682,image_px,coordinate_contract_image_px,1,1
kbo_64cdlFkEuCc,kbo,33942,8766,image_px,coordinate_contract_image_px,1,1
kbo_8yxSFxuR2Lk,kbo,13488,6932,image_px,coordinate_contract_image_px,1,1
kbo_9Hv-cd-BmSY,kbo,23001,8536,image_px,coordinate_contract_image_px,1,1
kbo_ahHGpSJWcIU,kbo,21945,8547,image_px,coordinate_contract_image_px,1,1
kbo_bGQwZl43E9Y,kbo,10009,4992,image_px,coordinate_contract_image_px,1,1
kbo_cyRosVcG7zI,kbo,21208,8951,image_px,coordinate_contract_image_px,1,1
kbo_eeH8RMtS24U,kbo,13907,7283,image_px,coordinate_contract_image_px,1,1
kbo_FA3W5xMyYRY,kbo,41028,9454,image_px,coordinate_contract_image_px,1,1
kbo_FDSWjM_OaTs,kbo,48793,8499,image_px,coordinate_contract_image_px,1,1
kbo_fy6pf01O2gE,kbo,19500,8055,image_px,coordinate_contract_image_px,1,1
kbo_h7IUxRgXbL8,kbo,16502,7559,image_px,coordinate_contract_image_px,1,1
kbo_hl_xGuMseB8,kbo,9950,5533,image_px,coordinate_contract_image_px,1,1
kbo_Lh8n_DUXyGE,kbo,13767,7943,image_px,coordinate_contract_image_px,1,1
kbo_lIxmDQyQDtc,kbo,20094,6905,image_px,coordinate_contract_image_px,1,1
kbo_lrK_Hv6BEE0,kbo,11810,4911,image_px,coordinate_contract_image_px,1,1
kbo_OJfFKo9Dq2A,kbo,44485,8414,image_px,coordinate_contract_image_px,1,1
kbo_qLQbGFQ0-EQ,kbo,31494,7334,image_px,coordinate_contract_image_px,1,1
kbo_QrO9d2csjsg,kbo,11400,6294,image_px,coordinate_contract_image_px,1,1
kbo_tHih8xD7MSY,kbo,37621,8754,image_px,coordinate_contract_image_px,1,1
kbo_tzC71aneg9c,kbo,21312,7097,image_px,coordinate_contract_image_px,1,1
kbo_UuivYJVZYtY,kbo,14323,5603,image_px,coordinate_contract_image_px,1,1
kbo_vPUqzscNQIk,kbo,28965,9564,image_px,coordinate_contract_image_px,1,1
kbo_W-tKSex-WPU,kbo,17107,9600,image_px,coordinate_contract_image_px,1,1
kbo_Y4HqKr58TZk,kbo,18736,9190,image_px,coordinate_contract_image_px,1,1
mlb_2026-08-30_03d78bee,baseball,2064,1235,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_08b16ce9,baseball,3436,1873,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_0f36e8cc,baseball,4043,2254,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_10893dca,baseball,3061,1857,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_1c6706c6,baseball,670,335,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_2143de43,baseball,2976,1763,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_2b814fad,baseball,2335,1284,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_3a02d9b3,baseball,919,648,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_7e8080e5,baseball,3125,1893,,missing_required_coordinate_or_schema,1,1
mlb_2026-08-30_f8812b72,baseball,9182,4925,,missing_required_coordinate_or_schema,1,1
mlb_231Mmqijar8,baseball,78315,8501,image_px,coordinate_contract_image_px,1,1
mlb_2iosUkpL0Bc,baseball,39503,5867,image_px,coordinate_contract_image_px,1,1
mlb_3Oc4S_1np98,baseball,40106,5802,image_px,coordinate_contract_image_px,1,1
mlb_5IA4jaKNOYg,baseball,36700,9601,image_px,coordinate_contract_image_px,1,1
mlb_5WpMyA0Xj6Y,baseball,33247,9601,image_px,coordinate_contract_image_px,1,1
mlb_6SEjheAAtcs,baseball,28798,9600,image_px,coordinate_contract_image_px,1,1
mlb_7T-rpI5l0ro,baseball,12629,9600,image_px,coordinate_contract_image_px,1,1
