source_name,arm,admitted_frames,first_admitted_index,last_admitted_index,contiguous,admitted_index_list_sha256,termination_reason,draw_j
basketball__acb-jHcR5UxPGuE_s90.mp4,A_legacy_frame_cap_3000,3000,0,2999,True,62e9ded1dbdbee6d6412977894478140be0213ae992eb30cf2e1f1e5164379cd,FRAME_CAP,0
basketball__acb-jHcR5UxPGuE_s90.mp4,B_g401_fps_frame_cap,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,FRAME_CAP,0
basketball__acb-jHcR5UxPGuE_s90.mp4,C_proposed_pts_stop,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,DEADLINE,0
basketball__acb-jHcR5UxPGuE_s3999.mp4,A_legacy_frame_cap_3000,3000,0,2999,True,62e9ded1dbdbee6d6412977894478140be0213ae992eb30cf2e1f1e5164379cd,FRAME_CAP,1
basketball__acb-jHcR5UxPGuE_s3999.mp4,B_g401_fps_frame_cap,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,FRAME_CAP,1
basketball__acb-jHcR5UxPGuE_s3999.mp4,C_proposed_pts_stop,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,DEADLINE,1
nba__1rZZ_7buX_Y_s5474.mp4,A_legacy_frame_cap_3000,3000,0,2999,True,62e9ded1dbdbee6d6412977894478140be0213ae992eb30cf2e1f1e5164379cd,FRAME_CAP,2
nba__1rZZ_7buX_Y_s5474.mp4,B_g401_fps_frame_cap,5995,0,5994,True,372a814d0cfe91d6d61bec5b527314c091afb7cab5c9348901a3018c98545336,FRAME_CAP,2
nba__1rZZ_7buX_Y_s5474.mp4,C_proposed_pts_stop,5990,0,5989,True,03a7cc9aebdcf6c60777a8f13bf149c3cf50c312300fe9c3ec657e07195a081b,DEADLINE,2
nba__3gBeJyl7Szg_s1196.mp4,A_legacy_frame_cap_3000,3000,0,2999,True,62e9ded1dbdbee6d6412977894478140be0213ae992eb30cf2e1f1e5164379cd,FRAME_CAP,3
nba__3gBeJyl7Szg_s1196.mp4,B_g401_fps_frame_cap,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,FRAME_CAP,3
nba__3gBeJyl7Szg_s1196.mp4,C_proposed_pts_stop,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,DEADLINE,3
nba__3gBeJyl7Szg_s4514.mp4,A_legacy_frame_cap_3000,3000,0,2999,True,62e9ded1dbdbee6d6412977894478140be0213ae992eb30cf2e1f1e5164379cd,FRAME_CAP,4
nba__3gBeJyl7Szg_s4514.mp4,B_g401_fps_frame_cap,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,FRAME_CAP,4
nba__3gBeJyl7Szg_s4514.mp4,C_proposed_pts_stop,6000,0,5999,True,3744821732a88e7b764ad61184a7dcfe08839107da539fdc9a55f41648959dc5,DEADLINE,4
nba__FnbFGnX4Qgo_s2822.mp4,A_legacy_frame_cap_3000,3000,0,2999,True,62e9ded1dbdbee6d6412977894478140be0213ae992eb30cf2e1f1e5164379cd,FRAME_CAP,5
nba__FnbFGnX4Qgo_s2822.mp4,B_g401_fps_frame_cap,5995,0,5994,True,372a814d0cfe91d6d61bec5b527314c091afb7cab5c9348901a3018c98545336,FRAME_CAP,5
nba__FnbFGnX4Qgo_s2822.mp4,C_proposed_pts_stop,5995,0,5994,True,372a814d0cfe91d6d61bec5b527314c091afb7cab5c9348901a3018c98545336,DEADLINE,5
