source_name,arm,rule,frame_cap,read_frames,admitted_frames,first_admitted_index,last_admitted_index,last_admitted_pts,first_excluded_index,first_excluded_pts,span_s,deadline_s,endpoint_gap_s,overshoot_s,termination_reason,unknown_reason,contained,native_frame_interval_s,draw_j
basketball__acb-jHcR5UxPGuE_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,49.983333,3000,50.000000,49.983333,100.000000,50.016667,-50.000000,FRAME_CAP,,True,0.016667,0
basketball__acb-jHcR5UxPGuE_s90.mp4,B_g401_fps_frame_cap,frame_cap,6000,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,FRAME_CAP,,True,0.016667,0
basketball__acb-jHcR5UxPGuE_s90.mp4,C_proposed_pts_stop,pts_stop,,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,DEADLINE,,True,0.016667,0
basketball__acb-jHcR5UxPGuE_s3999.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,49.983333,3000,50.000000,49.983333,100.000000,50.016667,-50.000000,FRAME_CAP,,True,0.016667,1
basketball__acb-jHcR5UxPGuE_s3999.mp4,B_g401_fps_frame_cap,frame_cap,6000,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,FRAME_CAP,,True,0.016667,1
basketball__acb-jHcR5UxPGuE_s3999.mp4,C_proposed_pts_stop,pts_stop,,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,DEADLINE,,True,0.016667,1
nba__1rZZ_7buX_Y_s5474.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,50.069289,3000,50.085978,50.069289,100.000000,49.930711,-49.914022,FRAME_CAP,,True,0.016683,2
nba__1rZZ_7buX_Y_s5474.mp4,B_g401_fps_frame_cap,frame_cap,5995,5996,5995,0,5994,100.071789,5995,100.088489,100.071789,100.000000,-0.071789,0.088489,FRAME_CAP,,False,0.016683,2
nba__1rZZ_7buX_Y_s5474.mp4,C_proposed_pts_stop,pts_stop,,5991,5990,0,5989,99.988311,5990,100.005011,99.988311,100.000000,0.011689,0.005011,DEADLINE,,True,0.016683,2
nba__3gBeJyl7Szg_s1196.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,49.983333,3000,50.000000,49.983333,100.000000,50.016667,-50.000000,FRAME_CAP,,True,0.016667,3
nba__3gBeJyl7Szg_s1196.mp4,B_g401_fps_frame_cap,frame_cap,6000,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,FRAME_CAP,,True,0.016667,3
nba__3gBeJyl7Szg_s1196.mp4,C_proposed_pts_stop,pts_stop,,6001,6000,0,5999,99.983333,6000,100.000000,99.983333,100.000000,0.016667,0.000000,DEADLINE,,True,0.016667,3
nba__3gBeJyl7Szg_s4514.mp4,A_legacy_frame_cap_3000,frame_cap,3000,3001,3000,0,2999,49.983333,3000,50.000000,49.983333,100.000000,50.016667,-50.000000,FRAME_CAP,,True,0.016667,4
