player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,192,0.384,35.0,0.18,7.0,155,0.807,0,0,0.0,0,0.0,1173.1,0.0
2,green,20,0.04,305.0,15.25,144.0,0,0.0,0,0,0.0,0,0.0,1185.3,0.0
3,green,3,0.006,3.0,1.0,3.0,1,0.333,0,0,0.0,0,0.0,1175.4,0.0
4,green,48,0.096,559.0,11.65,114.0,20,0.417,0,0,0.0,0,0.0,1177.1,0.0
5,green,17,0.034,272.0,16.0,105.0,5,0.294,0,0,0.0,0,0.0,1175.1,0.0
6,green,44,0.088,1133.0,25.75,216.0,1,0.023,0,0,0.0,0,0.0,1176.2,0.0
7,green,78,0.156,516.0,6.62,103.0,4,0.051,0,0,0.0,0,0.0,1173.8,0.0
8,green,34,0.068,587.0,17.26,152.0,0,0.0,0,0,0.0,0,0.0,1177.9,0.0
9,green,123,0.246,2401.0,19.52,190.0,99,0.805,0,4,0.0325,0,0.0,1174.9,0.0
10,green,263,0.526,1343.0,5.11,394.0,5,0.019,0,0,0.0,0,0.0,1174.7,0.0
