clip_id,sport,status,rows,wall_seconds,started_utc,finished_utc,resume,degenerate,source_state,guard_named,class
ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,thin,000000,000040,20260907T205711Z,20260907T205751Z,fresh_dir,true,gone,false,runner_absent
ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,thin,000000,000040,20260907T205711Z,20260907T205751Z,fresh_dir,true,gone,false,runner_absent
wnba_01_1080p,wnba,thin,000000,000040,20260907T205711Z,20260907T205751Z,fresh_dir,true,gone,false,runner_absent
wnba_06,wnba,thin,000000,000040,20260907T205711Z,20260907T205751Z,fresh_dir,true,gone,false,runner_absent
ncaa_basketball_mRkuGgeECak,ncaa_basketball,thin,000000,000040,20260907T205831Z,20260907T205911Z,fresh_dir,true,gone,false,runner_absent
ncaa_basketball_zqBCKovJCQU,ncaa_basketball,thin,000000,000040,20260907T210132Z,20260907T210212Z,fresh_dir,true,gone,false,runner_absent
ncaa_basketball_sRtHQbywiTE,ncaa_basketball,thin,000000,000040,20260907T210352Z,20260907T210432Z,fresh_dir,true,gone,false,runner_absent
wnba_02,wnba,thin,000000,000040,20260907T210432Z,20260907T210512Z,fresh_dir,true,gone,false,runner_absent
mia_bkn_2025,nba,tracked,000037,000420,20260907T215402Z,20260907T220102Z,fresh_dir,true,gone,false,no_tail_recorded
0022500575_s4500,nba,thin,000000,000158,20260907T225712Z,20260907T225950Z,no_data_dir,true,corpus,false,preflight_reject
0022500594_s4500,nba,thin,000000,001740,20260907T224149Z,20260907T231049Z,fresh_dir,false,corpus,false,stage1_empty
0022500575_s9300,nba,thin,000000,000202,20260907T232056Z,20260907T232418Z,no_data_dir,true,corpus,false,preflight_reject
phi_tor_2025,nba,thin,000000,004308,20260907T222021Z,20260907T233209Z,no_data_dir,false,gone,false,preflight_reject
atl_ind_2025,nba,thin,000000,004426,20260907T222020Z,20260907T233406Z,no_data_dir,false,gone,false,preflight_reject
bos_mia_2025,nba,thin,000000,004426,20260907T222020Z,20260907T233406Z,no_data_dir,false,gone,false,preflight_reject
nba_highlights_gsw,nba,thin,000000,004604,20260907T222021Z,20260907T233705Z,no_data_dir,false,gone,false,preflight_reject
sac_por_2025,nba,thin,000000,004604,20260907T222021Z,20260907T233705Z,no_data_dir,false,gone,false,preflight_reject
0022500592_s2700,nba,thin,000000,000104,20260908T000808Z,20260908T000952Z,no_data_dir,true,corpus,false,preflight_reject
0022500592_s300,nba,thin,000000,000104,20260908T000808Z,20260908T000952Z,no_data_dir,true,corpus,false,preflight_reject
0022500592_s9300,nba,thin,000000,000243,20260908T001250Z,20260908T001653Z,no_data_dir,true,corpus,false,preflight_reject
0022500592_s4500,nba,thin,000000,002098,20260908T001248Z,20260908T004746Z,fresh_dir,false,corpus,false,stage1_empty
0022500621_s2100,nba,thin,000000,000181,20260908T005503Z,20260908T005804Z,no_data_dir,true,corpus,false,preflight_reject
0022400909_s2400,nba,thin,000000,001502,20260908T003650Z,20260908T010152Z,fresh_dir,false,gone,true,stage1_empty
0022500621_s6000,nba,thin,000000,000214,20260908T005842Z,20260908T010216Z,no_data_dir,true,corpus,false,preflight_reject
0022400909_s2543,nba,thin,000000,001261,20260908T013935Z,20260908T020036Z,fresh_dir,false,gone,true,stage1_empty
0022500081_s4812,nba,thin,000000,000146,20260908T050645Z,20260908T050911Z,no_data_dir,true,corpus,false,preflight_reject
0022500081_s4515,nba,thin,000000,001159,20260908T050243Z,20260908T052202Z,fresh_dir,false,gone,true,stage1_empty
0022500081_s3030,nba,tracked,000001,000365,20260908T053040Z,20260908T053645Z,resume,true,gone,false,no_tail_recorded
0022500081_s357,nba,tracked,000002,000365,20260908T053040Z,20260908T053645Z,resume,true,corpus,false,no_tail_recorded
0022500081_s2436,nba,thin,000000,000393,20260908T053040Z,20260908T053713Z,resume,true,corpus,false,killed_midrun
0022500081_s3327,nba,tracked,000002,000393,20260908T053041Z,20260908T053714Z,resume,true,gone,true,no_tail_recorded
0022500081_s8673,nba,thin,000000,000092,20260908T063759Z,20260908T063931Z,no_data_dir,true,corpus,false,preflight_reject
0022500621_s7200,nba,thin,000000,000630,20260908T063911Z,20260908T064941Z,fresh_dir,false,corpus,false,stage1_empty
