game_id,rows,seconds,finished_at
ncaa_basketball_IB-_u4gW3ds_1080p,000000,000040,1788814671
ncaa_basketball_WFl3V7ZY4ss,000000,000040,1788814671
wnba_01_1080p,000000,000040,1788814671
wnba_06,000000,000040,1788814671
ncaa_basketball_mRkuGgeECak,000000,000040,1788814751
ncaa_basketball_zqBCKovJCQU,000000,000040,1788814932
ncaa_basketball_sRtHQbywiTE,000000,000040,1788815072
wnba_02,000000,000040,1788815112
ncaa_basketball_sRtHQbywiTE,001653,000221,1788815694
ncaa_basketball_IB-_u4gW3ds_1080p,004143,000483,1788815956
ncaa_basketball_zqBCKovJCQU,006623,000422,1788816097
ncaa_basketball_WFl3V7ZY4ss,004345,000644,1788816117
ncaa_basketball_mRkuGgeECak,005580,000744,1788816217
wnba_01_1080p,005588,000442,1788816237
wnba_06,003606,000380,1788816458
wnba_02,006287,000602,1788816498
wnba_04,006189,000260,1788817399
g220c_jh3fnwMi7dM,004543,000541,1788817620
wnba_05,004736,000521,1788817740
den_phx_2025,002972,000461,1788817781
okc_dal_2025,001695,000401,1788817801
gsw_lakers_2025,000717,000401,1788817901
ncaa_basketball_tiUvyvWOCxo,003778,000220,1788818022
mem_nop_2025,002192,000421,1788818142
bos_mia_playoffs,001941,000440,1788818362
mia_bkn_2025,000037,000420,1788818462
0022500594_s300,000413,000120,1788818642
0022500594_s2700,001188,000181,1788818723
mil_chi_2025,002642,000441,1788818744
0022500575_s300,002208,000143,1788818765
0022500575_s5400,003211,000676,1788819575
0022500630_s2700,001334,000677,1788819577
0022500630_s300,002027,000677,1788819577
0022500575_s2700,005746,000698,1788819597
0022500575_s8100,003461,000698,1788819597
0022500594_s5400,004170,000698,1788819597
0022500594_s8100,003764,000698,1788819597
cavs_broadcast_2025,001273,001226,1788820846
0022500594_s1500,004291,001944,1788821665
0022500594_s9300,003253,002049,1788821852
0022500594_s3900,003839,002133,1788821875
0022500594_s6600,003850,002135,1788821897
0022500575_s4500,000000,000158,1788821990
0022500575_s1500,006066,002285,1788822389
0022500594_s6000,001103,001505,1788822436
0022500594_s4500,000000,001740,1788822649
0022500594_s900,003294,002178,1788823087
0022500594_s3300,003466,002394,1788823303
0022500594_s2100,004750,002499,1788823407
0022500575_s9300,000000,000202,1788823458
0022500575_s2100,001853,002050,1788823673
0022500575_s6000,003161,001913,1788823884
phi_tor_2025,000000,004308,1788823929
atl_ind_2025,000000,004426,1788824046
bos_mia_2025,000000,004426,1788824046
0022500575_s3300,004403,002331,1788824136
nba_highlights_gsw,000000,004604,1788824225
sac_por_2025,000000,004604,1788824225
0022500575_s3900,005116,002631,1788824462
0022500575_s6600,003573,001457,1788825998
0022500575_s8700,003113,001537,1788826078
0022500575_s7200,002620,001566,1788826108
0022500575_s900,003303,001566,1788826108
0022500594_s8700,004204,001649,1788826191
0022500594_s9900,004180,001649,1788826191
0022500630_s1500,003735,001649,1788826192
0022500592_s2700,000000,000104,1788826192
0022500592_s300,000000,000104,1788826192
0022500594_s7200,005357,001679,1788826221
0022500592_s9300,000000,000243,1788826613
0022500630_s4500,000465,001260,1788827853
0022500592_s6000,002517,001877,1788828245
0022500592_s4500,000000,002098,1788828466
0022500592_s900,002508,002148,1788828517
0022500630_s3900,005176,002425,1788828795
0022500592_s2100,005267,002526,1788828894
0022500630_s2100,004787,002579,1788828949
0022500592_s1500,003151,002633,1788829001
0022500592_s8700,003594,002690,1788829060
0022500630_s3300,004137,002690,1788829060
0022500621_s2100,000000,000181,1788829084
0022500592_s3900,004269,002775,1788829143
0022500592_s5400,003578,002775,1788829143
0022500592_s7200,004319,002821,1788829190
0022500592_s8100,004745,002822,1788829191
0022400909_s2400,000000,001502,1788829312
0022500621_s6000,000000,000214,1788829336
0022500592_s3300,006394,003138,1788829506
0022500592_s6600,005044,003342,1788829711
0022500621_s1500,001414,002186,1788831037
0022500575,002459,002477,1788831228
0022500621_s4500,001760,002243,1788831307
0022500621_s2700,004664,002557,1788831513
0022500621_s300,003529,002502,1788831513
0022400909_s900,005603,003149,1788831622
0022500621_s6600,004764,002503,1788831626
0022500621_s3300,004616,002664,1788831676
0022500621_s5400,004361,002614,1788831679
0022500621_s3900,005823,002664,1788831728
0022400909_s3900,004255,003721,1788831922
0022400909_s5400,004016,003546,1788831991
0022400909_s442,004864,002914,1788832231
0022400909_s1015,006030,002974,1788832436
0022400909_s251,004394,003492,1788832784
0022400909_s2543,000000,001261,1788832836
0022400909_s1397,001956,002749,1788833740
0022400909_s2734,004334,002258,1788833890
0022400909_s1779,004928,002848,1788834111
0022400909_s1588,005826,003100,1788834309
