frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy
7,0.117,0,referee,3267,504,0.0,-1.0,0.0,paint,0,,154.9,,none,0.0,0.0,0.0,0,1,,0.0,697.0,249.0,757.0,328.0,,,0.0,351.9,0.0,0,0,6,0,1.0,0.67,3.0,4.0,0.0,0.67,3.0,4.0,0.0,0.67,3.0,4.0,0.0,0,0,0,6,,,,352.5,0.14,0.0,352.5,0.14,0.0,352.5,0.14,0.0,0.0,0,0.0,0
7,0.117,1,green,3348,636,0.0,0.0,0.0,paint,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,713.0,129.0,763.0,222.0,,,0.0,240.1,0.0,0,0,6,0,1.0,0.91,3.16,4.6,0.0,0.91,3.16,4.6,0.0,0.91,3.16,4.6,0.0,0,0,0,6,0.0,,,240.2,0.37,0.0,240.2,0.37,0.0,240.2,0.37,0.0,0.0,0,0.0,0
7,0.117,2,green,2527,1581,0.0,0.0,0.0,corner_3,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,549.0,180.0,613.0,299.0,,,0.0,1024.8,0.0,0,0,6,0,0.8,16.27,65.07,65.1,0.0,16.27,65.07,65.1,0.0,16.27,65.07,65.1,0.0,0,0,0,6,0.0,,,1025.7,0.37,0.0,1025.7,0.37,0.0,1025.7,0.37,0.0,0.0,0,0.0,0
8,0.133,0,referee,3267,504,0.0,0.0,0.0,paint,0,,153.4,,none,0.0,0.0,0.0,0,1,,0.0,697.0,250.0,757.0,328.0,,,0.0,351.9,0.0,0,0,7,0,1.0,0.57,3.0,4.0,0.0,0.57,3.0,4.0,0.0,0.57,3.0,4.0,0.0,0,0,0,7,,,,352.4,0.12,0.0,352.4,0.12,0.0,352.4,0.12,0.0,0.0,0,0.0,0
8,0.133,1,green,3350,633,3.61,3.61,303.7,paint,0,,,1255.4,none,0.0,2938.5,1107.0,1,0,,0.0,713.0,128.0,765.0,222.0,,,0.0,243.6,-3.55,0,0,7,0,1.0,1.36,3.61,8.2,0.0,1.36,3.61,8.2,0.0,1.36,3.61,8.2,0.0,0,0,0,7,1.8,,,240.8,-0.29,0.0,240.8,-0.29,0.0,240.8,-0.29,0.0,0.0,0,0.0,0
8,0.133,2,green,2527,1581,0.0,0.0,0.0,corner_3,0,,,1255.4,none,0.0,2938.5,1107.0,1,0,,0.0,549.0,180.0,613.0,299.0,,,0.0,1024.8,0.0,0,0,7,0,0.733,13.01,65.07,65.1,0.0,13.01,65.07,65.1,0.0,13.01,65.07,65.1,0.0,0,0,0,7,1.8,,,1025.5,0.3,0.0,1025.5,0.3,0.0,1025.5,0.3,0.0,0.0,0,0.0,0
9,0.15,0,referee,3267,504,0.0,0.0,0.0,paint,0,,,,none,0.0,0.0,0.0,0,0,,0.0,417.0,342.0,489.0,410.0,,,0.0,351.9,0.0,0,0,8,0,1.0,0.5,3.0,4.0,0.0,0.5,3.0,4.0,0.0,0.5,3.0,4.0,0.0,0,0,0,8,,,,352.4,0.11,0.0,352.4,0.11,0.0,352.4,0.11,0.0,0.0,0,0.0,0
10,0.167,0,referee,3267,504,0.0,0.0,0.0,paint,0,,1306.7,,none,0.0,0.0,0.0,0,0,,0.0,417.0,340.0,488.0,410.0,,,0.0,351.9,0.0,0,0,9,0,1.0,0.44,3.0,4.0,0.0,0.44,3.0,4.0,0.0,0.44,3.0,4.0,0.0,0,0,0,9,,,,352.3,0.1,0.0,352.3,0.1,0.0,352.3,0.1,0.0,0.0,0,0.0,0
10,0.167,2,green,2527,1581,0.0,0.0,0.0,corner_3,0,,,,none,0.0,2527.0,1581.0,0,0,,0.0,760.0,118.0,814.0,205.0,,,0.0,1024.8,0.0,0,0,9,0,1.0,10.84,65.07,65.1,0.0,10.84,65.07,65.1,0.0,10.84,65.07,65.1,0.0,0,0,0,9,0.0,,,1025.4,0.25,0.0,1025.4,0.25,0.0,1025.4,0.25,0.0,0.0,0,0.0,0
11,0.184,0,referee,2877,1629,1190.68,1190.68,109.1,corner_3,0,,353.3,,none,0.0,0.0,0.0,0,0,,0.0,324.56518173217773,368.8994369506836,393.0662879943848,440.56082916259766,,,0.0,859.1,-1182.61,0,0,10,0,0.933,119.47,1190.68,1194.7,0.0,119.47,1190.68,1194.7,0.0,119.47,1190.68,1194.7,0.0,0,0,0,10,,,,403.0,-118.18,0.0,403.0,-118.18,0.0,403.0,-118.18,0.0,0.0,0,0.0,0
