possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
61,green,65,312,248,4.14,1186772.4,,,0,0,,0,,
110,green,361,376,16,0.27,261428.5,,,0,0,,0,,
