sheet_id,game_id,prefix,final_label,other_sport,shipped_utc,content,gate_reason,max_surface_permille,near_share,bytes_per_frame
sheet_0002,0KIBu1jQBL8_s4615,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T19:19:52Z,accept,playing_surface_and_shot_continuity_present,433,0.0,16635
sheet_0009,fiba-A2W5ZjAgr7M_s1417,fiba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788891532,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0010,fiba-Byk8aH-n_U4_s90,fiba,BASKETBALL_NONPLAY,,2026-09-10T17:37:13Z,accept,playing_surface_and_shot_continuity_present,406,0.0,13202
sheet_0011,fiba-7HQqWMaKxpA_s6915,fiba,BASKETBALL_NONPLAY,,2026-09-10T17:21:25Z,accept,playing_surface_and_shot_continuity_present,352,0.123,13182
sheet_0012,euroleague-a_GxgklBtEs_s90,euroleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788872895,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0013,50pp-OqYVok_s90,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788913431,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0015,RIrGQJ_jsGQ_s5370,nba,BASKETBALL_NONPLAY,,2026-09-10T17:29:58Z,accept,playing_surface_and_shot_continuity_present,395,0.0,17264
sheet_0017,eurocup-RuYvEezE47Y_s6755,eurocup,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788890733,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0019,acb-8Oh7-GrvKvE_s6440,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788910410,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0020,fiba-Y1cgaIWW8gk_s1502,fiba,BASKETBALL_NONPLAY,,2026-09-10T19:23:25Z,accept,playing_surface_and_shot_continuity_present,702,0.0,18629
sheet_0022,fXLNra4sjjU_s5895,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T18:23:50Z,accept,playing_surface_and_shot_continuity_present,303,0.0,17725
sheet_0023,bleague-oW8psSa2hf4_s2598,bleague,OTHER_SPORT,soccer,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788894689,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0024,euroleague-krbfJW7sYUk_s6970,euroleague,UNKNOWN,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788900709,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0025,VEUJpELt_yA_s5700,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788893262,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0026,lnb-oNjFF2XRKgA_s2530,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788872814,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0027,acb-DCA1PAsKVJs_s6965,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788882909,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0030,GNjSxoeDT-E_s4463,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T18:58:31Z,accept,playing_surface_and_shot_continuity_present,454,0.0,16038
sheet_0031,h6j_iLYRx8U_s6825,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1789066302,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0032,acb-IZW8vZFesBI_s1423,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788888766,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0033,N-eE7ZwTuno_s2690,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788855160,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0035,Ze8frxZxNyk_s5202,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788879248,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0037,bleague-oW8psSa2hf4_s90,bleague,OTHER_SPORT,soccer,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788895085,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0038,WeheQidCPXI_s1389,ncaa_basketball,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788871509,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0040,fXLNra4sjjU_s1303,ncaa_basketball,BASKETBALL_NONPLAY,,2026-09-10T18:21:50Z,accept,playing_surface_and_shot_continuity_present,534,0.034,17098
sheet_0048,50pp-OqYVok_s4080,nba,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788913186,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0055,euroleague-8ue528gaVyY_s3504,euroleague,BASKETBALL_NONPLAY,,2026-09-10T16:58:30Z,accept,playing_surface_and_shot_continuity_present,564,0.0,17606
sheet_0058,nbl-YqB41CtbFqA_s90,nbl,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788881466,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0062,euroleague--1Pc0v6x4xU_s5538,euroleague,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788904002,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0064,eurocup-Y6POC6V1Y5E_s5745,eurocup,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788908651,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0067,lnb-1CBY-LXG8VA_s6525,lnb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788909245,UNKNOWN,UNKNOWN,UNKNOWN
sheet_0068,acb-IZW8vZFesBI_s6755,acb,BASKETBALL_NONPLAY,,UNKNOWN,UNKNOWN,log_starts_2026-09-10T15:11:25Z_section_finished_1788889252,UNKNOWN,UNKNOWN,UNKNOWN
