sheet_id,game_id,prefix,reason
sheet_0001,nbl-MrM2DBNLWc8_s90,nbl,fetch_failed:ERROR: [youtube] MrM2DBNLWc8: Video unavailable
sheet_0041,Hm7V4jOxlUI_s2452,nba,fetch_failed:ERROR: [youtube] Hm7V4jOxlUI: Video unavailable
sheet_0050,nbl-WTEUwPcy7X8_s90,nbl,fetch_failed:ERROR: [youtube] WTEUwPcy7X8: Video unavailable
sheet_0054,nbl-eawn8RbLFEM_s646,nbl,fetch_failed:ERROR: [youtube] eawn8RbLFEM: Video unavailable
sheet_0065,4PH6yOSvcs4_s2932,nba,fetch_failed:ERROR: [youtube] 4PH6yOSvcs4: Video unavailable
sheet_0087,nbl-fGGFYzfF4F4_s90,nbl,fetch_failed:ERROR: [youtube] fGGFYzfF4F4: Video unavailable
sheet_0139,gleague-i5xCE9szE9E_s398,gleague,fetch_failed:ERROR: [youtube] i5xCE9szE9E: Video unavailable
sheet_0152,nbl-G3F3Hoekmsw_s90,nbl,fetch_failed:ERROR: [youtube] G3F3Hoekmsw: Video unavailable
sheet_0160,NNJTTtwp7KE_s498,nba,fetch_failed:ERROR: [youtube] NNJTTtwp7KE: Video unavailable
sheet_0161,nbl-WTEUwPcy7X8_s369,nbl,fetch_failed:ERROR: [youtube] WTEUwPcy7X8: Video unavailable
sheet_0180,bzahHiNvCUE_s60,nba,fetch_failed:ERROR: [youtube] bzahHiNvCUE: Video unavailable
sheet_0240,nbl-G3F3Hoekmsw_s365,nbl,fetch_failed:ERROR: [youtube] G3F3Hoekmsw: Video unavailable
sheet_0243,5TiTjV1JPW8_s401,nba,fetch_failed:ERROR: [youtube] 5TiTjV1JPW8: Video unavailable
sheet_0244,m7K0J4wzDn4_s4050,nba,fetch_failed:ERROR: [youtube] m7K0J4wzDn4: Video unavailable
sheet_0248,6cNq5d_NOXs_s772,nba,fetch_failed:ERROR: [youtube] 6cNq5d_NOXs: Video unavailable
sheet_0257,nbl-U6Ng-QmKKzk_s642,nbl,fetch_failed:ERROR: [youtube] U6Ng-QmKKzk: Video unavailable
sheet_0263,nbl-MrM2DBNLWc8_s363,nbl,fetch_failed:ERROR: [youtube] MrM2DBNLWc8: Video unavailable
sheet_0289,gleague-i5xCE9szE9E_s90,gleague,fetch_failed:ERROR: [youtube] i5xCE9szE9E: Video unavailable
sheet_0292,nbl-fGGFYzfF4F4_s366,nbl,fetch_failed:ERROR: [youtube] fGGFYzfF4F4: Video unavailable
