section,frame,player_id,bbox_x1_milli_px,bbox_y1_milli_px,bbox_x2_milli_px,bbox_y2_milli_px
nba_0081,000540,000001,926000,075000,1218000,668000
nba_0081,000540,000002,571000,087000,782000,670000
nba_0081,000540,000003,742000,110000,953000,670000
nba_0081,000540,000004,398000,059000,609000,671000
nba_0081,000543,000001,933000,077000,1223000,669000
nba_0081,000543,000002,570000,087000,781000,670000
nba_0081,000543,000003,738000,109000,953000,670000
nba_0081,000543,000004,398000,066000,610000,670000
nba_0081,000546,000001,936000,080000,1226000,669000
nba_0081,000546,000002,570000,088000,782000,670000
nba_0081,000546,000003,738000,110000,952000,669000
nba_0081,000546,000004,395000,059000,609000,672000
nba_0081,000549,000001,936000,079000,1226000,667000
nba_0081,000549,000002,570000,088000,782000,670000
nba_0081,000549,000006,737000,111000,950000,669000
nba_0081,000549,000007,390000,059000,604000,672000
nba_0081,000549,000003,737129,109492,951399,669284
nba_0081,000552,000001,935000,081000,1223000,667000
nba_0081,000552,000002,571000,089000,781000,671000
nba_0081,000552,000006,737000,111000,950000,670000
nba_0081,000552,000007,381000,059000,603000,668000
nba_0081,000552,000003,736429,109402,950699,669195
nba_0081,000552,000004,393115,058781,606250,668340
nba_0081,000555,000001,934000,080000,1222000,667000
nba_0081,000555,000002,574000,088000,782000,670000
nba_0081,000555,000006,740000,111000,954000,671000
nba_0081,000555,000007,381000,056000,601000,668000
nba_0081,000555,000003,735730,109313,950000,669105
nba_0081,000555,000004,391837,057608,604972,667166
nba_0081,000558,000001,928000,079000,1219000,668000
nba_0081,000558,000002,574000,086000,782000,670000
nba_0081,000558,000006,740000,111000,952000,671000
nba_0081,000558,000007,379000,053000,600000,669000
nba_0081,000558,000003,735030,109223,949300,669016
nba_0081,000558,000004,390558,056435,603694,665993
nba_0081,000561,000001,932000,078000,1220000,668000
nba_0081,000561,000002,574000,086000,782000,670000
nba_0081,000561,000006,740000,110000,952000,671000
nba_0081,000561,000007,383000,053000,601000,668000
nba_0081,000561,000003,734330,109134,948601,668927
nba_0081,000561,000004,389280,055262,602415,664820
nba_0081,000564,000001,932000,074000,1220000,667000
nba_0081,000564,000002,575000,085000,783000,670000
nba_0081,000564,000006,741000,108000,955000,670000
nba_0081,000564,000007,385000,053000,600000,668000
nba_0081,000564,000003,733631,109044,947901,668837
nba_0081,000564,000004,388002,054088,601137,663647
nba_0081,000567,000001,932000,074000,1219000,667000
nba_0081,000567,000002,576000,084000,784000,670000
nba_0081,000567,000006,742000,105000,956000,670000
nba_0081,000567,000007,384000,052000,601000,668000
nba_0081,000567,000003,732931,108955,947202,668748
nba_0081,000567,000004,386723,052915,599859,662474
nba_0081,000570,000001,932000,072000,1220000,669000
nba_0081,000570,000002,576000,082000,782000,670000
nba_0081,000570,000006,741000,104000,958000,670000
nba_0081,000570,000007,385000,052000,600000,668000
nba_0081,000570,000003,732232,108866,946502,668658
nba_0081,000570,000004,385445,051742,598580,661301
nba_0081,000573,000001,934000,072000,1221000,668000
nba_0081,000573,000002,576000,081000,782000,669000
nba_0081,000573,000006,742000,105000,958000,670000
nba_0081,000573,000007,386000,048000,603000,670000
nba_0081,000576,000001,934000,071000,1222000,667000
nba_0081,000576,000002,575000,081000,782000,669000
nba_0081,000576,000006,741000,105000,959000,670000
nba_0081,000576,000007,388000,048000,601000,671000
nba_0081,000579,000001,934000,071000,1221000,668000
nba_0081,000579,000002,574000,080000,782000,669000
nba_0081,000579,000004,389000,049000,601000,672000
nba_0081,000579,000006,741000,104000,958000,670000
nba_0081,000582,000001,934000,069000,1222000,668000
nba_0081,000582,000002,571000,079000,781000,670000
nba_0081,000582,000006,741000,102000,957000,670000
nba_0081,000582,000007,388000,048000,601000,672000
nba_0081,000585,000001,931000,068000,1221000,668000
nba_0081,000585,000004,390000,048000,601000,672000
nba_0081,000585,000006,742000,103000,957000,670000
nba_0081,000585,000007,570000,078000,780000,670000
nba_0081,000588,000001,929000,069000,1217000,668000
nba_0081,000588,000004,389000,048000,601000,672000
nba_0081,000588,000006,744000,104000,955000,670000
nba_0081,000588,000007,568000,078000,779000,671000
nba_0081,000588,000002,570096,078945,778787,668605
nba_0081,000591,000001,927000,069000,1215000,669000
nba_0081,000591,000002,567000,078000,779000,670000
nba_0081,000591,000006,741000,105000,957000,670000
nba_0081,000591,000007,389000,050000,601000,672000
nba_0081,000594,000001,925000,069000,1213000,669000
nba_0081,000594,000006,743000,105000,957000,670000
nba_0081,000594,000007,389000,050000,600000,671000
nba_0081,000594,000008,567000,079000,778000,669000
nba_0081,000594,000004,389070,047845,600794,671374
nba_0081,000597,000001,922000,068000,1210000,668000
nba_0081,000597,000004,388000,048000,600000,671000
nba_0081,000597,000006,743000,105000,956000,670000
nba_0081,000597,000008,566000,078000,779000,669000
nba_0081,000597,000002,565333,078073,776230,669293
nba_0081,000600,000001,920000,066000,1204000,668000
nba_0081,000600,000002,566000,077000,779000,671000
nba_0081,000600,000006,736000,102000,956000,669000
nba_0081,000600,000007,387000,045000,599000,671000
nba_0081,000600,000008,566087,077834,778913,668747
nba_0081,000603,000001,918000,065000,1202000,668000
nba_0081,000603,000002,566000,074000,780000,671000
nba_0081,000603,000006,739000,101000,955000,669000
nba_0081,000603,000007,387000,040000,599000,671000
nba_0081,000603,000004,387432,047615,599341,670789
nba_0081,000603,000008,566087,077602,778913,668515
nba_0081,000606,000001,919000,067000,1201000,668000
nba_0081,000606,000002,565000,074000,779000,672000
