section,frame,team,bbox_x1_milli_px,bbox_y1_milli_px,bbox_x2_milli_px,bbox_y2_milli_px,signature_kind,sig_h,sig_s,sig_v,baseline_slot,baseline_instance_id,candidate_instance_id,baseline_assoc_ms_section,baseline_route_wall_ms_section,candidate_assoc_ms_section_fix1c_rerun
nba_0081,000540,green,926000,075000,1218000,668000,hsv,000135,000149,000129,000000,000001,000001,20867045,362597087,021964
nba_0081,000540,green,571000,087000,782000,670000,hsv,000144,000128,000135,000001,000002,000002,20867045,362597087,021964
nba_0081,000540,green,742000,110000,953000,670000,hsv,000138,000112,000201,000002,000010,000003,20867045,362597087,021964
nba_0081,000540,green,398000,059000,609000,671000,hsv,000137,000129,000177,000003,000036,000004,20867045,362597087,021964
nba_0081,000543,green,933000,077000,1223000,669000,hsv,000135,000148,000130,000000,000001,000001,20867045,362597087,021964
nba_0081,000543,green,738000,109000,953000,670000,hsv,000138,000112,000201,000002,000010,000003,20867045,362597087,021964
nba_0081,000543,green,570000,087000,781000,670000,hsv,000144,000127,000136,000001,000002,000002,20867045,362597087,021964
nba_0081,000543,green,398000,066000,610000,670000,hsv,000137,000128,000179,000003,000036,000004,20867045,362597087,021964
nba_0081,000546,green,936000,080000,1226000,669000,hsv,000135,000148,000129,000000,000001,000001,20867045,362597087,021964
nba_0081,000546,green,570000,088000,782000,670000,hsv,000144,000126,000137,000001,000002,000002,20867045,362597087,021964
nba_0081,000546,green,738000,110000,952000,669000,hsv,000138,000112,000201,000002,000010,000003,20867045,362597087,021964
nba_0081,000546,green,395000,059000,609000,672000,hsv,000137,000129,000177,000003,000036,000004,20867045,362597087,021964
nba_0081,000549,green,936000,079000,1226000,667000,hsv,000134,000149,000129,000000,000001,000001,20867045,362597087,021964
nba_0081,000549,green,570000,088000,782000,670000,hsv,000144,000126,000138,000001,000002,000002,20867045,362597087,021964
nba_0081,000549,white,737000,111000,950000,669000,hsv,000138,000110,000202,000005,000045,000001,20867045,362597087,021964
nba_0081,000549,white,390000,059000,604000,672000,hsv,000137,000127,000177,000006,000047,000002,20867045,362597087,021964
nba_0081,000552,green,935000,081000,1223000,667000,hsv,000135,000148,000130,000000,000001,000001,20867045,362597087,021964
nba_0081,000552,green,571000,089000,781000,671000,hsv,000144,000125,000137,000001,000002,000002,20867045,362597087,021964
nba_0081,000552,white,737000,111000,950000,670000,hsv,000138,000110,000202,000005,000045,000001,20867045,362597087,021964
nba_0081,000552,white,381000,059000,603000,668000,hsv,000137,000128,000174,000006,000047,000002,20867045,362597087,021964
nba_0081,000555,green,934000,080000,1222000,667000,hsv,000135,000148,000130,000000,000001,000001,20867045,362597087,021964
nba_0081,000555,green,574000,088000,782000,670000,hsv,000144,000124,000137,000001,000002,000002,20867045,362597087,021964
nba_0081,000555,white,740000,111000,954000,671000,hsv,000138,000110,000202,000005,000045,000001,20867045,362597087,021964
nba_0081,000555,white,381000,056000,601000,668000,hsv,000137,000127,000172,000006,000047,000002,20867045,362597087,021964
nba_0081,000558,green,928000,079000,1219000,668000,hsv,000135,000148,000132,000000,000001,000001,20867045,362597087,021964
nba_0081,000558,green,574000,086000,782000,670000,hsv,000144,000124,000137,000001,000002,000002,20867045,362597087,021964
nba_0081,000558,white,740000,111000,952000,671000,hsv,000138,000108,000203,000005,000045,000001,20867045,362597087,021964
nba_0081,000558,white,379000,053000,600000,669000,hsv,000137,000126,000170,000006,000047,000002,20867045,362597087,021964
nba_0081,000561,green,932000,078000,1220000,668000,hsv,000134,000148,000131,000000,000001,000001,20867045,362597087,021964
nba_0081,000561,green,574000,086000,782000,670000,hsv,000144,000124,000137,000001,000002,000002,20867045,362597087,021964
nba_0081,000561,white,740000,110000,952000,671000,hsv,000138,000108,000203,000005,000045,000001,20867045,362597087,021964
nba_0081,000561,white,383000,053000,601000,668000,hsv,000136,000125,000169,000006,000047,000002,20867045,362597087,021964
nba_0081,000564,green,932000,074000,1220000,667000,hsv,000135,000148,000131,000000,000001,000001,20867045,362597087,021964
nba_0081,000564,green,575000,085000,783000,670000,hsv,000144,000124,000138,000001,000002,000002,20867045,362597087,021964
nba_0081,000564,white,741000,108000,955000,670000,hsv,000138,000109,000203,000005,000045,000001,20867045,362597087,021964
nba_0081,000564,white,385000,053000,600000,668000,hsv,000136,000124,000170,000006,000047,000002,20867045,362597087,021964
nba_0081,000567,green,932000,074000,1219000,667000,hsv,000135,000148,000132,000000,000001,000001,20867045,362597087,021964
nba_0081,000567,green,576000,084000,784000,670000,hsv,000144,000123,000138,000001,000002,000002,20867045,362597087,021964
nba_0081,000567,white,742000,105000,956000,670000,hsv,000138,000109,000203,000005,000045,000001,20867045,362597087,021964
nba_0081,000567,white,384000,052000,601000,668000,hsv,000136,000124,000171,000006,000047,000002,20867045,362597087,021964
nba_0081,000570,green,932000,072000,1220000,669000,hsv,000135,000147,000132,000000,000001,000001,20867045,362597087,021964
nba_0081,000570,green,576000,082000,782000,670000,hsv,000144,000123,000137,000001,000002,000002,20867045,362597087,021964
nba_0081,000570,white,741000,104000,958000,670000,hsv,000138,000108,000203,000005,000045,000001,20867045,362597087,021964
nba_0081,000570,white,385000,052000,600000,668000,hsv,000136,000123,000171,000006,000047,000002,20867045,362597087,021964
nba_0081,000573,green,934000,072000,1221000,668000,hsv,000135,000147,000132,000000,000001,000001,20867045,362597087,021964
nba_0081,000573,green,576000,081000,782000,669000,hsv,000144,000122,000138,000001,000002,000002,20867045,362597087,021964
nba_0081,000573,white,742000,105000,958000,670000,hsv,000138,000106,000204,000005,000045,000001,20867045,362597087,021964
nba_0081,000573,white,386000,048000,603000,670000,hsv,000136,000122,000171,000006,000047,000002,20867045,362597087,021964
nba_0081,000576,green,934000,071000,1222000,667000,hsv,000135,000147,000132,000000,000001,000001,20867045,362597087,021964
nba_0081,000576,green,575000,081000,782000,669000,hsv,000144,000122,000138,000001,000002,000002,20867045,362597087,021964
nba_0081,000576,white,741000,105000,959000,670000,hsv,000138,000106,000204,000005,000045,000001,20867045,362597087,021964
nba_0081,000576,white,388000,048000,601000,671000,hsv,000135,000121,000170,000006,000047,000002,20867045,362597087,021964
nba_0081,000579,green,934000,071000,1221000,668000,hsv,000135,000146,000132,000000,000001,000001,20867045,362597087,021964
nba_0081,000579,green,574000,080000,782000,669000,hsv,000144,000122,000139,000001,000002,000002,20867045,362597087,021964
nba_0081,000579,green,389000,049000,601000,672000,hsv,000135,000120,000171,000003,000036,000005,20867045,362597087,021964
nba_0081,000579,white,741000,104000,958000,670000,hsv,000138,000104,000205,000005,000045,000001,20867045,362597087,021964
nba_0081,000582,green,934000,069000,1222000,668000,hsv,000135,000146,000132,000000,000001,000001,20867045,362597087,021964
