source_name,time_base,time_base_reader_mp4,avg_frame_rate,r_frame_rate,media_time_shift,trimmed_by_edit_list,agree
basketball__acb-jHcR5UxPGuE_s90.mp4,1/90000,1/90000,60/1,60/1,40500,26,True
basketball__acb-jHcR5UxPGuE_s3999.mp4,1/90000,1/90000,60/1,60/1,193500,128,True
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1/90000,238560000/3982837,60000/1001,248193,165,True
nba__3gBeJyl7Szg_s1196.mp4,1/90000,1/90000,60/1,60/1,25500,16,True
nba__3gBeJyl7Szg_s4514.mp4,1/90000,1/90000,60/1,60/1,421500,280,True
nba__FnbFGnX4Qgo_s2822.mp4,1/90000,1/90000,712890000/11893381,60000/1001,191965,127,True
nba__H1-Ns9IU-JM_s90.mp4,1/90000,1/90000,721800000/12042029,60000/1001,341749,227,True
nba__H1-Ns9IU-JM_s4314.mp4,1/90000,1/90000,358875000/5987231,60000/1001,273901,182,True
nba__Kh7Fj4ogPN4_s1262.mp4,1/90000,1/90000,177435000/2960207,60000/1001,140173,93,True
nba__Kh7Fj4ogPN4_s4778.mp4,1/90000,1/90000,147546000/2461559,60000/1001,607516,404,True
nba__Ktu6yFS9iMo_s1311.mp4,1/90000,1/90000,357435000/5963207,60000/1001,225853,150,True
nba__Ktu6yFS9iMo_s4974.mp4,1/90000,1/90000,721440000/12036023,60000/1001,334621,222,True
nba__L7o4UCIIqS4_s1373.mp4,1/90000,1/90000,355635000/5933177,60000/1001,166219,110,True
nba__L7o4UCIIqS4_s5222.mp4,1/90000,1/90000,708570000/11821309,60000/1001,120109,79,True
nba__oL9Uaie2v2A_s2438.mp4,1/90000,1/90000,360810000/6019513,60000/1001,337636,224,True
ncaa_basketball__6rQ2sV4upfc_s90.mp4,1/90000,1/90000,721800000/12042029,60000/1001,341749,227,True
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,1/90000,1/90000,704250000/11749237,60000/1001,48709,32,True
ncaa_basketball__7blRl4zVfrY_s2356.mp4,1/90000,1/90000,351450000/5863357,60000/1001,26698,17,True
ncaa_basketball__FyMWTVsJvv8_s90.mp4,1/90000,1/90000,726480000/12120107,60000/1001,419827,279,True
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,1/90000,1/90000,719640000/12005993,60000/1001,305314,203,True
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,1/90000,1/90000,3630150/60563,60000/1001,411745,274,True
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,1/90000,1/90000,22066875/368149,60000/1001,80488,53,True
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,1/90000,1/90000,90247500/1505629,60000/1001,343897,229,True
ncaa_basketball__KZK9rv9TnGE_s2858.mp4,1/90000,1/90000,178875000/2984231,60000/1001,236773,157,True
ncaa_basketball__KZK9rv9TnGE_s7010.mp4,1/90000,1/90000,22066875/368149,60000/1001,79309,52,True
ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,1/90000,1/90000,178447500/2977099,60000/1001,207709,138,True
ncaa_basketball__qTXrSRHHR2M_s1176.mp4,1/90000,1/90000,359595000/5999243,60000/1001,298063,198,True
ncaa_basketball__qTXrSRHHR2M_s4434.mp4,1/90000,1/90000,720720000/12024011,60000/1001,323161,215,True
ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,1/90000,1/90000,709290000/11833321,60000/1001,132997,88,True
ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,1/90000,1/90000,35343000/589639,60000/1001,92326,61,True
