source_name,time_base,frame_index,kind,step
basketball__acb-jHcR5UxPGuE_s90.mp4,1/90000,7800,off_grid_step,3000
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,140,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,142,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,444,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,446,off_grid_step,3006
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,748,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,753,off_grid_step,3006
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1052,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1057,off_grid_step,3006
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1356,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1359,off_grid_step,3006
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1660,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1662,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1964,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,1969,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,2268,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,2269,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,2572,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,2573,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,2876,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,2877,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,3180,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,3181,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,3484,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,3488,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,3788,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,3792,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,4092,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,4097,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,4396,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,4401,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,4700,off_grid_step,1
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,4705,off_grid_step,3005
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,5004,duplicate_pts,0
nba__1rZZ_7buX_Y_s5474.mp4,1/90000,5009,off_grid_step,3006
