clip_id,sport,path,samples,surface_frac,graphic_frac,verdict
football__football_20pezoC5jRQ,football,data/footage_corpus/football__football_20pezoC5jRQ.mp4,24,0.875,0.0,USABLE
football__football_34GmmlakBYU,football,data/footage_corpus/football__football_34GmmlakBYU.mp4,24,1.0,0.0,USABLE
football__football_5x9vPq9HsTI,football,data/footage_corpus/football__football_5x9vPq9HsTI.mp4,24,0.75,0.0,USABLE
football__football_B7znSVfBnM4,football,data/footage_corpus/football__football_B7znSVfBnM4.mp4,24,1.0,0.0,USABLE
football__football_DrxDFaRonuE,football,data/footage_corpus/football__football_DrxDFaRonuE.mp4,24,0.0,0.0,JUNK
football__football_GU6CrRLjTkw,football,data/footage_corpus/football__football_GU6CrRLjTkw.mp4,24,0.125,0.0,SUSPECT
football__football_L3WOKdFhdkQ,football,data/footage_corpus/football__football_L3WOKdFhdkQ.mp4,24,0.167,0.0,SUSPECT
football__football_VEoXn84p9o8,football,data/footage_corpus/football__football_VEoXn84p9o8.mp4,24,0.0,0.0,JUNK
football__football_cxbBz4nkovE,football,data/footage_corpus/football__football_cxbBz4nkovE.mp4,24,0.0,0.0,JUNK
football__football_gek9fXGlwas,football,data/footage_corpus/football__football_gek9fXGlwas.mp4,24,0.958,0.0,USABLE
football__football_h-_3BmAh9po,football,data/footage_corpus/football__football_h-_3BmAh9po.mp4,24,0.958,0.0,USABLE
football__football_iaDDTxNEOfE,football,data/footage_corpus/football__football_iaDDTxNEOfE.mp4,24,0.0,0.0,JUNK
football__football_wHZt1eY3A9s,football,data/footage_corpus/football__football_wHZt1eY3A9s.mp4,24,0.875,0.0,USABLE
football__football_wHZt1eY3A9s_1080p,football,data/footage_corpus/football__football_wHZt1eY3A9s_1080p.mp4,24,0.917,0.0,USABLE
football__giants_jets_format96_1080p,football,data/footage_corpus/football__giants_jets_format96_1080p.mp4,24,0.917,0.0,USABLE
kbo__kbo_2ZtgAvs67so,kbo,data/footage_corpus/kbo__kbo_2ZtgAvs67so.mp4,24,0.667,0.0,USABLE
kbo__kbo_8yxSFxuR2Lk,kbo,data/footage_corpus/kbo__kbo_8yxSFxuR2Lk.mp4,24,0.833,0.0,USABLE
kbo__kbo_9Hv-cd-BmSY,kbo,data/footage_corpus/kbo__kbo_9Hv-cd-BmSY.mp4,24,0.875,0.0,USABLE
kbo__kbo_FDSWjM_OaTs,kbo,data/footage_corpus/kbo__kbo_FDSWjM_OaTs.mp4,24,0.958,0.0,USABLE
kbo__kbo_Lh8n_DUXyGE,kbo,data/footage_corpus/kbo__kbo_Lh8n_DUXyGE.mp4,24,0.958,0.0,USABLE
kbo__kbo_W-tKSex-WPU,kbo,data/footage_corpus/kbo__kbo_W-tKSex-WPU.mp4,24,1.0,0.0,USABLE
kbo__kbo_ahHGpSJWcIU,kbo,data/footage_corpus/kbo__kbo_ahHGpSJWcIU.mp4,24,0.875,0.0,USABLE
kbo__kbo_bGQwZl43E9Y,kbo,data/footage_corpus/kbo__kbo_bGQwZl43E9Y.mp4,24,0.958,0.0,USABLE
kbo__kbo_lIxmDQyQDtc,kbo,data/footage_corpus/kbo__kbo_lIxmDQyQDtc.mp4,24,0.917,0.0,USABLE
kbo__kbo_lrK_Hv6BEE0,kbo,data/footage_corpus/kbo__kbo_lrK_Hv6BEE0.mp4,24,0.5,0.0,USABLE
kbo__kbo_qLQbGFQ0-EQ,kbo,data/footage_corpus/kbo__kbo_qLQbGFQ0-EQ.mp4,24,1.0,0.0,USABLE
kbo__kbo_tzC71aneg9c,kbo,data/footage_corpus/kbo__kbo_tzC71aneg9c.mp4,24,1.0,0.0,USABLE
mlb__mlb_5IA4jaKNOYg,mlb,data/footage_corpus/mlb__mlb_5IA4jaKNOYg.mp4,24,1.0,0.0,USABLE
mlb__mlb_7T-rpI5l0ro,mlb,data/footage_corpus/mlb__mlb_7T-rpI5l0ro.mp4,24,1.0,0.0,USABLE
mlb__mlb_FGtFanovws4,mlb,data/footage_corpus/mlb__mlb_FGtFanovws4.mp4,24,1.0,0.0,USABLE
mlb__mlb_NiSezRTvsew,mlb,data/footage_corpus/mlb__mlb_NiSezRTvsew.mp4,24,1.0,0.0,USABLE
mlb__mlb_QqHhEShXAX0,mlb,data/footage_corpus/mlb__mlb_QqHhEShXAX0.mp4,24,1.0,0.0,USABLE
mlb__mlb_dVNOESziFWQ,mlb,data/footage_corpus/mlb__mlb_dVNOESziFWQ.mp4,24,1.0,0.0,USABLE
mlb__mlb_x6YpMlNYbrU,mlb,data/footage_corpus/mlb__mlb_x6YpMlNYbrU.mp4,24,1.0,0.0,USABLE
