clip_id,sport,path,samples,surface_frac,graphic_frac,verdict
tennis__tennis_09,tennis,data\footage_corpus\tennis__tennis_09.mp4,24,1.0,0.0,USABLE
tennis__tennis_nyYk2nPZAwY_720p,tennis,data\footage_corpus\tennis__tennis_nyYk2nPZAwY_720p.mp4,24,1.0,0.0,USABLE
cricket_qr-AsuIQl8I,cricket,data\videos\bridge\cricket_qr-AsuIQl8I.mp4,24,0.958,0.0,USABLE
handball_iglOU4_ktEw,handball,data\videos\bridge\handball_iglOU4_ktEw.mp4,24,0.917,0.0,USABLE
mlb_231Mmqijar8,mlb,data\videos\bridge\mlb_231Mmqijar8.mp4,0,0.0,0.0,SUSPECT:unreadable(unreadable video: data\videos\bridge\mlb_231Mmqijar8.mp4)
mlb_3Oc4S_1np98,mlb,data\videos\bridge\mlb_3Oc4S_1np98.mp4,24,0.5,0.0,USABLE
mlb_ARtRmUHC7dw,mlb,data\videos\bridge\mlb_ARtRmUHC7dw.mp4,24,1.0,0.042,USABLE
mlb_gMm3EODDb6w,mlb,data\videos\bridge\mlb_gMm3EODDb6w.mp4,24,0.875,0.042,USABLE
ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,data\videos\bridge\ncaa_basketball_WFl3V7ZY4ss.mp4,24,0.917,0.0,USABLE
nhl_yRlBvtZ0KNs,nhl,data\videos\bridge\nhl_yRlBvtZ0KNs.mp4,24,1.0,0.042,USABLE
npb_ul7Kq_Km7eA,npb,data\videos\bridge\npb_ul7Kq_Km7eA.mp4,24,1.0,0.0,USABLE
soccer_AgspyOj5BPk,soccer,data\videos\bridge\soccer_AgspyOj5BPk.mp4,24,1.0,0.0,USABLE
soccer_cS4OpYJ0Pps,soccer,data\videos\bridge\soccer_cS4OpYJ0Pps.mp4,24,0.958,0.0,USABLE
soccer_DdnvC6-PGYY,soccer,data\videos\bridge\soccer_DdnvC6-PGYY.mp4,24,0.958,0.0,USABLE
soccer_kSgNjoaqCpI_1080p,soccer,data\videos\bridge\soccer_kSgNjoaqCpI_1080p.mp4,24,0.833,0.0,USABLE
tennis_3x3eEWCZmWQ,tennis,data\videos\bridge\tennis_3x3eEWCZmWQ.mp4,24,1.0,0.0,USABLE
tennis_nyYk2nPZAwY,tennis,data\videos\bridge\tennis_nyYk2nPZAwY.mp4,24,0.958,0.0,USABLE
volleyball_IhDeIEedWto,volleyball,data\videos\bridge\volleyball_IhDeIEedWto.mp4,24,0.958,0.0,USABLE
wnba_04,wnba,data\videos\bridge\wnba_04.mp4,24,1.0,0.0,USABLE
wnba_06,wnba,data\videos\bridge\wnba_06.mp4,24,1.0,0.0,USABLE
baseball,baseball,data\videos\reference\baseball.mp4,24,0.833,0.0,USABLE
football,football,data\videos\reference\football.mp4,24,0.75,0.0,USABLE
handball,handball,data\videos\reference\handball.mp4,24,0.958,0.0,USABLE
kbo,kbo,data\videos\reference\kbo.mp4,24,0.875,0.0,USABLE
mlb,mlb,data\videos\reference\mlb.mp4,24,1.0,0.0,USABLE
ncaa_basketball,ncaa_basketball,data\videos\reference\ncaa_basketball.mp4,24,1.0,0.0,USABLE
npb,npb,data\videos\reference\npb.mp4,24,1.0,0.0,USABLE
soccer,soccer,data\videos\reference\soccer.mp4,24,1.0,0.0,USABLE
tennis,tennis,data\videos\reference\tennis.mp4,24,1.0,0.0,USABLE
wnba,wnba,data\videos\reference\wnba.mp4,24,1.0,0.0,USABLE
