frame,timestamp,ball_x2d,ball_y2d,detected
360,6.006,2773,1721,1
363,6.056,2773,1721,1
366,6.106,2770,1719,1
369,6.156,2770,1719,1
372,6.206,2771,1719,1
375,6.256,2770,1719,1
378,6.306,2770,1719,1
381,6.356,2770,1719,1
384,6.406,2770,1719,1
387,6.456,2770,1719,1
390,6.506,2771,1719,1
393,6.557,2771,1719,1
396,6.607,2771,1719,1
399,6.657,2771,1719,1
402,6.707,2771,1719,1
405,6.757,1930,822,1
408,6.807,2771,1719,1
411,6.857,2771,1719,1
414,6.907,2771,1719,1
417,6.957,2771,1719,1
420,7.007,2771,1719,1
423,7.057,2771,1719,1
426,7.107,2771,1720,1
429,7.157,2771,1720,1
432,7.207,2771,1720,1
435,7.257,2771,1720,1
438,7.307,2771,1720,1
441,7.357,2771,1719,1
444,7.407,2771,1719,1
447,7.457,2839,1665,1
450,7.508,887,235,1
453,7.558,887,235,1
456,7.608,345,69,1
459,7.658,345,69,1
462,7.708,346,70,1
465,7.758,346,70,1
468,7.808,347,70,1
471,7.858,347,70,1
474,7.908,347,70,1
477,7.958,347,70,1
480,8.008,347,70,1
483,8.058,347,70,1
486,8.108,347,70,1
489,8.158,347,70,1
492,8.208,347,70,1
495,8.258,347,70,1
498,8.308,347,70,1
501,8.358,347,70,1
504,8.408,347,70,1
507,8.458,347,70,1
510,8.508,347,70,1
513,8.559,347,70,1
516,8.609,347,70,1
519,8.659,130,123,1
522,8.709,130,123,1
525,8.759,522,30,1
528,8.809,522,30,1
531,8.859,706,133,1
534,8.909,706,133,1
537,8.959,507,27,1
540,9.009,507,27,1
543,9.059,706,129,1
546,9.109,706,129,1
549,9.159,706,130,1
552,9.209,706,130,1
555,9.259,706,133,1
558,9.309,706,133,1
561,9.359,706,129,1
564,9.409,706,129,1
567,9.459,708,124,1
570,9.51,708,124,1
573,9.56,705,133,1
576,9.61,705,133,1
579,9.66,684,236,1
582,9.71,684,236,1
585,9.76,705,133,1
588,9.81,705,133,1
591,9.86,744,212,1
594,9.91,744,212,1
597,9.96,706,135,1
600,10.01,706,135,1
603,10.06,702,133,1
606,10.11,702,133,1
609,10.16,702,133,1
612,10.21,702,133,1
615,10.26,702,135,1
618,10.31,702,135,1
621,10.36,704,138,1
624,10.41,704,138,1
627,10.46,704,138,1
630,10.511,704,138,1
633,10.561,366,283,1
636,10.611,366,283,1
639,10.661,706,132,1
642,10.711,706,132,1
645,10.761,702,138,1
648,10.811,702,138,1
651,10.861,701,136,1
654,10.911,701,136,1
657,10.961,803,152,1
660,11.011,803,152,1
663,11.061,705,138,1
666,11.111,705,138,1
669,11.161,701,138,1
672,11.211,701,138,1
675,11.261,336,73,1
678,11.311,336,73,1
681,11.361,702,135,1
684,11.411,702,135,1
687,11.461,724,235,1
690,11.511,724,235,1
693,11.562,803,152,1
696,11.612,803,152,1
699,11.662,703,135,1
702,11.712,703,135,1
705,11.762,474,56,1
708,11.812,474,56,1
711,11.862,349,140,1
714,11.912,349,140,1
717,11.962,324,144,1
900,15.015,324,144,1
903,15.065,457,36,1
906,15.115,457,36,1
909,15.165,457,39,1
912,15.215,457,39,1
915,15.265,457,41,1
918,15.315,459,42,1
921,15.365,459,45,1
924,15.415,460,45,1
927,15.465,460,46,1
930,15.515,461,47,1
933,15.566,461,47,1
936,15.616,462,48,1
939,15.666,463,48,1
942,15.716,463,49,1
945,15.766,465,49,1
948,15.816,466,49,1
951,15.866,469,49,1
