game_id,shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
22400686,1,456,7.608,10,white,905,468,3pt_arc,,0.0,9,8,
22400686,6,2706,45.145,3,green,511,483,3pt_arc,,0.0,90,4,
22400686,11,3213,53.604,6,white,2718,1662,corner_3,,0.0,130,3,
22400686,12,3783,63.113,5,green,2483,1630,corner_3,,0.0,135,3,
22400686,18,4593,76.627,9,white,2248,1557,mid_range,,0.0,159,2,
22400686,21,5406,90.19,7,white,2763,1709,corner_3,,0.0,168,21,
22400686,29,6162,102.803,10,white,347,498,paint,,0.0,197,3,
22400686,37,6966,116.216,1,green,2520,1668,corner_3,,0.0,264,59,
22400686,42,7557,126.076,3,green,50,374,3pt_arc,,0.0,341,4,
22400686,43,8820,147.147,7,white,2763,1709,corner_3,,246487.5,367,3,
22400686,47,9312,155.355,3,green,50,374,3pt_arc,,0.0,460,31,
22400686,49,9897,165.115,2,green,2755,1710,corner_3,,0.0,546,5,
22400686,54,10818,180.48,1,green,2520,1668,corner_3,,0.0,657,3,
22400686,58,11694,195.095,5,green,2483,1630,corner_3,,0.0,865,4,
22400686,61,12435,207.457,10,white,117,370,3pt_arc,,0.0,996,3,
22400686,65,13278,221.521,4,green,2753,1699,corner_3,,0.0,1073,3,
