section_id,set,declared_ticks,producer_evaluated_ticks,schedule_reason,m1_observed_ticks_in_declared,m1_zero_ticks_over_declared,m1_zero_share_over_declared,m1_observed_ticks_in_producer_evaluated,m1_zero_ticks_over_producer_evaluated,m1_zero_share_over_producer_evaluated
GNjSxoeDT-E_s5475,FRESH69,1300,1000,,92,1208,0.929231,92,908,0.908000
GNjSxoeDT-E_s90,FRESH69,1299,1000,,110,1189,0.915319,110,890,0.890000
HUSo3PzP7lo_s246,FRESH69,1299,500,,60,1239,0.953811,60,440,0.880000
HUSo3PzP7lo_s402,FRESH69,1299,500,,173,1126,0.866821,173,327,0.654000
HUSo3PzP7lo_s90,FRESH69,1299,493,,436,863,0.664357,436,57,0.115619
N-eE7ZwTuno_s1308,FRESH69,1299,1000,,757,542,0.417244,757,243,0.243000
N-eE7ZwTuno_s2526,FRESH69,1299,1000,,674,625,0.481139,674,326,0.326000
N-eE7ZwTuno_s3744,FRESH69,1299,1000,,834,465,0.357968,834,166,0.166000
N-eE7ZwTuno_s4962,FRESH69,1299,1000,,601,698,0.537336,601,399,0.399000
N-eE7ZwTuno_s90,FRESH69,1299,1000,,25,1274,0.980754,25,975,0.975000
RIrGQJ_jsGQ_s1410,FRESH69,1301,1000,,717,584,0.448885,717,283,0.283000
RIrGQJ_jsGQ_s2730,FRESH69,1301,779,,373,928,0.713297,373,406,0.521181
RIrGQJ_jsGQ_s4050,FRESH69,1301,1000,,292,1009,0.775557,292,708,0.708000
RIrGQJ_jsGQ_s5370,FRESH69,1301,1000,,923,378,0.290546,923,77,0.077000
RIrGQJ_jsGQ_s90,FRESH69,1301,780,,283,1018,0.782475,283,497,0.637179
XCaGht2GmPg_s1416,FRESH69,1299,500,,78,1221,0.939954,78,422,0.844000
XCaGht2GmPg_s2742,FRESH69,1299,500,,453,846,0.651270,453,47,0.094000
XCaGht2GmPg_s4068,FRESH69,1299,500,,37,1262,0.971517,37,463,0.926000
XCaGht2GmPg_s5394,FRESH69,1299,500,,23,1276,0.982294,23,477,0.954000
