section_id,set,file,present,bytes,sha256
0KIBu1jQBL8_s90,FRESH69,tracking_data.csv,1,182897,16a491aadea13a09e16c645c2a89187c8a848a8936273b74c3bf6a34bc987a92
0KIBu1jQBL8_s90,FRESH69,ball_tracking.csv,1,32852,83f87588e1ce5f13a31a2700130a3a62c69f1de47c95b4563ee78bc5f9293a34
0KIBu1jQBL8_s90,FRESH69,evaluated_frame_count.json,0,,ABSENT
0KIBu1jQBL8_s90,FRESH69,harness_verdict.json,0,,ABSENT
1E5Rw89keTg_s312,FRESH69,tracking_data.csv,1,1592054,0a070258c15b1672be147253f51a1bed8eba33a62df1c5bb509c43a87a335748
1E5Rw89keTg_s312,FRESH69,ball_tracking.csv,1,32569,93039c99e7ba0efeb85ca62fabeaf5b829eb48e50efd762b17091216ab23d4f5
1E5Rw89keTg_s312,FRESH69,evaluated_frame_count.json,1,474,233948fee10739a2b64be22e21ac59bf27e70eba3a1716ab2ed078cc5cdbcd6a
1E5Rw89keTg_s312,FRESH69,harness_verdict.json,1,601,d2274fe6470438dc15b0d587cf8aee0564653c142e6af1e9182b11b7f06ae006
1E5Rw89keTg_s534,FRESH69,tracking_data.csv,1,1688919,5c1324e79f638659918bc3f1200c536edadd655a16f2f8e63c1e0762b348e6f3
1E5Rw89keTg_s534,FRESH69,ball_tracking.csv,1,34526,96e0b84659e3148ab43de1f9a05571f8fcd5de5684664b97890e4fc727e2a15f
1E5Rw89keTg_s534,FRESH69,evaluated_frame_count.json,1,474,d6ab5862492463ef708a24fa5651a45c6e186d19e6cad58d466ea6220cd97b30
1E5Rw89keTg_s534,FRESH69,harness_verdict.json,1,603,b4c6a0dc469d0d0f3549e0fa74b29d20e03f26888d14d3a0ba2fa104675aff08
1E5Rw89keTg_s90,FRESH69,tracking_data.csv,1,1405606,f9a05313f36ad1e4f0131d76c2f4b45b843dd65dccda88b20c52deb99cbdcc7d
1E5Rw89keTg_s90,FRESH69,ball_tracking.csv,1,32752,c59b81dd6a97cb84057bce39a66d542d3a8be65890de16e51972c23c56564695
1E5Rw89keTg_s90,FRESH69,evaluated_frame_count.json,1,473,6ca7fd9667b55ed5b60e3f8b81d59f3fda64058c016f92530d5756ab9311971c
1E5Rw89keTg_s90,FRESH69,harness_verdict.json,1,600,26d074b7b83d778685d22fd10eaafb7324b478e67139944024ac93e9af62c4ab
1zPhldjbJnU_s1196,SEALED34,tracking_data.csv,1,1529175,59300fd217b9db1da637dd4a98034a3a49583b77e933825a0c3be1a4a60b6d34
1zPhldjbJnU_s1196,SEALED34,ball_tracking.csv,1,30512,7e95d1aac201f5651c424f93918582e6f17e6c3dafe8b4f947782376f1ec03c7
1zPhldjbJnU_s1196,SEALED34,evaluated_frame_count.json,1,468,783af049c8459e6cbc4505770b961bb2aaf7aa359e8ade7231ffed3d9b66bc07
1zPhldjbJnU_s1196,SEALED34,harness_verdict.json,1,604,05efd6e6101eb75cf17bc8de6c23991e542fd93ee7489d85f99d796c317ecf00
1zPhldjbJnU_s3408,SEALED34,tracking_data.csv,1,1644986,ecdc3f3020e10d82f34cbd5d047fdeb251ef4e0f13dfeeda5e7a7fc57a955e4d
1zPhldjbJnU_s3408,SEALED34,ball_tracking.csv,1,31525,fdf7b4aec165df552a841bd32d00d6cd697c83ebdb94e6a557faeb93b30efa84
1zPhldjbJnU_s3408,SEALED34,evaluated_frame_count.json,1,468,aa48e1a99705311d8aff9af10a66cb93531bcc229ab3e32f8f65e335611b7479
1zPhldjbJnU_s3408,SEALED34,harness_verdict.json,1,604,d98d7c0a284ea5123aba55851bb95a52b149b52fbddda3ab09f9b97971c0fb0c
1zPhldjbJnU_s5620,SEALED34,tracking_data.csv,1,2158777,e57f720b79e9565572bcdcc4986ac825efafdc8141f424bc74789d051eb2a7d9
1zPhldjbJnU_s5620,SEALED34,ball_tracking.csv,1,33749,8fb0639bef9a662438499425a9c501a79fef0e92c030e9430ecff0803386f74c
1zPhldjbJnU_s5620,SEALED34,evaluated_frame_count.json,1,468,855cb7d9a7f12aa6cb694dc5b332928f4b0404afee2b28a3596e4867df40b0b4
1zPhldjbJnU_s5620,SEALED34,harness_verdict.json,1,602,04ed29f4a5c6acf0c887bebcf2669734fabcb6a707a2d8ea5849b3425716730a
3fT6aYz2N9w_s1339,SEALED34,tracking_data.csv,1,1984635,f1ee541de68b83b7814cbf493687c1c12a333f59c38f669b5ec15ef0545fb476
3fT6aYz2N9w_s1339,SEALED34,ball_tracking.csv,1,33207,364251d8aa608cd930052da9e00dd02eb950a0e489b8b81ccf14030f6449dab1
3fT6aYz2N9w_s1339,SEALED34,evaluated_frame_count.json,1,467,230886e137c8b05fe5e615d925d2dc9b0d5f409d2dd9a4191baabe1947eed9f7
3fT6aYz2N9w_s1339,SEALED34,harness_verdict.json,1,603,2f56a6ede89f5a7b6e1b6c3b729a4208fe7acc53ad838efd08b285d7adb0c167
3fT6aYz2N9w_s5086,SEALED34,tracking_data.csv,1,234181,f0b578b0af894d54519dfd8d27c5e84e2bba91b8c6195eafa2824fc86661f5ae
3fT6aYz2N9w_s5086,SEALED34,ball_tracking.csv,1,30063,39647eafa86a9e46bb8f55e9ee921a3e5656940b9195ce4c2a389120faa46196
3fT6aYz2N9w_s5086,SEALED34,evaluated_frame_count.json,1,467,80da93e56d6679f2c5c52b8a0570e4e4cb3263faa644033c0e100426511d05b7
3fT6aYz2N9w_s5086,SEALED34,harness_verdict.json,1,604,2838bd3678e5c7a55111c19058011af889c20e91edef9f2a46a432a969b93059
50pp-OqYVok_s2750,SEALED34,tracking_data.csv,1,1766925,b8b93adfd66c3ee54cd240b86c20d4a1945c5fb3b6beaaa6793da44312968344
50pp-OqYVok_s2750,SEALED34,ball_tracking.csv,1,34612,a5eddcbb197322fd708e93948d3d175538d82df655a07212aded0f56c6452a08
50pp-OqYVok_s2750,SEALED34,evaluated_frame_count.json,1,467,dd73c1660b2a617468cad4c641e23ddeea10818fe5d0eb486c29ec2075995cff
50pp-OqYVok_s2750,SEALED34,harness_verdict.json,1,604,b71a5a86afca1386eeca0eba35c8dd559b2dc697a95c6675ba01bfcb6e4cae0f
50pp-OqYVok_s5410,SEALED34,tracking_data.csv,1,1618248,f85f3b9e5ce9d3c68e434b563bb08b39da32eb8bd1aad0f3083335a0bdd63968
50pp-OqYVok_s5410,SEALED34,ball_tracking.csv,1,32899,de0d1e7820127a05bf2a3468a5aabca8157ccd30228b2c05723143439b3d0c5e
50pp-OqYVok_s5410,SEALED34,evaluated_frame_count.json,1,467,576b62f9ebb8f01d823d7e439a105cc9b0ba2b8157f07e8473e8fedb45ccd14b
50pp-OqYVok_s5410,SEALED34,harness_verdict.json,1,603,259a7b52faa02286aa43e40d721b497a12c126c170ec1c3145fe56df911f4ecf
6FlZaoWSfFw_s337,FRESH69,tracking_data.csv,1,1801190,22f2972ef20394eaea4e7ab43cd51b813ac005c0832f96f194b3dcc41595f75b
6FlZaoWSfFw_s337,FRESH69,ball_tracking.csv,1,32348,4129ade6d08d2c708c48929b7d0292c38f3629f79b58099c630c0798064e278d
6FlZaoWSfFw_s337,FRESH69,evaluated_frame_count.json,1,474,9a38dd20e9835cea1e04971b9fb6d67139c3d5595129097275915ae90c1695f1
6FlZaoWSfFw_s337,FRESH69,harness_verdict.json,1,601,6f9a58d4c23fef94875576e81f5b0d91bd55dbd89cec6c2798ed96c360745910
6FlZaoWSfFw_s584,FRESH69,tracking_data.csv,1,1287167,4e4ea59a9d6306d0e49c7eb870fb7d7058258bd20ba7b2df536693055287873e
6FlZaoWSfFw_s584,FRESH69,ball_tracking.csv,1,38917,69f2554565ecdac46e037befe481065a41af83b246e33b49ae9e7ede8c84d4eb
6FlZaoWSfFw_s584,FRESH69,evaluated_frame_count.json,1,473,ce85e0893f19d5fb8ffc6927005aa428b65f991a60c17bda57bdd4fdb7180f49
6FlZaoWSfFw_s584,FRESH69,harness_verdict.json,1,601,647675621e9a1c41b0e327f30c50afcc5bc1d5a6a0e1a4540fadba231c07cfb1
6FlZaoWSfFw_s90,FRESH69,tracking_data.csv,1,1563425,f481e4c612ccf515ae8a31839a6942cd0cee6c53407f529d77031cc33dcbec56
6FlZaoWSfFw_s90,FRESH69,ball_tracking.csv,1,29871,cc67aa7eca948b1f1dd3b3cdde51f37bb8f8090cb4aa6717b52fff2c047fda0b
6FlZaoWSfFw_s90,FRESH69,evaluated_frame_count.json,1,473,c99c2ea289f231d378fbb0e01b1af6d3e3e829c502de86d876c16c3092127af8
6FlZaoWSfFw_s90,FRESH69,harness_verdict.json,1,602,3330f33ddcb87fb36701d257f8774a8e2176f5d639766ee68b6973f3dd774915
7Ci3zQ5Vm4M_s2312,SEALED34,tracking_data.csv,1,1631263,075750ca973d43aa077d17e6961a2870b02118a1dca262718a93d8646438ac3a
7Ci3zQ5Vm4M_s2312,SEALED34,ball_tracking.csv,1,32651,0ef20b42c4c68845c47d23b066158bdcdd10bbb8fd185908b6118c1673e538f2
7Ci3zQ5Vm4M_s2312,SEALED34,evaluated_frame_count.json,1,468,16504f5d22585995e97070179d057cff9ea1226d79a3cd0148456cc682d2c855
7Ci3zQ5Vm4M_s2312,SEALED34,harness_verdict.json,1,604,76aa537808e09f4961cefe06070ef1932bfeb571d2714e43537c8ef84c1e00f1
9F5q5jCbrMI_s1270,FRESH69,tracking_data.csv,1,1048714,bca0d1849679aeddae8c47beae75f6bdcd8a2251525e46b6278aa42ccffd7406
9F5q5jCbrMI_s1270,FRESH69,ball_tracking.csv,1,14709,0512a1f8cd70185268b064ea3b2749361d16de826e4b83edad8e39677daa302d
9F5q5jCbrMI_s1270,FRESH69,evaluated_frame_count.json,1,485,cd9ff27a7654851ce7dc0e2137dac42fa70652801164778e02470100ec873b6e
9F5q5jCbrMI_s1270,FRESH69,harness_verdict.json,1,602,528570db929e0f86c773bcce77428ddd42ec470bc562e050e356fd6f762ef572
9F5q5jCbrMI_s2450,FRESH69,tracking_data.csv,1,533457,fd226ec027cb2e1b885a9f2c13ce61a927828b2e9065cb8636e42df067a2caf2
9F5q5jCbrMI_s2450,FRESH69,ball_tracking.csv,1,14660,309ac3bd4683bbeb89860ea154da4309b2eca8069f2e90903e754b94bec25345
9F5q5jCbrMI_s2450,FRESH69,evaluated_frame_count.json,1,485,32444c08bc630cceca0e023b21c0df9f996234b4236d55782b1e3cf3507765cb
9F5q5jCbrMI_s2450,FRESH69,harness_verdict.json,1,603,e01b43c94f8f604b86dc4e5f4275101efeb117a585fce28e433a38a9e7c2c810
9F5q5jCbrMI_s3630,FRESH69,tracking_data.csv,1,735523,2b6f65192eebeed8d2a6c18dc2655210de779d462db863092def0b5f4d96b585
9F5q5jCbrMI_s3630,FRESH69,ball_tracking.csv,1,18205,2edeba863e008b922859efc08c5c5cf6f5edf10b64567de81375df18c4618f5b
9F5q5jCbrMI_s3630,FRESH69,evaluated_frame_count.json,1,485,35c129282a1bdc08b402890c2e01eb3d8e6b710e3c4af54e3573f22a55afb8b7
9F5q5jCbrMI_s3630,FRESH69,harness_verdict.json,1,601,812a3fa9f62a14f3f5fb6f751c858d8e7cfcffd86fc81fd284fefe0ae3415139
9F5q5jCbrMI_s4810,FRESH69,tracking_data.csv,1,493143,e962a9bcea676489161127f9361379cea492ba9c6ae1a5152459c7581ded813f
9F5q5jCbrMI_s4810,FRESH69,ball_tracking.csv,1,18173,e898918a1802e0ab8c20da3eac4230bce5d0d2fce8c7c2b035885f3018d2b15b
9F5q5jCbrMI_s4810,FRESH69,evaluated_frame_count.json,1,485,cd8e29ee5390626d67fd4ee89db6a2bfc1a27d4fcc4fcd8b46727c8bddca4eb0
9F5q5jCbrMI_s4810,FRESH69,harness_verdict.json,1,601,edce9ee410fc543d3d030b86bbf3f5fc70fb9714f275c8069ad70c757d04ac1f
9F5q5jCbrMI_s90,FRESH69,tracking_data.csv,1,1343296,9aec784929aaae1861afda898db86a06975a19b4fe75e8e6d5b6e6f765e72b64
9F5q5jCbrMI_s90,FRESH69,ball_tracking.csv,1,17227,326dc6c9235893fb7829c8fb1026ac02cbf2a72d60749fafe7cdf619410db068
9F5q5jCbrMI_s90,FRESH69,evaluated_frame_count.json,1,483,9c36a3b9b9809a102da28616ae0b690e84824b5bacd6500e61b4dbf158b1cf78
9F5q5jCbrMI_s90,FRESH69,harness_verdict.json,1,599,3b1bb7acf15820f739603127ab74c79c328e7f77aebe90dc312274cf943a547e
EqseleqhpTk_s1395,FRESH69,tracking_data.csv,1,2077969,c60ba28da9fcad1892c1acfa18e19485e56168ae4754e3b5447e9723251e8762
EqseleqhpTk_s1395,FRESH69,ball_tracking.csv,1,33965,2eb342562cf47c5ce830c78757d338cfe2defb43c4f69a3525fa6124455f1dae
EqseleqhpTk_s1395,FRESH69,evaluated_frame_count.json,0,,ABSENT
EqseleqhpTk_s1395,FRESH69,harness_verdict.json,0,,ABSENT
EqseleqhpTk_s2700,FRESH69,tracking_data.csv,1,1548995,197676be93202a334e50325ce97b86eba7a691fef4c3f69ee9aab420237e879f
EqseleqhpTk_s2700,FRESH69,ball_tracking.csv,1,35894,d5563d060c966eefb3cced3155e5ad2b7d9750ab1255f7882956e62a823ad042
EqseleqhpTk_s2700,FRESH69,evaluated_frame_count.json,0,,ABSENT
EqseleqhpTk_s2700,FRESH69,harness_verdict.json,0,,ABSENT
EqseleqhpTk_s4005,FRESH69,tracking_data.csv,1,2117473,5df5b9d4da3d4a36bc9a50082f46a5f469c69f208feb8a4bf8eb7dc23dc5ac9d
EqseleqhpTk_s4005,FRESH69,ball_tracking.csv,1,32421,48a8eae726f3d7fb3884650a81e1e58d15425595419acf257c3a48111fb075a6
EqseleqhpTk_s4005,FRESH69,evaluated_frame_count.json,0,,ABSENT
EqseleqhpTk_s4005,FRESH69,harness_verdict.json,0,,ABSENT
EqseleqhpTk_s5310,FRESH69,tracking_data.csv,1,723833,43c4fc18da82b743b49c9f20f39d693b96468377b8462adfce04397432772433
EqseleqhpTk_s5310,FRESH69,ball_tracking.csv,1,33703,ae9546de653a71753aa01bd6487f052319c7da59a8a1667c1a38d0542b6954b1
EqseleqhpTk_s5310,FRESH69,evaluated_frame_count.json,0,,ABSENT
EqseleqhpTk_s5310,FRESH69,harness_verdict.json,0,,ABSENT
EqseleqhpTk_s90,FRESH69,tracking_data.csv,1,2143502,a83e07b01f40efb5c777c620acc96f0f4734cc0c9b3c499bf3464bf286b15161
