section_id,set,frame,tick_class,sub_reason
1zPhldjbJnU_s1196,SEALED34,303,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,306,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,309,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,312,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,315,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,318,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,321,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,324,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,327,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,330,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,333,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,336,SCHEDULED_NO_DETECTION,
1zPhldjbJnU_s1196,SEALED34,339,SCHEDULED_NO_DETECTION,
1zPhldjbJnU_s1196,SEALED34,342,SCHEDULED_NO_DETECTION,
1zPhldjbJnU_s1196,SEALED34,345,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,348,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,351,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,354,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,357,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,360,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,363,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,366,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,369,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,372,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,375,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,378,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,381,NOT_SCHEDULED,GATED_OR_UNREACHED
1zPhldjbJnU_s1196,SEALED34,384,NOT_SCHEDULED,GATED_OR_UNREACHED
