section_id,set,declared_ticks,producer_evaluated_ticks,route_capped_ticks,ledger_evaluated_frames,observed_ticks,observed_ticks_in_declared,ledger_minus_producer,restate_evaluated_frames,zero_share_over_declared,zero_share_over_producer_evaluated,g368_observed_pairs,g368_producer_pairs,m1_observed_ticks_in_producer_evaluated,m1_zero_ticks_over_producer_evaluated,m1_zero_share_over_producer_evaluated
1zPhldjbJnU_s1196,SEALED34,1301,1000,1000,1301,995,995,301,1,0.235204,0.005000,994,999,31,969,0.969000
1zPhldjbJnU_s3408,SEALED34,1301,1000,1000,1301,996,996,301,1,0.234435,0.004000,995,999,540,460,0.460000
1zPhldjbJnU_s5620,SEALED34,1301,1000,1000,1301,1000,1000,301,1,0.231360,0.000000,999,999,62,938,0.938000
3fT6aYz2N9w_s1339,SEALED34,1299,1000,1000,1299,980,980,299,1,0.245574,0.020000,979,999,500,500,0.500000
3fT6aYz2N9w_s5086,SEALED34,1299,1000,1000,1299,481,481,299,1,0.629715,0.519000,480,999,357,643,0.643000
50pp-OqYVok_s2750,SEALED34,1301,1000,1000,1301,999,999,301,1,0.232129,0.001000,998,999,800,200,0.200000
50pp-OqYVok_s5410,SEALED34,1301,1000,1000,1301,991,991,301,1,0.238278,0.009000,990,999,718,282,0.282000
7Ci3zQ5Vm4M_s2312,SEALED34,1301,1000,1000,1301,965,965,301,1,0.258263,0.035000,964,999,707,293,0.293000
UPco-jzOoEg_s2796,SEALED34,1301,500,500,1301,445,445,801,1,0.657955,0.110000,444,499,158,342,0.684000
acb-8Oh7-GrvKvE_s2630,SEALED34,1301,500,500,1301,470,470,801,1,0.638739,0.060000,469,499,468,32,0.064000
acb-8Oh7-GrvKvE_s6440,SEALED34,1301,500,500,1301,470,470,801,1,0.638739,0.060000,469,499,453,47,0.094000
eurocup-Y6POC6V1Y5E_s1221,SEALED34,1301,1000,1000,1301,963,963,301,1,0.259800,0.037000,962,999,783,217,0.217000
eurocup-Y6POC6V1Y5E_s3483,SEALED34,1301,1000,1000,1301,892,892,301,1,0.314374,0.108000,891,999,500,500,0.500000
eurocup-Y6POC6V1Y5E_s5745,SEALED34,1301,1000,1000,1301,1000,1000,301,1,0.231360,0.000000,999,999,367,633,0.633000
euroleague-AIPW_g_VZN0_s1153,SEALED34,1626,434,1500,1626,433,216,1192,1,0.867159,0.002304,432,433,347,87,0.200461
euroleague-AIPW_g_VZN0_s3279,SEALED34,1626,904,1500,1626,888,443,722,1,0.727552,0.017699,887,903,187,717,0.793142
euroleague-AIPW_g_VZN0_s5405,SEALED34,1626,1000,1500,1626,974,486,626,1,0.701107,0.026000,973,999,597,403,0.403000
fiba-1DKl1QOo_b8_s1289,SEALED34,1626,881,1500,1626,609,303,745,1,0.813653,0.308740,608,880,485,396,0.449489
fiba-1DKl1QOo_b8_s4886,SEALED34,1626,904,1500,1626,901,451,722,1,0.722632,0.003319,900,903,219,685,0.757743
fiba-UG_eQNRDHiI_s1385,SEALED34,1301,1000,1000,1301,994,994,301,1,0.235972,0.006000,993,999,535,465,0.465000
fiba-UG_eQNRDHiI_s3975,SEALED34,1301,1000,1000,1301,967,967,301,1,0.256726,0.033000,966,999,886,114,0.114000
fiba-UG_eQNRDHiI_s90,SEALED34,1301,1000,1000,1301,970,970,301,1,0.254420,0.030000,969,999,912,88,0.088000
fiba-jFUMvm_epUE_s6740,SEALED34,1301,453,1000,1301,422,422,848,1,0.675634,0.068433,421,452,346,107,0.236203
lnb-1CBY-LXG8VA_s6525,SEALED34,1301,1000,1000,1301,990,990,301,1,0.239047,0.010000,989,999,640,360,0.360000
lnb-ouDVA0vM20g_s1379,SEALED34,1301,1000,1000,1301,1000,1000,301,1,0.231360,0.000000,999,999,31,969,0.969000
nbl-kRQtUZmPm0E_s363,SEALED34,1301,600,600,1301,530,530,701,1,0.592621,0.116667,529,599,458,142,0.236667
nbl-kRQtUZmPm0E_s90,SEALED34,1301,600,600,1301,600,600,701,1,0.538816,0.000000,599,599,30,570,0.950000
ncaaw-lFZWLVzvCEs_s2232,SEALED34,1299,1000,1000,1299,990,990,299,1,0.237875,0.010000,989,999,506,494,0.494000
