section_id,set,declared_ticks,declared_reason,schedule_reason,stride,decoded_frames,ledger_evaluated_frames,verdict_evaluated_frames,producer_evaluated_ticks,route_max_frames,route_capped_ticks,verdict_attempted_frames_capped,observed_ticks,ball_rows,tracking_rows,observed_stride,suspended_frames,zero_observation_ticks,zero_observation_share,tracking_path,tracking_bytes,ball_path,ball_bytes,observed,scheduled_no_detection,not_scheduled,unknown,observed_share,scheduled_no_detection_share,not_scheduled_share,unknown_share,sub_suspended,sub_beyond_route_cap,sub_off_producer_lattice,sub_gated_or_unreached
1zPhldjbJnU_s1196,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,995,1000,4017,3,0,306,0.235204,/workspace/wt/a12/data/g376_snapshot/1zPhldjbJnU_s1196/tracking_data.csv,1529175,/workspace/wt/a12/data/g376_snapshot/1zPhldjbJnU_s1196/ball_tracking.csv,30512,995,5,301,0,0.764796,0.003843,0.231360,0.000000,0,241,0,60
1zPhldjbJnU_s3408,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,996,1000,4316,3,0,305,0.234435,/workspace/wt/a12/data/g376_snapshot/1zPhldjbJnU_s3408/tracking_data.csv,1644986,/workspace/wt/a12/data/g376_snapshot/1zPhldjbJnU_s3408/ball_tracking.csv,31525,996,4,301,0,0.765565,0.003075,0.231360,0.000000,0,271,0,30
1zPhldjbJnU_s5620,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,1000,1000,5636,3,0,301,0.231360,/workspace/wt/a12/data/g376_snapshot/1zPhldjbJnU_s5620/tracking_data.csv,2158777,/workspace/wt/a12/data/g376_snapshot/1zPhldjbJnU_s5620/ball_tracking.csv,33749,1000,0,301,0,0.768640,0.000000,0.231360,0.000000,0,211,0,90
3fT6aYz2N9w_s1339,SEALED34,1299,,,3,3897,1299,1299,1000,3000,1000,1000,980,1000,5158,3,0,319,0.245574,/workspace/wt/a12/data/g376_snapshot/3fT6aYz2N9w_s1339/tracking_data.csv,1984635,/workspace/wt/a12/data/g376_snapshot/3fT6aYz2N9w_s1339/ball_tracking.csv,33207,980,20,299,0,0.754426,0.015396,0.230177,0.000000,0,119,0,180
3fT6aYz2N9w_s5086,SEALED34,1299,,,3,3897,1299,1299,1000,3000,1000,1000,481,1000,632,3,0,818,0.629715,/workspace/wt/a12/data/g376_snapshot/3fT6aYz2N9w_s5086/tracking_data.csv,234181,/workspace/wt/a12/data/g376_snapshot/3fT6aYz2N9w_s5086/ball_tracking.csv,30063,481,519,299,0,0.370285,0.399538,0.230177,0.000000,0,162,0,137
50pp-OqYVok_s2750,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,999,1000,4508,3,0,302,0.232129,/workspace/wt/a12/data/g376_snapshot/50pp-OqYVok_s2750/tracking_data.csv,1766925,/workspace/wt/a12/data/g376_snapshot/50pp-OqYVok_s2750/ball_tracking.csv,34612,999,1,301,0,0.767871,0.000769,0.231360,0.000000,0,241,0,60
50pp-OqYVok_s5410,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,991,1000,4194,3,0,310,0.238278,/workspace/wt/a12/data/g376_snapshot/50pp-OqYVok_s5410/tracking_data.csv,1618248,/workspace/wt/a12/data/g376_snapshot/50pp-OqYVok_s5410/ball_tracking.csv,32899,991,9,301,0,0.761722,0.006918,0.231360,0.000000,0,241,0,60
7Ci3zQ5Vm4M_s2312,SEALED34,1301,,,3,3901,1301,1301,1000,3000,1000,1000,965,1000,4257,3,0,336,0.258263,/workspace/wt/a12/data/g376_snapshot/7Ci3zQ5Vm4M_s2312/tracking_data.csv,1631263,/workspace/wt/a12/data/g376_snapshot/7Ci3zQ5Vm4M_s2312/ball_tracking.csv,32651,965,35,301,0,0.741737,0.026902,0.231360,0.000000,0,121,0,180
UPco-jzOoEg_s2796,SEALED34,1301,,,6,7801,1301,1301,500,3000,500,500,445,500,1517,6,0,856,0.657955,/workspace/wt/a12/data/g376_snapshot/UPco-jzOoEg_s2796/tracking_data.csv,578985,/workspace/wt/a12/data/g376_snapshot/UPco-jzOoEg_s2796/ball_tracking.csv,15765,445,55,801,0,0.342045,0.042275,0.615680,0.000000,0,771,0,30
acb-8Oh7-GrvKvE_s2630,SEALED34,1301,,,6,7801,1301,1301,500,3000,500,500,470,500,2578,6,0,831,0.638739,/workspace/wt/a12/data/g376_snapshot/acb-8Oh7-GrvKvE_s2630/tracking_data.csv,966830,/workspace/wt/a12/data/g376_snapshot/acb-8Oh7-GrvKvE_s2630/ball_tracking.csv,13998,470,30,801,0,0.361261,0.023059,0.615680,0.000000,0,801,0,0
acb-8Oh7-GrvKvE_s6440,SEALED34,1301,,,6,7801,1301,1301,500,3000,500,500,470,500,2530,6,0,831,0.638739,/workspace/wt/a12/data/g376_snapshot/acb-8Oh7-GrvKvE_s6440/tracking_data.csv,974433,/workspace/wt/a12/data/g376_snapshot/acb-8Oh7-GrvKvE_s6440/ball_tracking.csv,16407,470,30,801,0,0.361261,0.023059,0.615680,0.000000,0,786,0,15
