section_id,set,pin,live_sha256,g370_sha256,tables_from,sidecars_from,pin_check
1zPhldjbJnU_s3408,SEALED34,ecdc3f3020e10d82f34cbd5d047fdeb251ef4e0f13dfeeda5e7a7fc57a955e4d,ecdc3f3020e10d82f34cbd5d047fdeb251ef4e0f13dfeeda5e7a7fc57a955e4d,ABSENT,/workspace/data/tracking/1zPhldjbJnU_s3408,/workspace/data/tracking/1zPhldjbJnU_s3408,MATCH
1zPhldjbJnU_s5620,SEALED34,e57f720b79e9565572bcdcc4986ac825efafdc8141f424bc74789d051eb2a7d9,e57f720b79e9565572bcdcc4986ac825efafdc8141f424bc74789d051eb2a7d9,ABSENT,/workspace/data/tracking/1zPhldjbJnU_s5620,/workspace/data/tracking/1zPhldjbJnU_s5620,MATCH
3fT6aYz2N9w_s1339,SEALED34,f1ee541de68b83b7814cbf493687c1c12a333f59c38f669b5ec15ef0545fb476,f1ee541de68b83b7814cbf493687c1c12a333f59c38f669b5ec15ef0545fb476,ABSENT,/workspace/data/tracking/3fT6aYz2N9w_s1339,/workspace/data/tracking/3fT6aYz2N9w_s1339,MATCH
3fT6aYz2N9w_s5086,SEALED34,f0b578b0af894d54519dfd8d27c5e84e2bba91b8c6195eafa2824fc86661f5ae,f0b578b0af894d54519dfd8d27c5e84e2bba91b8c6195eafa2824fc86661f5ae,ABSENT,/workspace/data/tracking/3fT6aYz2N9w_s5086,/workspace/data/tracking/3fT6aYz2N9w_s5086,MATCH
50pp-OqYVok_s2750,SEALED34,b8b93adfd66c3ee54cd240b86c20d4a1945c5fb3b6beaaa6793da44312968344,b8b93adfd66c3ee54cd240b86c20d4a1945c5fb3b6beaaa6793da44312968344,ABSENT,/workspace/data/tracking/50pp-OqYVok_s2750,/workspace/data/tracking/50pp-OqYVok_s2750,MATCH
50pp-OqYVok_s5410,SEALED34,f85f3b9e5ce9d3c68e434b563bb08b39da32eb8bd1aad0f3083335a0bdd63968,f85f3b9e5ce9d3c68e434b563bb08b39da32eb8bd1aad0f3083335a0bdd63968,ABSENT,/workspace/data/tracking/50pp-OqYVok_s5410,/workspace/data/tracking/50pp-OqYVok_s5410,MATCH
6FlZaoWSfFw_s337,FRESH69,22f2972ef20394eaea4e7ab43cd51b813ac005c0832f96f194b3dcc41595f75b,22f2972ef20394eaea4e7ab43cd51b813ac005c0832f96f194b3dcc41595f75b,22f2972ef20394eaea4e7ab43cd51b813ac005c0832f96f194b3dcc41595f75b,/workspace/data/tracking/6FlZaoWSfFw_s337,/workspace/data/tracking/6FlZaoWSfFw_s337,MATCH
6FlZaoWSfFw_s584,FRESH69,4e4ea59a9d6306d0e49c7eb870fb7d7058258bd20ba7b2df536693055287873e,4e4ea59a9d6306d0e49c7eb870fb7d7058258bd20ba7b2df536693055287873e,4e4ea59a9d6306d0e49c7eb870fb7d7058258bd20ba7b2df536693055287873e,/workspace/data/tracking/6FlZaoWSfFw_s584,/workspace/data/tracking/6FlZaoWSfFw_s584,MATCH
6FlZaoWSfFw_s90,FRESH69,f481e4c612ccf515ae8a31839a6942cd0cee6c53407f529d77031cc33dcbec56,f481e4c612ccf515ae8a31839a6942cd0cee6c53407f529d77031cc33dcbec56,f481e4c612ccf515ae8a31839a6942cd0cee6c53407f529d77031cc33dcbec56,/workspace/data/tracking/6FlZaoWSfFw_s90,/workspace/data/tracking/6FlZaoWSfFw_s90,MATCH
7Ci3zQ5Vm4M_s2312,SEALED34,075750ca973d43aa077d17e6961a2870b02118a1dca262718a93d8646438ac3a,075750ca973d43aa077d17e6961a2870b02118a1dca262718a93d8646438ac3a,ABSENT,/workspace/data/tracking/7Ci3zQ5Vm4M_s2312,/workspace/data/tracking/7Ci3zQ5Vm4M_s2312,MATCH
9F5q5jCbrMI_s1270,FRESH69,bca0d1849679aeddae8c47beae75f6bdcd8a2251525e46b6278aa42ccffd7406,bca0d1849679aeddae8c47beae75f6bdcd8a2251525e46b6278aa42ccffd7406,bca0d1849679aeddae8c47beae75f6bdcd8a2251525e46b6278aa42ccffd7406,/workspace/data/tracking/9F5q5jCbrMI_s1270,/workspace/data/tracking/9F5q5jCbrMI_s1270,MATCH
9F5q5jCbrMI_s2450,FRESH69,fd226ec027cb2e1b885a9f2c13ce61a927828b2e9065cb8636e42df067a2caf2,fd226ec027cb2e1b885a9f2c13ce61a927828b2e9065cb8636e42df067a2caf2,fd226ec027cb2e1b885a9f2c13ce61a927828b2e9065cb8636e42df067a2caf2,/workspace/data/tracking/9F5q5jCbrMI_s2450,/workspace/data/tracking/9F5q5jCbrMI_s2450,MATCH
9F5q5jCbrMI_s3630,FRESH69,2b6f65192eebeed8d2a6c18dc2655210de779d462db863092def0b5f4d96b585,2b6f65192eebeed8d2a6c18dc2655210de779d462db863092def0b5f4d96b585,2b6f65192eebeed8d2a6c18dc2655210de779d462db863092def0b5f4d96b585,/workspace/data/tracking/9F5q5jCbrMI_s3630,/workspace/data/tracking/9F5q5jCbrMI_s3630,MATCH
9F5q5jCbrMI_s4810,FRESH69,e962a9bcea676489161127f9361379cea492ba9c6ae1a5152459c7581ded813f,e962a9bcea676489161127f9361379cea492ba9c6ae1a5152459c7581ded813f,e962a9bcea676489161127f9361379cea492ba9c6ae1a5152459c7581ded813f,/workspace/data/tracking/9F5q5jCbrMI_s4810,/workspace/data/tracking/9F5q5jCbrMI_s4810,MATCH
9F5q5jCbrMI_s90,FRESH69,9aec784929aaae1861afda898db86a06975a19b4fe75e8e6d5b6e6f765e72b64,9aec784929aaae1861afda898db86a06975a19b4fe75e8e6d5b6e6f765e72b64,9aec784929aaae1861afda898db86a06975a19b4fe75e8e6d5b6e6f765e72b64,/workspace/data/tracking/9F5q5jCbrMI_s90,/workspace/data/tracking/9F5q5jCbrMI_s90,MATCH
EqseleqhpTk_s1395,FRESH69,c60ba28da9fcad1892c1acfa18e19485e56168ae4754e3b5447e9723251e8762,e103c7d5d27eb4c34c712ae5ee798c2d858a10efa8ceaf98e7a92a3d3b5fa3d2,c60ba28da9fcad1892c1acfa18e19485e56168ae4754e3b5447e9723251e8762,/workspace/g370_snapshot/EqseleqhpTk_s1395,NONE,MATCH
EqseleqhpTk_s2700,FRESH69,197676be93202a334e50325ce97b86eba7a691fef4c3f69ee9aab420237e879f,9b94cb63f3aa35f09954efdd25706819f9cc210a36c118c27d7e019f04181056,197676be93202a334e50325ce97b86eba7a691fef4c3f69ee9aab420237e879f,/workspace/g370_snapshot/EqseleqhpTk_s2700,NONE,MATCH
EqseleqhpTk_s4005,FRESH69,5df5b9d4da3d4a36bc9a50082f46a5f469c69f208feb8a4bf8eb7dc23dc5ac9d,4cf803fc873688227265a27d7e6f9cb4564ab97468ba697bc24b2143eb30e806,5df5b9d4da3d4a36bc9a50082f46a5f469c69f208feb8a4bf8eb7dc23dc5ac9d,/workspace/g370_snapshot/EqseleqhpTk_s4005,NONE,MATCH
EqseleqhpTk_s5310,FRESH69,43c4fc18da82b743b49c9f20f39d693b96468377b8462adfce04397432772433,499505b637aa22a99cc26fdce5e6a58f053a5a55489ff2c567a00e789b52d2b1,43c4fc18da82b743b49c9f20f39d693b96468377b8462adfce04397432772433,/workspace/g370_snapshot/EqseleqhpTk_s5310,NONE,MATCH
EqseleqhpTk_s90,FRESH69,a83e07b01f40efb5c777c620acc96f0f4734cc0c9b3c499bf3464bf286b15161,407ea387bad00141b96f830cf9b44b44a2681819fae4e9145a5a76e32bc60294,a83e07b01f40efb5c777c620acc96f0f4734cc0c9b3c499bf3464bf286b15161,/workspace/g370_snapshot/EqseleqhpTk_s90,NONE,MATCH
