frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
675,22.523,351,85,1,1,0
678,22.623,342,83,1,1,0
681,22.723,342,94,1,1,0
684,22.823,346,92,1,1,0
687,22.923,345,88,1,1,0
690,23.023,353,94,1,1,0
693,23.123,361,86,1,1,0
696,23.223,362,80,1,1,0
699,23.323,353,80,1,1,0
702,23.423,363,73,1,1,0
705,23.524,372,66,1,1,0
708,23.624,365,61,1,1,0
711,23.724,374,58,1,1,0
714,23.824,381,52,1,1,0
717,23.924,383,45,1,1,0
720,24.024,394,44,1,1,0
723,24.124,397,45,1,1,0
726,24.224,398,46,1,1,0
729,24.324,402,46,1,1,0
732,24.424,405,47,1,1,0
735,24.524,407,47,1,1,0
738,24.625,409,48,1,1,0
741,24.725,410,48,1,1,0
744,24.825,410,48,1,1,0
747,24.925,410,49,1,1,0
750,25.025,410,48,1,1,0
753,25.125,410,49,1,1,0
756,25.225,409,49,1,1,0
759,25.325,409,49,1,1,0
762,25.425,408,49,1,1,0
765,25.526,407,49,1,1,0
768,25.626,405,49,1,1,0
771,25.726,404,49,1,1,0
774,25.826,404,49,1,1,0
777,25.926,404,49,1,1,0
780,26.026,404,49,1,1,0
783,26.126,404,49,1,1,0
786,26.226,404,49,1,1,0
789,26.326,404,49,1,1,0
792,26.426,404,50,1,1,0
795,26.527,404,50,1,1,0
798,26.627,404,50,1,1,0
801,26.727,404,50,1,1,0
804,26.827,404,50,1,1,0
807,26.927,403,50,1,1,0
810,27.027,399,50,1,1,0
813,27.127,392,50,1,1,0
816,27.227,382,50,1,1,0
819,27.327,370,49,1,1,0
822,27.427,377,48,1,1,0
825,27.527,368,41,1,1,0
828,27.628,358,36,1,1,0
831,27.728,365,44,1,1,0
834,27.828,368,49,1,1,0
837,27.928,357,44,1,1,0
840,28.028,346,49,1,1,0
843,28.128,357,47,1,1,0
846,28.228,346,44,1,1,0
849,28.328,346,48,1,1,0
852,28.428,354,48,1,1,0
855,28.529,363,49,1,1,0
858,28.629,371,57,1,1,0
861,28.729,362,51,1,1,0
864,28.829,356,56,1,1,0
867,28.929,346,50,1,1,0
870,29.029,356,51,1,1,0
873,29.129,352,61,1,1,0
876,29.229,347,65,1,1,0
879,29.329,338,70,1,1,0
882,29.429,334,81,1,1,0
885,29.53,341,75,1,1,0
888,29.63,343,66,1,1,0
891,29.73,333,64,1,1,0
894,29.83,322,70,1,1,0
897,29.93,327,61,1,1,0
900,30.03,338,57,1,1,0
903,30.13,344,54,1,1,0
906,30.23,341,61,1,1,0
909,30.33,340,57,1,1,0
912,30.43,328,57,1,1,0
915,30.53,320,58,1,1,0
918,30.631,311,61,1,1,0
921,30.731,300,64,1,1,0
924,30.831,288,67,1,1,0
927,30.931,297,60,1,1,0
930,31.031,285,64,1,1,0
933,31.131,290,74,1,1,0
936,31.231,283,81,1,1,0
939,31.331,295,82,1,1,0
942,31.431,307,78,1,1,0
945,31.532,301,69,1,1,0
948,31.632,310,70,1,1,0
951,31.732,298,67,1,1,0
954,31.832,287,62,1,1,0
957,31.932,281,61,1,1,0
960,32.032,274,61,1,1,0
963,32.132,272,61,1,1,0
966,32.232,269,59,1,1,0
969,32.332,267,56,1,1,0
972,32.432,258,53,1,1,0
975,32.532,249,47,1,1,0
978,32.633,244,39,1,1,0
981,32.733,240,32,1,1,0
984,32.833,239,24,1,1,0
987,32.933,240,17,1,1,0
990,33.033,240,26,1,1,0
993,33.133,240,21,1,1,0
996,33.233,241,17,1,1,0
999,33.333,233,22,1,1,0
1002,33.433,241,17,1,1,0
1005,33.534,236,27,1,1,0
1008,33.634,245,24,1,1,0
1011,33.734,252,21,1,1,0
1014,33.834,261,20,1,1,0
1017,33.934,261,17,1,1,0
1020,34.034,263,28,1,1,0
1023,34.134,259,19,1,1,0
1026,34.234,260,17,1,1,0
1029,34.334,257,28,1,1,0
1032,34.434,253,35,1,1,0
1035,34.535,247,39,1,1,0
1038,34.635,249,47,1,1,0
1041,34.735,245,45,1,1,0
1044,34.835,249,55,1,1,0
1047,34.935,245,66,1,1,0
1050,35.035,245,66,1,1,0
1053,35.135,253,79,1,1,0
1056,35.235,247,90,1,1,0
1059,35.335,245,100,1,1,0
1062,35.435,239,101,1,1,0
1065,35.535,239,90,1,1,0
1068,35.636,226,90,1,1,0
1071,35.736,215,91,1,1,0
1074,35.836,206,92,1,1,0
1077,35.936,197,94,1,1,0
1080,36.036,190,95,1,1,0
1083,36.136,184,96,1,1,0
1086,36.236,177,98,1,1,0
1089,36.336,172,101,1,1,0
1092,36.436,166,103,1,1,0
1095,36.537,162,106,1,1,0
1098,36.637,159,109,1,1,0
1101,36.737,157,112,1,1,0
1104,36.837,154,114,1,1,0
1107,36.937,150,116,1,1,0
1110,37.037,147,117,1,1,0
1113,37.137,144,117,1,1,0
1116,37.237,141,118,1,1,0
1119,37.337,140,117,1,1,0
1122,37.437,138,117,1,1,0
1125,37.538,137,117,1,1,0
1128,37.638,138,115,1,1,0
1131,37.738,138,115,1,1,0
1134,37.838,138,115,1,1,0
1137,37.938,138,114,1,1,0
1140,38.038,139,114,1,1,0
1143,38.138,139,114,1,1,0
1146,38.238,140,115,1,1,0
1149,38.338,139,115,1,1,0
1152,38.438,136,114,1,1,0
1155,38.538,130,114,1,1,0
1158,38.639,122,113,1,1,0
1161,38.739,110,113,1,1,0
1164,38.839,118,109,1,1,0
1167,38.939,126,109,1,1,0
1170,39.039,134,112,1,1,0
1173,39.139,143,108,1,1,0
1176,39.239,136,118,1,1,0
1179,39.339,127,125,1,1,0
1182,39.439,122,133,1,1,0
1185,39.54,126,138,1,1,0
1188,39.64,139,136,1,1,0
1191,39.74,134,140,1,1,0
1194,39.84,127,147,1,1,0
1197,39.94,119,156,1,1,0
1200,40.04,112,167,1,1,0
1203,40.14,104,177,1,1,0
1206,40.24,94,186,1,1,0
1209,40.34,87,190,1,1,0
1212,40.44,87,191,1,1,0
1215,40.541,86,191,1,1,0
1218,40.641,86,191,1,1,0
1221,40.741,86,190,1,1,0
1224,40.841,85,191,1,1,0
1227,40.941,85,189,1,1,0
1230,41.041,85,189,1,1,0
1233,41.141,72,192,1,1,0
1236,41.241,63,194,1,1,0
1239,41.341,67,198,1,1,0
1242,41.441,61,201,1,1,0
1245,41.541,72,196,1,1,0
1248,41.642,65,188,1,1,0
1251,41.742,71,183,1,1,0
1254,41.842,79,191,1,1,0
1257,41.942,77,188,1,1,0
1260,42.042,71,199,1,1,0
1263,42.142,75,204,1,1,0
1266,42.242,62,207,1,1,0
1269,42.342,72,210,1,1,0
1272,42.442,63,204,1,1,0
1275,42.543,61,206,1,1,0
1278,42.643,72,211,1,1,0
1281,42.743,69,218,1,1,0
1284,42.843,57,223,1,1,0
1287,42.943,68,222,1,1,0
1290,43.043,59,228,1,1,0
1293,43.143,57,218,1,1,0
1296,43.243,58,226,1,1,0
1299,43.343,50,218,1,1,0
1302,43.443,53,211,1,1,0
1305,43.544,55,212,1,1,0
1308,43.644,56,220,1,1,0
1311,43.744,49,216,1,1,0
1314,43.844,42,227,1,1,0
1317,43.944,40,234,1,1,0
1320,44.044,33,245,1,1,0
1323,44.144,42,253,1,1,0
1326,44.244,45,241,1,1,0
1329,44.344,57,234,1,1,0
1332,44.444,47,231,1,1,0
1335,44.544,41,241,1,1,0
1338,44.645,44,230,1,1,0
1341,44.745,39,225,1,1,0
1344,44.845,44,218,1,1,0
1347,44.945,45,221,1,1,0
1440,48.048,55,222,1,1,0
1443,48.148,50,221,1,1,0
1446,48.248,40,221,1,1,0
1449,48.348,53,223,1,1,0
1452,48.448,63,228,1,1,0
1455,48.549,76,229,1,1,0
1458,48.649,76,240,1,1,0
1461,48.749,69,241,1,1,0
1464,48.849,61,233,1,1,0
1467,48.949,60,222,1,1,0
1470,49.049,66,225,1,1,0
1473,49.149,66,231,1,1,0
1476,49.249,67,224,1,1,0
1479,49.349,67,229,1,1,0
1482,49.449,67,229,1,1,0
1485,49.55,66,231,1,1,0
1488,49.65,67,229,1,1,0
1491,49.75,69,228,1,1,0
1494,49.85,74,222,1,1,0
1497,49.95,81,225,1,1,0
1500,50.05,90,222,1,1,0
1503,50.15,96,220,1,1,0
1506,50.25,101,216,1,1,0
1509,50.35,104,213,1,1,0
1512,50.45,106,210,1,1,0
1515,50.55,108,208,1,1,0
1518,50.651,111,205,1,1,0
1521,50.751,114,202,1,1,0
1524,50.851,115,199,1,1,0
1527,50.951,115,196,1,1,0
1530,51.051,115,195,1,1,0
1533,51.151,113,193,1,1,0
1536,51.251,111,191,1,1,0
1539,51.351,109,190,1,1,0
1542,51.451,113,196,1,1,0
1545,51.552,123,196,1,1,0
1548,51.652,133,190,1,1,0
1551,51.752,141,195,1,1,0
1554,51.852,129,198,1,1,0
1557,51.952,123,200,1,1,0
1560,52.052,126,211,1,1,0
1563,52.152,116,220,1,1,0
1566,52.252,117,209,1,1,0
1569,52.352,112,201,1,1,0
1572,52.452,104,200,1,1,0
1575,52.553,100,196,1,1,0
1578,52.653,105,189,1,1,0
1581,52.753,113,191,1,1,0
1584,52.853,114,181,1,1,0
1587,52.953,126,178,1,1,0
1590,53.053,139,175,1,1,0
1593,53.153,139,175,1,1,0
1596,53.253,147,174,1,1,0
1599,53.353,143,176,1,1,0
1602,53.453,151,174,1,1,0
1605,53.553,148,174,1,1,0
1608,53.654,147,174,1,1,0
1611,53.754,136,176,1,1,0
1614,53.854,137,176,1,1,0
1617,53.954,137,177,1,1,0
1620,54.054,139,178,1,1,0
1623,54.154,140,180,1,1,0
1626,54.254,149,180,1,1,0
1629,54.354,150,182,1,1,0
1632,54.454,155,186,1,1,0
1635,54.555,167,183,1,1,0
1638,54.655,171,183,1,1,0
1641,54.755,170,183,1,1,0
1644,54.855,169,186,1,1,0
1647,54.955,162,182,1,1,0
1650,55.055,171,187,1,1,0
1653,55.155,163,181,1,1,0
1656,55.255,175,180,1,1,0
1659,55.355,181,181,1,1,0
1662,55.455,182,190,1,1,0
1665,55.556,186,182,1,1,0
1668,55.656,181,180,1,1,0
1671,55.756,179,183,1,1,0
1674,55.856,174,191,1,1,0
1677,55.956,180,192,1,1,0
1680,56.056,191,192,1,1,0
1683,56.156,197,189,1,1,0
1686,56.256,209,184,1,1,0
1689,56.356,198,181,1,1,0
1692,56.456,198,180,1,1,0
1695,56.556,192,180,1,1,0
1698,56.657,187,180,1,1,0
1701,56.757,181,181,1,1,0
1704,56.857,174,181,1,1,0
1707,56.957,164,182,1,1,0
1710,57.057,159,184,1,1,0
1713,57.157,156,184,1,1,0
1716,57.257,150,187,1,1,0
1719,57.357,143,190,1,1,0
1722,57.457,133,190,1,1,0
1725,57.558,120,190,1,1,0
1728,57.658,108,191,1,1,0
1731,57.758,108,194,1,1,0
