game_id,claim_utc,sidecar_sha256,independent_sha256,agreement,status,diagnostic
N-eE7ZwTuno_s1308,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
N-eE7ZwTuno_s4962,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
XzIzQZBrPBY_s398,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
6FlZaoWSfFw_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
euroleague-8ue528gaVyY_s2366,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
euroleague-8ue528gaVyY_s5780,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fXLNra4sjjU_s2386,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fXLNra4sjjU_s5830,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
gleague-_fl2i6vToTM_s1293,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
gleague-_fl2i6vToTM_s4902,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
gleague-_fl2i6vToTM_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
h6j_iLYRx8U_s2758,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
h6j_iLYRx8U_s6760,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba--x4DRmtYn4Q_s2842,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba--x4DRmtYn4Q_s6970,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
XCaGht2GmPg_s2742,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
XCaGht2GmPg_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-7HQqWMaKxpA_s4185,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-7HQqWMaKxpA_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
0KIBu1jQBL8_s3435,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
0KIBu1jQBL8_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Y1cgaIWW8gk_s4131,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Y1cgaIWW8gk_s90,2026-09-10T18:56:20Z,2a8931de71495dd5ec186b9f204b3d3fbe90a82f240995aa7d3a3fb016e7db37,2a8931de71495dd5ec186b9f204b3d3fbe90a82f240995aa7d3a3fb016e7db37,True,AGREE,
RIrGQJ_jsGQ_s4050,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
RIrGQJ_jsGQ_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Byk8aH-n_U4_s1426,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Byk8aH-n_U4_s5434,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
wJSOHbeQcg4_s3360,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-fyp4VsE-8Fc_s4098,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-fyp4VsE-8Fc_s90,2026-09-10T18:56:23Z,4bf0387f7cc4641c38fe031fe544ee5f5f2b6822b55e93ad8319c23ed28f04cb,4bf0387f7cc4641c38fe031fe544ee5f5f2b6822b55e93ad8319c23ed28f04cb,True,AGREE,
GNjSxoeDT-E_s1167,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
GNjSxoeDT-E_s4398,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
EqseleqhpTk_s2700,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
EqseleqhpTk_s4005,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
EqseleqhpTk_s90,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-tZeqmc_-_sA_s3816,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-tZeqmc_-_sA_s90,2026-09-10T18:56:26Z,9747eab9c97bb3d6367ee269cd242b6ff7c92b870d27ff91e6ec612cb30ecb50,9747eab9c97bb3d6367ee269cd242b6ff7c92b870d27ff91e6ec612cb30ecb50,True,AGREE,
9F5q5jCbrMI_s2450,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
1E5Rw89keTg_s312,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
1E5Rw89keTg_s534,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
HUSo3PzP7lo_s402,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
eaKqXq9dfig_s428,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
euroleague-zud-2wkhjJY_s296,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-tZeqmc_-_sA_s2639,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-tZeqmc_-_sA_s6365,2026-09-10T18:56:29Z,5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572,5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572,True,AGREE,
9F5q5jCbrMI_s2515,2026-09-10T18:56:32Z,5110912d391ea0c977c3b53dda86659a53d6d6601d5a78e59ad60f993117cb19,5110912d391ea0c977c3b53dda86659a53d6d6601d5a78e59ad60f993117cb19,True,AGREE,
fiba-XKDW0xL3yKc_s155,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-XKDW0xL3yKc_s3878,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
HUSo3PzP7lo_s155,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
eaKqXq9dfig_s155,,,,False,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine
