game_id,source_identity_path,state,source_path,source_sha256,source_bytes,ffprobe,crop_rule,route_digest,weight_digest,deploy_manifest_sha256,claim_utc,daemon_pid,terminal_diagnostic
N-eE7ZwTuno_s1308,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
N-eE7ZwTuno_s4962,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
XzIzQZBrPBY_s398,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
6FlZaoWSfFw_s90,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
euroleague-8ue528gaVyY_s2366,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
euroleague-8ue528gaVyY_s5780,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fXLNra4sjjU_s2386,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fXLNra4sjjU_s5830,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
gleague-_fl2i6vToTM_s1293,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
gleague-_fl2i6vToTM_s4902,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
gleague-_fl2i6vToTM_s90,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
h6j_iLYRx8U_s2758,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
h6j_iLYRx8U_s6760,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba--x4DRmtYn4Q_s2842,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba--x4DRmtYn4Q_s6970,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
XCaGht2GmPg_s2742,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
XCaGht2GmPg_s90,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-7HQqWMaKxpA_s4185,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-7HQqWMaKxpA_s90,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
0KIBu1jQBL8_s3435,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
0KIBu1jQBL8_s90,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Y1cgaIWW8gk_s4131,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Y1cgaIWW8gk_s90,scratch_g372/out/sidecars/fiba-Y1cgaIWW8gk_s90.source_identity.json,COMMITTED,scratch_g372/sources/basketball__fiba-Y1cgaIWW8gk_s90.mp4,2a8931de71495dd5ec186b9f204b3d3fbe90a82f240995aa7d3a3fb016e7db37,58883653,"{""codec"": ""h264"", ""first_pts"": 0.0, ""fps"": ""30/1"", ""height"": 1080, ""nb_frames"": ""4051"", ""start_time_kind"": ""DECODED_PTS"", ""status"": ""OK"", ""width"": 1920}",TOPCUT = 60,"{""scripts/run_clip.py"": ""ccd08d32c8c4cb8625ec5ef67535206f74f4df307a8e191ec01f5700fb40d8c2"", ""src/pipeline/unified_pipeline.py"": ""c4eae385bfeebd4e44c8161c791ef7ed4589697020f424d3dde7aec6816d9226"", ""src/tracking/ball_detect_track.py"": ""cbc7cd9dfb7e18691f310b7594be046ac0d3184a279c43d8eb427210355bc9ea""}",{},6aad1e7aa687d00533c37be38c2b33fa8f2636c3b23ce3e99a14e421a75280c1,2026-09-10T18:56:20Z,0,
RIrGQJ_jsGQ_s4050,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
RIrGQJ_jsGQ_s90,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Byk8aH-n_U4_s1426,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
fiba-Byk8aH-n_U4_s5434,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
wJSOHbeQcg4_s3360,,BYTES_GONE,,,,,,,,,,,no file under footage_bridge|footage_corpus|footage_quarantine
