game_id,sport,ledger_rows,first_claim_utc,last_finished_utc,gate_side,location,located_path,dir_mtime_utc,retracked,retrack_reason
N-eE7ZwTuno_s1308,ncaa_basketball,2,2026-09-10T15:14:14Z,2026-09-10T16:57:32Z,BEFORE,GONE,,2026-09-10T16:57:32Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
N-eE7ZwTuno_s2526,ncaa_basketball,1,2026-09-10T15:14:34Z,2026-09-10T15:21:56Z,BEFORE,GONE,,2026-09-10T15:21:56Z,False,none
N-eE7ZwTuno_s3744,ncaa_basketball,2,2026-09-10T15:14:54Z,2026-09-10T16:58:13Z,BEFORE,GONE,,2026-09-10T16:58:13Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
N-eE7ZwTuno_s90,ncaa_basketball,2,2026-09-10T15:15:14Z,2026-09-10T16:58:33Z,BEFORE,GONE,,2026-09-10T16:58:33Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
N-eE7ZwTuno_s4962,ncaa_basketball,2,2026-09-10T15:15:14Z,2026-09-10T16:58:33Z,BEFORE,GONE,,2026-09-10T16:58:33Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
XzIzQZBrPBY_s244,nba,2,2026-09-10T15:18:15Z,2026-09-10T16:59:14Z,BEFORE,GONE,,2026-09-10T16:59:14Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
XzIzQZBrPBY_s398,nba,2,2026-09-10T15:18:35Z,2026-09-10T17:00:14Z,BEFORE,GONE,,2026-09-10T17:00:14Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
XzIzQZBrPBY_s90,nba,2,2026-09-10T15:18:55Z,2026-09-10T17:00:54Z,BEFORE,GONE,,2026-09-10T17:00:54Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
6FlZaoWSfFw_s337,wnba,2,2026-09-10T15:20:56Z,2026-09-10T17:03:56Z,BEFORE,GONE,,2026-09-10T17:03:56Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
6FlZaoWSfFw_s90,wnba,2,2026-09-10T15:21:16Z,2026-09-10T17:04:16Z,BEFORE,GONE,,2026-09-10T17:04:16Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
6FlZaoWSfFw_s584,wnba,2,2026-09-10T15:21:17Z,2026-09-10T17:04:16Z,BEFORE,GONE,,2026-09-10T17:04:16Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
euroleague-8ue528gaVyY_s1228,basketball,1,2026-09-10T15:21:36Z,2026-09-10T15:27:39Z,BEFORE,GONE,,2026-09-10T15:27:39Z,False,none
euroleague-8ue528gaVyY_s2366,basketball,2,2026-09-10T15:22:17Z,2026-09-10T17:05:38Z,BEFORE,GONE,,2026-09-10T17:05:38Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
euroleague-8ue528gaVyY_s3504,basketball,1,2026-09-10T15:22:37Z,2026-09-10T15:29:42Z,BEFORE,GONE,,2026-09-10T15:29:42Z,False,none
euroleague-8ue528gaVyY_s4642,basketball,2,2026-09-10T15:22:57Z,2026-09-10T17:05:17Z,BEFORE,GONE,,2026-09-10T17:05:17Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
euroleague-8ue528gaVyY_s5780,basketball,2,2026-09-10T15:22:57Z,2026-09-10T17:05:58Z,BEFORE,GONE,,2026-09-10T17:05:58Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
euroleague-8ue528gaVyY_s90,basketball,2,2026-09-10T15:27:00Z,2026-09-10T17:06:18Z,BEFORE,GONE,,2026-09-10T17:06:18Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
fXLNra4sjjU_s1238,ncaa_basketball,2,2026-09-10T15:27:20Z,2026-09-10T17:09:00Z,BEFORE,GONE,,2026-09-10T17:09:00Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
fXLNra4sjjU_s2386,ncaa_basketball,2,2026-09-10T15:27:20Z,2026-09-10T17:10:21Z,BEFORE,GONE,,2026-09-10T17:10:21Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
fXLNra4sjjU_s3534,ncaa_basketball,2,2026-09-10T15:28:00Z,2026-09-10T17:10:42Z,BEFORE,GONE,,2026-09-10T17:10:42Z,True,duplicate_ledger_rows|dir_mtime_after_first_row
