window,game_id,sport,status,seconds,claim_epoch,finished_at,decoded_frames,rows,straddle,source_identity_path
AFTER,WeheQidCPXI_s1454,ncaa_basketball,tracked,408,1789068874,1789069282,3897,2947,0,data/tracking/source_identity/WeheQidCPXI_s1454.source_identity.json
AFTER,RIrGQJ_jsGQ_s155,nba,tracked,429,1789068873,1789069302,3901,2205,0,data/tracking/source_identity/RIrGQJ_jsGQ_s155.source_identity.json
AFTER,fiba-Y1cgaIWW8gk_s5543,basketball,tracked,470,1789068873,1789069343,3901,4712,0,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s5543.source_identity.json
AFTER,RIrGQJ_jsGQ_s2795,nba,tracked,490,1789068874,1789069364,3901,1142,0,data/tracking/source_identity/RIrGQJ_jsGQ_s2795.source_identity.json
AFTER,RIrGQJ_jsGQ_s4115,nba,tracked,490,1789068874,1789069364,3901,3126,0,data/tracking/source_identity/RIrGQJ_jsGQ_s4115.source_identity.json
AFTER,RIrGQJ_jsGQ_s5435,nba,tracked,490,1789068874,1789069364,3901,4607,0,data/tracking/source_identity/RIrGQJ_jsGQ_s5435.source_identity.json
AFTER,RIrGQJ_jsGQ_s1475,nba,tracked,511,1789068873,1789069384,3901,5313,0,data/tracking/source_identity/RIrGQJ_jsGQ_s1475.source_identity.json
AFTER,0KIBu1jQBL8_s5730,ncaa_basketball,tracked,571,1789068874,1789069445,3747,4078,0,data/tracking/source_identity/0KIBu1jQBL8_s5730.source_identity.json
AFTER,1E5Rw89keTg_s599,wnba,tracked,386,1789069241,1789069627,3747,4090,0,data/tracking/source_identity/1E5Rw89keTg_s599.source_identity.json
AFTER,UzaYBYy3GZg_s155,ncaa_basketball,tracked,426,1789069303,1789069729,3897,2912,0,data/tracking/source_identity/UzaYBYy3GZg_s155.source_identity.json
AFTER,WeheQidCPXI_s2753,ncaa_basketball,tracked,406,1789069323,1789069729,3897,3402,0,data/tracking/source_identity/WeheQidCPXI_s2753.source_identity.json
AFTER,UzaYBYy3GZg_s2731,ncaa_basketball,tracked,427,1789069323,1789069750,3897,3353,0,data/tracking/source_identity/UzaYBYy3GZg_s2731.source_identity.json
AFTER,WeheQidCPXI_s155,ncaa_basketball,tracked,447,1789069324,1789069771,3897,4336,0,data/tracking/source_identity/WeheQidCPXI_s155.source_identity.json
AFTER,UzaYBYy3GZg_s4019,ncaa_basketball,tracked,426,1789069345,1789069771,3897,4439,0,data/tracking/source_identity/UzaYBYy3GZg_s4019.source_identity.json
