arrivals_distinct_game_id,clips_per_hour,decoded_frames_median,hi,lo,mean_active_load,median_seconds_non_straddle,median_seconds_per_clip,n_rows,n_rows_non_straddle,n_unique_game_id,straddle_n,window
73,78.0,3901.0,1789068790,1789065190,7.617,,406.0,78,,75,,BEFORE
43,78.0,3901.0,1789072453,1789068853,4.639,40.0,40.0,78,78,43,0,AFTER
