index,game_id,sport,first_claim_utc
0,N-eE7ZwTuno_s1308,ncaa_basketball,2026-09-10T15:14:14Z
3,N-eE7ZwTuno_s4962,ncaa_basketball,2026-09-10T15:15:14Z
6,XzIzQZBrPBY_s398,nba,2026-09-10T15:18:35Z
9,6FlZaoWSfFw_s90,wnba,2026-09-10T15:21:16Z
12,euroleague-8ue528gaVyY_s2366,basketball,2026-09-10T15:22:17Z
15,euroleague-8ue528gaVyY_s5780,basketball,2026-09-10T15:22:57Z
18,fXLNra4sjjU_s2386,ncaa_basketball,2026-09-10T15:27:20Z
21,fXLNra4sjjU_s5830,ncaa_basketball,2026-09-10T15:28:21Z
24,gleague-_fl2i6vToTM_s1293,basketball,2026-09-10T15:33:04Z
27,gleague-_fl2i6vToTM_s4902,basketball,2026-09-10T15:35:06Z
30,gleague-_fl2i6vToTM_s90,basketball,2026-09-10T15:36:07Z
33,h6j_iLYRx8U_s2758,ncaa_basketball,2026-09-10T15:39:28Z
36,h6j_iLYRx8U_s6760,ncaa_basketball,2026-09-10T15:41:29Z
39,fiba--x4DRmtYn4Q_s2842,basketball,2026-09-10T15:43:50Z
42,fiba--x4DRmtYn4Q_s6970,basketball,2026-09-10T15:44:51Z
45,XCaGht2GmPg_s2742,nba,2026-09-10T15:47:12Z
48,XCaGht2GmPg_s90,nba,2026-09-10T15:50:54Z
51,fiba-7HQqWMaKxpA_s4185,basketball,2026-09-10T15:52:56Z
54,fiba-7HQqWMaKxpA_s90,basketball,2026-09-10T15:53:56Z
57,0KIBu1jQBL8_s3435,ncaa_basketball,2026-09-10T16:02:58Z
60,0KIBu1jQBL8_s90,ncaa_basketball,2026-09-10T16:03:58Z
63,fiba-Y1cgaIWW8gk_s4131,basketball,2026-09-10T16:07:59Z
66,fiba-Y1cgaIWW8gk_s90,basketball,2026-09-10T16:10:00Z
69,RIrGQJ_jsGQ_s4050,nba,2026-09-10T16:11:01Z
72,RIrGQJ_jsGQ_s90,nba,2026-09-10T16:12:22Z
75,fiba-Byk8aH-n_U4_s1426,basketball,2026-09-10T16:15:24Z
78,fiba-Byk8aH-n_U4_s5434,basketball,2026-09-10T16:18:06Z
81,wJSOHbeQcg4_s3360,ncaa_basketball,2026-09-10T16:19:47Z
84,fiba-fyp4VsE-8Fc_s4098,basketball,2026-09-10T16:23:51Z
87,fiba-fyp4VsE-8Fc_s90,basketball,2026-09-10T16:24:12Z
90,GNjSxoeDT-E_s1167,ncaa_basketball,2026-09-10T16:25:33Z
93,GNjSxoeDT-E_s4398,ncaa_basketball,2026-09-10T16:27:35Z
96,EqseleqhpTk_s2700,ncaa_basketball,2026-09-10T16:30:37Z
99,EqseleqhpTk_s4005,ncaa_basketball,2026-09-10T16:32:39Z
102,EqseleqhpTk_s90,ncaa_basketball,2026-09-10T16:35:00Z
105,fiba-tZeqmc_-_sA_s3816,basketball,2026-09-10T16:37:02Z
108,fiba-tZeqmc_-_sA_s90,basketball,2026-09-10T16:39:43Z
111,9F5q5jCbrMI_s2450,ncaa_basketball,2026-09-10T16:41:45Z
114,1E5Rw89keTg_s312,wnba,2026-09-10T16:43:46Z
117,1E5Rw89keTg_s534,wnba,2026-09-10T16:45:07Z
120,HUSo3PzP7lo_s402,nba,2026-09-10T16:48:49Z
123,eaKqXq9dfig_s428,nba,2026-09-10T16:53:12Z
126,euroleague-zud-2wkhjJY_s296,basketball,2026-09-10T17:51:52Z
129,fiba-tZeqmc_-_sA_s2639,basketball,2026-09-10T17:53:54Z
132,fiba-tZeqmc_-_sA_s6365,basketball,2026-09-10T17:55:35Z
135,9F5q5jCbrMI_s2515,ncaa_basketball,2026-09-10T18:00:18Z
138,fiba-XKDW0xL3yKc_s155,basketball,2026-09-10T18:00:59Z
141,fiba-XKDW0xL3yKc_s3878,basketball,2026-09-10T18:02:01Z
144,HUSo3PzP7lo_s155,nba,2026-09-10T18:06:43Z
147,eaKqXq9dfig_s155,nba,2026-09-10T18:11:45Z
