index,game_id,sport,first_claim_utc,location,src_path,src_bytes,copy_status,reason,scratch_path,scratch_bytes
0,N-eE7ZwTuno_s1308,ncaa_basketball,2026-09-10T15:14:14Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
3,N-eE7ZwTuno_s4962,ncaa_basketball,2026-09-10T15:15:14Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
6,XzIzQZBrPBY_s398,nba,2026-09-10T15:18:35Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
9,6FlZaoWSfFw_s90,wnba,2026-09-10T15:21:16Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
12,euroleague-8ue528gaVyY_s2366,basketball,2026-09-10T15:22:17Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
15,euroleague-8ue528gaVyY_s5780,basketball,2026-09-10T15:22:57Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
18,fXLNra4sjjU_s2386,ncaa_basketball,2026-09-10T15:27:20Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
21,fXLNra4sjjU_s5830,ncaa_basketball,2026-09-10T15:28:21Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
24,gleague-_fl2i6vToTM_s1293,basketball,2026-09-10T15:33:04Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
27,gleague-_fl2i6vToTM_s4902,basketball,2026-09-10T15:35:06Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
30,gleague-_fl2i6vToTM_s90,basketball,2026-09-10T15:36:07Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
33,h6j_iLYRx8U_s2758,ncaa_basketball,2026-09-10T15:39:28Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
36,h6j_iLYRx8U_s6760,ncaa_basketball,2026-09-10T15:41:29Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
39,fiba--x4DRmtYn4Q_s2842,basketball,2026-09-10T15:43:50Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
42,fiba--x4DRmtYn4Q_s6970,basketball,2026-09-10T15:44:51Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
45,XCaGht2GmPg_s2742,nba,2026-09-10T15:47:12Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
48,XCaGht2GmPg_s90,nba,2026-09-10T15:50:54Z,GONE,,UNKNOWN,BYTES_GONE,no file under footage_bridge|footage_corpus|footage_quarantine,,UNKNOWN
