game_id,claim_utc,observed_utc,lag_s,status,source_name,source_path,ind_sha256,ind_bytes,n_candidates
queued,2026-09-10T19:28:50Z,2026-09-10T19:33:09Z,0.0,SOURCE_GONE,,,,,0
queued,2026-09-10T19:29:16Z,2026-09-10T19:33:09Z,0.0,SOURCE_GONE,,,,,0
fiba-Y1cgaIWW8gk_s5543,2026-09-10T19:34:13Z,2026-09-10T19:34:13Z,0.7,OK,basketball__fiba-Y1cgaIWW8gk_s5543.mp4,/workspace/data/footage_bridge/basketball__fiba-Y1cgaIWW8gk_s5543.mp4,d7c779ebc048b823a3b62f23887c2886f24def9f7e70f266e41e0065d8db719a,66851092,1
RIrGQJ_jsGQ_s1475,2026-09-10T19:34:13Z,2026-09-10T19:34:14Z,0.6,OK,nba__RIrGQJ_jsGQ_s1475.mp4,/workspace/data/footage_bridge/nba__RIrGQJ_jsGQ_s1475.mp4,86dbff5ac2398b8a20f598f8da7fd56992be78daa7265229b586dc16ae403ebe,61725025,1
RIrGQJ_jsGQ_s155,2026-09-10T19:34:13Z,2026-09-10T19:34:14Z,0.3,OK,nba__RIrGQJ_jsGQ_s155.mp4,/workspace/data/footage_bridge/nba__RIrGQJ_jsGQ_s155.mp4,3ea9c85b2486610e6468574ecadf506e8c928f9265178148779d6c389a54d7ec,48032613,1
RIrGQJ_jsGQ_s2795,2026-09-10T19:34:13Z,2026-09-10T19:34:15Z,0.6,OK,nba__RIrGQJ_jsGQ_s2795.mp4,/workspace/data/footage_bridge/nba__RIrGQJ_jsGQ_s2795.mp4,f6863867591c5ce1ef1d6959ab5b2d346fbc1bf39afa3fed0a1f068576918d4c,68297433,1
RIrGQJ_jsGQ_s4115,2026-09-10T19:34:13Z,2026-09-10T19:34:15Z,0.5,OK,nba__RIrGQJ_jsGQ_s4115.mp4,/workspace/data/footage_bridge/nba__RIrGQJ_jsGQ_s4115.mp4,e3bc7ecdd5fa20886d4115dc2d3ba9a5752b718da86e52a9c811e393164cc7a4,72738531,1
RIrGQJ_jsGQ_s5435,2026-09-10T19:34:13Z,2026-09-10T19:34:16Z,0.8,OK,nba__RIrGQJ_jsGQ_s5435.mp4,/workspace/data/footage_bridge/nba__RIrGQJ_jsGQ_s5435.mp4,242668672fcc3cac4a9845f06456667b2f47cba97be6db3ac199ae1e247dbcdb,66849269,1
0KIBu1jQBL8_s5730,2026-09-10T19:34:13Z,2026-09-10T19:34:17Z,0.6,OK,ncaa_basketball__0KIBu1jQBL8_s5730.mp4,/workspace/data/footage_bridge/ncaa_basketball__0KIBu1jQBL8_s5730.mp4,262e1a04d707212cadcf74b4b91ecdf9ce43e8d9e9885d705f85e953eba56df9,61650275,1
WeheQidCPXI_s1454,2026-09-10T19:34:13Z,2026-09-10T19:34:17Z,0.5,OK,ncaa_basketball__WeheQidCPXI_s1454.mp4,/workspace/data/footage_bridge/ncaa_basketball__WeheQidCPXI_s1454.mp4,f1419149541e4aaed3316f7a52dedfb42a2b471b8a9ea808b8da844add4cfe19,67706004,1
1E5Rw89keTg_s599,2026-09-10T19:34:13Z,2026-09-10T19:34:18Z,0.7,OK,wnba__1E5Rw89keTg_s599.mp4,/workspace/data/footage_bridge/wnba__1E5Rw89keTg_s599.mp4,b3d037bbaf273735ddd3adfc9b93ad29a828616d5bd12cb76950b2389f20a9d7,66198817,1
G8bPOW37Sp0_s155,2026-09-10T19:34:13Z,2026-09-10T19:34:18Z,0.5,OK,wnba__G8bPOW37Sp0_s155.mp4,/workspace/data/footage_bridge/wnba__G8bPOW37Sp0_s155.mp4,e827fb5c2835a711002cf7a595555eee878fa75e96917fcf496cffe77fdb0c53,69830417,1
