game_id,claim_utc,claim_epoch,state,source_identity_path,diagnostic,in_window
fiba-7HQqWMaKxpA_s6980,2026-09-10T20:28:26Z,1789072106,RESERVED,data/tracking/source_identity/fiba-7HQqWMaKxpA_s6980.source_identity.json,,1
fiba-7HQqWMaKxpA_s6980,2026-09-10T20:28:27Z,1789072107,TERMINAL_ERROR,data/tracking/source_identity/fiba-7HQqWMaKxpA_s6980.source_identity.json,FileExistsError,1
fiba-Y1cgaIWW8gk_s6825,2026-09-10T20:28:47Z,1789072127,RESERVED,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s6825.source_identity.json,,1
fiba-Y1cgaIWW8gk_s6825,2026-09-10T20:28:48Z,1789072128,TERMINAL_ERROR,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s6825.source_identity.json,FileExistsError,1
fiba-Y1cgaIWW8gk_s90,2026-09-10T20:29:07Z,1789072147,RESERVED,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s90.source_identity.json,,1
fiba-Y1cgaIWW8gk_s90,2026-09-10T20:29:08Z,1789072148,TERMINAL_ERROR,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s90.source_identity.json,FileExistsError,1
RIrGQJ_jsGQ_s6690,2026-09-10T20:29:27Z,1789072167,RESERVED,data/tracking/source_identity/RIrGQJ_jsGQ_s6690.source_identity.json,,1
RIrGQJ_jsGQ_s6690,2026-09-10T20:29:28Z,1789072168,TERMINAL_ERROR,data/tracking/source_identity/RIrGQJ_jsGQ_s6690.source_identity.json,FileExistsError,1
fiba-fyp4VsE-8Fc_s90,2026-09-10T20:30:07Z,1789072207,RESERVED,data/tracking/source_identity/fiba-fyp4VsE-8Fc_s90.source_identity.json,,1
fiba-fyp4VsE-8Fc_s90,2026-09-10T20:30:09Z,1789072209,TERMINAL_ERROR,data/tracking/source_identity/fiba-fyp4VsE-8Fc_s90.source_identity.json,FileExistsError,1
fiba-tZeqmc_-_sA_s6365,2026-09-10T20:30:47Z,1789072247,RESERVED,data/tracking/source_identity/fiba-tZeqmc_-_sA_s6365.source_identity.json,,1
fiba-tZeqmc_-_sA_s6365,2026-09-10T20:30:48Z,1789072248,TERMINAL_ERROR,data/tracking/source_identity/fiba-tZeqmc_-_sA_s6365.source_identity.json,FileExistsError,1
fiba-tZeqmc_-_sA_s90,2026-09-10T20:31:07Z,1789072267,RESERVED,data/tracking/source_identity/fiba-tZeqmc_-_sA_s90.source_identity.json,,1
fiba-tZeqmc_-_sA_s90,2026-09-10T20:31:09Z,1789072269,TERMINAL_ERROR,data/tracking/source_identity/fiba-tZeqmc_-_sA_s90.source_identity.json,FileExistsError,1
fiba-7HQqWMaKxpA_s6980,2026-09-10T20:33:28Z,1789072408,RESERVED,data/tracking/source_identity/fiba-7HQqWMaKxpA_s6980.source_identity.json,,1
fiba-7HQqWMaKxpA_s6980,2026-09-10T20:33:29Z,1789072409,TERMINAL_ERROR,data/tracking/source_identity/fiba-7HQqWMaKxpA_s6980.source_identity.json,FileExistsError,1
fiba-Y1cgaIWW8gk_s6825,2026-09-10T20:34:08Z,1789072448,RESERVED,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s6825.source_identity.json,,1
fiba-Y1cgaIWW8gk_s90,2026-09-10T20:34:08Z,1789072448,RESERVED,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s90.source_identity.json,,1
fiba-Y1cgaIWW8gk_s6825,2026-09-10T20:34:09Z,1789072449,TERMINAL_ERROR,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s6825.source_identity.json,FileExistsError,1
fiba-Y1cgaIWW8gk_s90,2026-09-10T20:34:09Z,1789072449,TERMINAL_ERROR,data/tracking/source_identity/fiba-Y1cgaIWW8gk_s90.source_identity.json,FileExistsError,1
RIrGQJ_jsGQ_s6690,2026-09-10T20:34:28Z,1789072468,RESERVED,data/tracking/source_identity/RIrGQJ_jsGQ_s6690.source_identity.json,,0
RIrGQJ_jsGQ_s6690,2026-09-10T20:34:29Z,1789072469,TERMINAL_ERROR,data/tracking/source_identity/RIrGQJ_jsGQ_s6690.source_identity.json,FileExistsError,0
fiba-fyp4VsE-8Fc_s90,2026-09-10T20:35:08Z,1789072508,RESERVED,data/tracking/source_identity/fiba-fyp4VsE-8Fc_s90.source_identity.json,,0
fiba-fyp4VsE-8Fc_s90,2026-09-10T20:35:10Z,1789072510,TERMINAL_ERROR,data/tracking/source_identity/fiba-fyp4VsE-8Fc_s90.source_identity.json,FileExistsError,0
