game_id,claim_utc,pin_status,pin_lag_s,sidecar_sha256,ind_sha256,sidecar_bytes,ind_bytes,sha_match,bytes_match,verdict
0KIBu1jQBL8_s5730,2026-09-10T19:34:13Z,OK,0.6,262e1a04d707212cadcf74b4b91ecdf9ce43e8d9e9885d705f85e953eba56df9,262e1a04d707212cadcf74b4b91ecdf9ce43e8d9e9885d705f85e953eba56df9,61650275,61650275,1,1,AGREE
1E5Rw89keTg_s599,2026-09-10T19:34:13Z,OK,0.7,b3d037bbaf273735ddd3adfc9b93ad29a828616d5bd12cb76950b2389f20a9d7,b3d037bbaf273735ddd3adfc9b93ad29a828616d5bd12cb76950b2389f20a9d7,66198817,66198817,1,1,AGREE
G8bPOW37Sp0_s155,2026-09-10T19:34:13Z,OK,0.5,e827fb5c2835a711002cf7a595555eee878fa75e96917fcf496cffe77fdb0c53,e827fb5c2835a711002cf7a595555eee878fa75e96917fcf496cffe77fdb0c53,69830417,69830417,1,1,AGREE
G8bPOW37Sp0_s385,2026-09-10T19:34:13Z,OK,0.6,9bf2b5d0b3cc644219cdc249f212503eb30f1614a576f5e0b2a8919f1ad13627,9bf2b5d0b3cc644219cdc249f212503eb30f1614a576f5e0b2a8919f1ad13627,73189915,73189915,1,1,AGREE
G8bPOW37Sp0_s615,2026-09-10T19:34:13Z,OK,0.7,3af384191a6083714de2ced41996374d4cf1641c147af3ef04ec418b33bbfa36,3af384191a6083714de2ced41996374d4cf1641c147af3ef04ec418b33bbfa36,63816235,63816235,1,1,AGREE
QXFM3hlaDAk_s1440,2026-09-10T19:46:27Z,OK,0.5,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,67626846,67626846,1,1,AGREE
QXFM3hlaDAk_s155,2026-09-10T19:46:27Z,OK,2.0,88677dc0131856d8bf8c747a3569b695d0eacb9096a081fb8e8e66dd5bd9ed3f,88677dc0131856d8bf8c747a3569b695d0eacb9096a081fb8e8e66dd5bd9ed3f,66307405,66307405,1,1,AGREE
QXFM3hlaDAk_s2725,2026-09-10T19:46:27Z,OK,1.4,89515505134f13b18d74e90879e0f7aa864e82d7c01b0321d73d3029580a4fdf,89515505134f13b18d74e90879e0f7aa864e82d7c01b0321d73d3029580a4fdf,53034651,53034651,1,1,AGREE
QXFM3hlaDAk_s4010,2026-09-10T19:46:27Z,OK,0.5,b6912360884070b3c5416070d66d6fe22442d7d951e118fb26100c10cda55f31,b6912360884070b3c5416070d66d6fe22442d7d951e118fb26100c10cda55f31,65907501,65907501,1,1,AGREE
QXFM3hlaDAk_s5295,2026-09-10T19:46:27Z,OK,0.4,f1ef03d66bbbd2935e58ed50839abba803fbc2debdcd5bd5ff058fa31305b8cb,f1ef03d66bbbd2935e58ed50839abba803fbc2debdcd5bd5ff058fa31305b8cb,48721855,48721855,1,1,AGREE
