game_id,claim_utc,sidecar_path,sidecar_present,fields_ok,source_path,source_sha256,source_bytes,start_time_kind,terminal_diagnostic
0KIBu1jQBL8_s5730,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/0KIBu1jQBL8_s5730.source_identity.json,1,1,data/footage_bridge/ncaa_basketball__0KIBu1jQBL8_s5730.mp4,262e1a04d707212cadcf74b4b91ecdf9ce43e8d9e9885d705f85e953eba56df9,61650275,DECODED_PTS,
1E5Rw89keTg_s599,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/1E5Rw89keTg_s599.source_identity.json,1,1,data/footage_bridge/wnba__1E5Rw89keTg_s599.mp4,b3d037bbaf273735ddd3adfc9b93ad29a828616d5bd12cb76950b2389f20a9d7,66198817,DECODED_PTS,
G8bPOW37Sp0_s155,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/G8bPOW37Sp0_s155.source_identity.json,1,1,data/footage_bridge/wnba__G8bPOW37Sp0_s155.mp4,e827fb5c2835a711002cf7a595555eee878fa75e96917fcf496cffe77fdb0c53,69830417,DECODED_PTS,
G8bPOW37Sp0_s385,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/G8bPOW37Sp0_s385.source_identity.json,1,1,data/footage_bridge/wnba__G8bPOW37Sp0_s385.mp4,9bf2b5d0b3cc644219cdc249f212503eb30f1614a576f5e0b2a8919f1ad13627,73189915,DECODED_PTS,
G8bPOW37Sp0_s615,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/G8bPOW37Sp0_s615.source_identity.json,1,1,data/footage_bridge/wnba__G8bPOW37Sp0_s615.mp4,3af384191a6083714de2ced41996374d4cf1641c147af3ef04ec418b33bbfa36,63816235,DECODED_PTS,
QXFM3hlaDAk_s1440,2026-09-10T19:46:27Z,/workspace/data/tracking/source_identity/QXFM3hlaDAk_s1440.source_identity.json,1,1,data/footage_bridge/ncaa_basketball__QXFM3hlaDAk_s1440.mp4,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,67626846,DECODED_PTS,
QXFM3hlaDAk_s155,2026-09-10T19:46:27Z,/workspace/data/tracking/source_identity/QXFM3hlaDAk_s155.source_identity.json,1,1,data/footage_bridge/ncaa_basketball__QXFM3hlaDAk_s155.mp4,88677dc0131856d8bf8c747a3569b695d0eacb9096a081fb8e8e66dd5bd9ed3f,66307405,DECODED_PTS,
QXFM3hlaDAk_s2725,2026-09-10T19:46:27Z,/workspace/data/tracking/source_identity/QXFM3hlaDAk_s2725.source_identity.json,1,1,data/footage_bridge/ncaa_basketball__QXFM3hlaDAk_s2725.mp4,89515505134f13b18d74e90879e0f7aa864e82d7c01b0321d73d3029580a4fdf,53034651,ESTIMATE,
QXFM3hlaDAk_s4010,2026-09-10T19:46:27Z,/workspace/data/tracking/source_identity/QXFM3hlaDAk_s4010.source_identity.json,1,1,data/footage_bridge/ncaa_basketball__QXFM3hlaDAk_s4010.mp4,b6912360884070b3c5416070d66d6fe22442d7d951e118fb26100c10cda55f31,65907501,DECODED_PTS,
QXFM3hlaDAk_s5295,2026-09-10T19:46:27Z,/workspace/data/tracking/source_identity/QXFM3hlaDAk_s5295.source_identity.json,1,1,data/footage_bridge/ncaa_basketball__QXFM3hlaDAk_s5295.mp4,f1ef03d66bbbd2935e58ed50839abba803fbc2debdcd5bd5ff058fa31305b8cb,48721855,DECODED_PTS,
RIrGQJ_jsGQ_s1475,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/RIrGQJ_jsGQ_s1475.source_identity.json,1,1,data/footage_bridge/nba__RIrGQJ_jsGQ_s1475.mp4,86dbff5ac2398b8a20f598f8da7fd56992be78daa7265229b586dc16ae403ebe,61725025,DECODED_PTS,
RIrGQJ_jsGQ_s155,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/RIrGQJ_jsGQ_s155.source_identity.json,1,1,data/footage_bridge/nba__RIrGQJ_jsGQ_s155.mp4,3ea9c85b2486610e6468574ecadf506e8c928f9265178148779d6c389a54d7ec,48032613,DECODED_PTS,
RIrGQJ_jsGQ_s2795,2026-09-10T19:34:13Z,/workspace/data/tracking/source_identity/RIrGQJ_jsGQ_s2795.source_identity.json,1,1,data/footage_bridge/nba__RIrGQJ_jsGQ_s2795.mp4,f6863867591c5ce1ef1d6959ab5b2d346fbc1bf39afa3fed0a1f068576918d4c,68297433,DECODED_PTS,
