idx,game_id,source_name,source_bytes,order,bind_s,defer_s,control_s,control_rc,treatment_s,treatment_rc,status
2,wJSOHbeQcg4_s155,ncaa_basketball__wJSOHbeQcg4_s155.mp4,65435207,CT,0.01,20.0,386.17,0,25.43,1,OK
0,G8bPOW37Sp0_s155,wnba__G8bPOW37Sp0_s155.mp4,69830417,CT,0.01,20.0,386.72,0,25.24,1,OK
4,wJSOHbeQcg4_s2335,ncaa_basketball__wJSOHbeQcg4_s2335.mp4,61499026,CT,1.09,20.0,396.55,0,30.21,1,OK
6,wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4_s4515.mp4,69573969,CT,1.26,20.0,385.56,0,78.34,3,OK
8,fiba-Byk8aH-n_U4_s155,basketball__fiba-Byk8aH-n_U4_s155.mp4,49063275,CT,1.39,20.0,481.97,0,44.13,3,OK
14,fiba-fyp4VsE-8Fc_s1491,basketball__fiba-fyp4VsE-8Fc_s1491.mp4,92428133,CT,2.43,20.0,248.65,0,27.6,1,OK
10,fiba-Byk8aH-n_U4_s2827,basketball__fiba-Byk8aH-n_U4_s2827.mp4,58661384,CT,1.37,20.0,342.56,0,381.42,0,OK
16,fiba-fyp4VsE-8Fc_s4163,basketball__fiba-fyp4VsE-8Fc_s4163.mp4,95294139,CT,2.6,20.0,226.74,0,192.39,0,OK
12,fiba-Byk8aH-n_U4_s5499,basketball__fiba-Byk8aH-n_U4_s5499.mp4,54228362,CT,0.01,20.0,408.88,0,26.06,1,OK
18,fiba-fyp4VsE-8Fc_s6835,basketball__fiba-fyp4VsE-8Fc_s6835.mp4,74133754,CT,1.93,20.0,223.57,0,221.81,0,OK
20,GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E_s1232.mp4,62003414,CT,0.01,20.0,363.53,0,26.39,1,OK
24,GNjSxoeDT-E_s5540,ncaa_basketball__GNjSxoeDT-E_s5540.mp4,67928477,CT,0.01,20.0,344.66,0,26.24,1,OK
22,GNjSxoeDT-E_s3386,ncaa_basketball__GNjSxoeDT-E_s3386.mp4,67513085,CT,0.01,20.0,382.94,0,26.05,1,OK
26,EqseleqhpTk_s1460,ncaa_basketball__EqseleqhpTk_s1460.mp4,75358908,CT,0.01,20.0,361.12,0,26.01,1,OK
38,XCaGht2GmPg_s155,nba__XCaGht2GmPg_s155.mp4,84071477,,,,,,,,SOURCE_GONE
28,EqseleqhpTk_s4070,ncaa_basketball__EqseleqhpTk_s4070.mp4,74124096,CT,0.01,20.0,370.18,0,26.39,1,OK
30,1E5Rw89keTg_s155,wnba__1E5Rw89keTg_s155.mp4,72589769,CT,0.01,20.0,351.49,0,26.24,1,OK
32,fiba--x4DRmtYn4Q_s155,basketball__fiba--x4DRmtYn4Q_s155.mp4,49965078,CT,0.01,20.0,377.57,0,26.03,1,OK
