window,game_id,sport,status,seconds,claim_epoch,finished_at,decoded_frames,rows,straddle,source_identity_path
BEFORE,fXLNra4sjjU_s4747,ncaa_basketball,tracked,524,1789064671,1789065195,3897,5847,0,<ABSENT_KEY>
BEFORE,gleague-_fl2i6vToTM_s1358,basketball,tracked,323,1789064892,1789065215,7793,2641,0,<ABSENT_KEY>
BEFORE,gleague-_fl2i6vToTM_s3764,basketball,tracked,348,1789065608,1789065956,7793,1362,0,<ABSENT_KEY>
BEFORE,h6j_iLYRx8U_s1489,ncaa_basketball,tracked,348,1789065608,1789065956,7793,1909,0,<ABSENT_KEY>
BEFORE,gleague-_fl2i6vToTM_s2561,basketball,tracked,368,1789065608,1789065976,7793,2144,0,<ABSENT_KEY>
BEFORE,gleague-_fl2i6vToTM_s4967,basketball,tracked,368,1789065608,1789065976,7793,2025,0,<ABSENT_KEY>
BEFORE,gleague-_fl2i6vToTM_s6170,basketball,tracked,368,1789065608,1789065976,7493,2311,0,<ABSENT_KEY>
BEFORE,gleague-_fl2i6vToTM_s155,basketball,tracked,388,1789065609,1789065997,7793,1357,0,<ABSENT_KEY>
BEFORE,h6j_iLYRx8U_s155,ncaa_basketball,tracked,388,1789065609,1789065997,7793,2545,0,<ABSENT_KEY>
BEFORE,h6j_iLYRx8U_s4157,ncaa_basketball,tracked,305,1789065854,1789066159,7794,2869,0,<ABSENT_KEY>
BEFORE,h6j_iLYRx8U_s2823,ncaa_basketball,tracked,345,1789065855,1789066200,7793,1586,0,<ABSENT_KEY>
BEFORE,h6j_iLYRx8U_s5491,ncaa_basketball,tracked,345,1789065875,1789066220,7794,2644,0,<ABSENT_KEY>
BEFORE,fXLNra4sjjU_s5895,ncaa_basketball,tracked,673,1789065608,1789066281,3823,4004,0,<ABSENT_KEY>
BEFORE,h6j_iLYRx8U_s6825,ncaa_basketball,tracked,427,1789065875,1789066302,7609,3446,0,<ABSENT_KEY>
BEFORE,wJSOHbeQcg4_s1245,ncaa_basketball,tracked,529,1789065875,1789066404,3901,5573,0,<ABSENT_KEY>
BEFORE,wJSOHbeQcg4_s155,ncaa_basketball,tracked,529,1789065875,1789066404,3901,4657,0,<ABSENT_KEY>
BEFORE,wJSOHbeQcg4_s2335,ncaa_basketball,tracked,529,1789065875,1789066404,3901,4787,0,<ABSENT_KEY>
BEFORE,fiba-Byk8aH-n_U4_s1491,basketball,tracked,448,1789066098,1789066546,3901,3213,0,<ABSENT_KEY>
BEFORE,fiba-Byk8aH-n_U4_s2827,basketball,tracked,407,1789066159,1789066566,3901,2195,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s90,basketball,thin,40,1789066567,1789066607,,0,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s1491,basketball,tracked,284,1789066344,1789066628,7801,1963,0,<ABSENT_KEY>
BEFORE,fiba-fyp4VsE-8Fc_s2827,basketball,tracked,284,1789066344,1789066628,7801,2381,0,<ABSENT_KEY>
BEFORE,fiba-Byk8aH-n_U4_s155,basketball,tracked,529,1789066119,1789066648,3901,4464,0,<ABSENT_KEY>
BEFORE,fiba-Byk8aH-n_U4_s4163,basketball,tracked,447,1789066242,1789066689,3901,5340,0,<ABSENT_KEY>
