game_id,video_id,requested_start_s,join_class
0KIBu1jQBL8_s1205,0KIBu1jQBL8,1205,UNKNOWN
3eeaJz1PJTM_s2572,3eeaJz1PJTM,2572,UNKNOWN
5PNHcMafoX8_s6820,5PNHcMafoX8,6820,UNKNOWN
7WBKNCu3NLU_s308,7WBKNCu3NLU,308,UNKNOWN
9sq-YMlIo9Q_s5730,9sq-YMlIo9Q,5730,UNKNOWN
HUSo3PzP7lo_s231,HUSo3PzP7lo,231,UNKNOWN
N-eE7ZwTuno_s4965,N-eE7ZwTuno,4965,UNKNOWN
UHJ90jJmCYw_s90,UHJ90jJmCYw,90,UNKNOWN
WeheQidCPXI_s3987,WeheQidCPXI,3987,UNKNOWN
acb-6NGcNkDDK9o_s1336,6NGcNkDDK9o,1336,UNKNOWN
acb-_a72WK36Its_s2662,_a72WK36Its,2662,UNKNOWN
cba-8R8t7v2N-zQ_s5538,8R8t7v2N-zQ,5538,UNKNOWN
eurocup-DyCvYr221F8_s5062,DyCvYr221F8,5062,UNKNOWN
eurocup-qrWmO434a0k_s4161,qrWmO434a0k,4161,UNKNOWN
euroleague-HkwnT6jwtNs_s1276,HkwnT6jwtNs,1276,UNKNOWN
euroleague-krbfJW7sYUk_s4218,krbfJW7sYUk,4218,UNKNOWN
fiba-14Mh4JjtLVg_s6710,14Mh4JjtLVg,6710,UNKNOWN
fiba-A2W5ZjAgr7M_s6725,A2W5ZjAgr7M,6725,UNKNOWN
fiba-UG_eQNRDHiI_s3975,UG_eQNRDHiI,3975,UNKNOWN
fiba-fyp4VsE-8Fc_s5434,fyp4VsE-8Fc,5434,UNKNOWN
fiba-tFnl0NVn6FA_s90,tFnl0NVn6FA,90,UNKNOWN
gleague--PH9jt8lss0_s2304,-PH9jt8lss0,2304,UNKNOWN
h6j_iLYRx8U_s6760,h6j_iLYRx8U,6760,UNKNOWN
jKoEJNdiRyI_s90,jKoEJNdiRyI,90,UNKNOWN
lnb-ouDVA0vM20g_s2668,ouDVA0vM20g,2668,UNKNOWN
nbl-Gem9Fip5SZQ_s642,Gem9Fip5SZQ,642,UNKNOWN
nbl-eawn8RbLFEM_s90,eawn8RbLFEM,90,UNKNOWN
ncaaw-PKm-w1NE8J0_s4670,PKm-w1NE8J0,4670,UNKNOWN
ncaaw-yFLPyfhtpR4_s1303,yFLPyfhtpR4,1303,UNKNOWN
tDpmV777-IQ_s5262,tDpmV777-IQ,5262,UNKNOWN
wd08fix8q3Q_s5830,wd08fix8q3Q,5830,UNKNOWN
