game_id,landmark,archived_frame,archived_timestamp,refetched_pts,fps,refetched_sha256,error_frames,within_bar
0KIBu1jQBL8_s1205,0,0,0.000000,0.000000,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0000,1
0KIBu1jQBL8_s1205,1,99,3.303000,3.303300,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0090,1
0KIBu1jQBL8_s1205,2,198,6.607000,6.606600,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0120,1
0KIBu1jQBL8_s1205,3,297,9.910000,9.909900,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0030,1
0KIBu1jQBL8_s1205,4,396,13.213000,13.213200,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0060,1
0KIBu1jQBL8_s1205,5,495,16.517000,16.516500,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0150,1
0KIBu1jQBL8_s1205,6,594,19.820000,19.819800,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0060,1
0KIBu1jQBL8_s1205,7,693,23.123000,23.123100,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0030,1
0KIBu1jQBL8_s1205,8,792,26.426000,26.426400,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0120,1
0KIBu1jQBL8_s1205,9,891,29.730000,29.729700,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0090,1
0KIBu1jQBL8_s1205,10,990,33.033000,33.033000,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0000,1
0KIBu1jQBL8_s1205,11,1089,36.336000,36.336300,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0090,1
0KIBu1jQBL8_s1205,12,1188,39.640000,39.639600,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0120,1
0KIBu1jQBL8_s1205,13,1287,42.943000,42.942900,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0030,1
0KIBu1jQBL8_s1205,14,1386,46.246000,46.246200,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0060,1
0KIBu1jQBL8_s1205,15,1485,49.550000,49.549500,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0150,1
0KIBu1jQBL8_s1205,16,1584,52.853000,52.852800,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,-0.0060,1
0KIBu1jQBL8_s1205,17,1683,56.156000,56.156100,29.97002997002997,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,0.0030,1
