game_id,eligible,table_readable,video_id_parsed,run_start_known
-5l407QKuVk_s284,0,0,1,1
-5l407QKuVk_s478,0,0,1,1
-5l407QKuVk_s90,0,0,1,1
0022400909_s1015,0,1,0,1
0022400909_s1206,0,1,0,1
0022400909_s1397,0,1,0,1
0022400909_s1588,0,1,0,1
0022400909_s1779,0,1,0,1
0022400909_s1970,0,1,0,1
0022400909_s2161,0,1,0,1
0022400909_s2352,0,1,0,1
0022400909_s2400,0,0,0,1
0022400909_s251,0,1,0,1
0022400909_s2543,0,0,0,1
0022400909_s2734,0,1,0,1
0022400909_s2925,0,1,0,1
0022400909_s3116,0,1,0,1
0022400909_s3307,0,1,0,1
0022400909_s3498,0,1,0,1
0022400909_s3689,0,1,0,1
0022400909_s3880,0,1,0,1
0022400909_s3900,0,1,0,1
0022400909_s4071,0,1,0,1
0022400909_s4262,0,1,0,1
0022400909_s442,0,1,0,1
0022400909_s4453,0,1,0,1
0022400909_s4644,0,1,0,1
0022400909_s4835,0,1,0,1
0022400909_s5026,0,1,0,1
0022400909_s5217,0,1,0,1
0022400909_s5400,0,1,0,1
0022400909_s5408,0,1,0,1
0022400909_s5599,0,1,0,1
0022400909_s60,0,1,0,1
0022400909_s633,0,1,0,1
0022400909_s824,0,1,0,1
0022400909_s900,0,1,0,1
0022401156_s1182,0,1,0,1
0022401156_s1369,0,1,0,1
0022401156_s1556,0,1,0,1
0022401156_s1743,0,1,0,1
0022401156_s1930,0,1,0,1
0022401156_s2117,0,1,0,1
0022401156_s2304,0,1,0,1
0022401156_s247,0,1,0,1
0022401156_s2491,0,1,0,1
0022401156_s2678,0,1,0,1
0022401156_s2865,0,1,0,1
0022401156_s3052,0,1,0,1
0022401156_s3239,0,1,0,1
0022401156_s3426,0,1,0,1
0022401156_s3613,0,1,0,1
0022401156_s3800,0,1,0,1
0022401156_s3987,0,1,0,1
0022401156_s4174,0,1,0,1
0022401156_s434,0,1,0,1
0022401156_s4361,0,1,0,1
0022401156_s4548,0,1,0,1
0022401156_s4735,0,1,0,1
0022401156_s4922,0,1,0,1
0022401156_s5109,0,1,0,1
0022401156_s5296,0,1,0,1
0022401156_s5483,0,1,0,1
0022401156_s60,0,1,0,1
0022401156_s621,0,1,0,1
0022401156_s808,0,1,0,1
0022401156_s995,0,1,0,1
0022401198_s1876,0,1,0,1
0022401198_s2784,0,1,0,1
0022401198_s60,0,1,0,1
0022401198_s968,0,1,0,1
0022500081_s1248,0,1,0,1
0022500081_s1545,0,1,0,1
0022500081_s1842,0,1,0,1
0022500081_s2139,0,1,0,1
0022500081_s2436,0,0,0,1
0022500081_s2733,0,1,0,1
0022500081_s3030,0,1,0,1
0022500081_s3327,0,1,0,1
0022500081_s357,0,1,0,1
0022500081_s3624,0,1,0,1
0022500081_s3921,0,1,0,1
0022500081_s4218,0,1,0,1
0022500081_s4515,0,0,0,1
0022500081_s4812,0,0,0,1
0022500081_s5109,0,1,0,1
0022500081_s5406,0,1,0,1
0022500081_s5703,0,1,0,1
0022500081_s60,0,1,0,1
0022500081_s6000,0,1,0,1
0022500081_s6297,0,1,0,1
0022500081_s654,0,1,0,1
0022500081_s6594,0,1,0,1
0022500081_s6891,0,1,0,1
0022500081_s7188,0,1,0,1
0022500081_s7485,0,1,0,1
0022500081_s7782,0,1,0,1
0022500081_s8079,0,1,0,1
0022500081_s8376,0,1,0,1
0022500081_s8673,0,0,0,1
0022500081_s951,0,1,0,1
0022500575,0,1,0,1
0022500575_s1500,0,1,0,1
0022500575_s2100,0,1,0,1
0022500575_s2700,0,1,0,1
0022500575_s300,0,1,0,1
